model,wavelength_nm,re_chi_C,re_chi_V,re_total,im_chi_C,im_chi_V,im_total
demo21,600.0,46.13835072913864,-41.86377559565335,4.274575133485275,0.8005362002673446,-0.6951649272915883,0.10537127297575626
demo21,1330.0,-282.4616278202535,268.36998596507624,-14.091641855177324,-94.69527723734936,65.20711641586169,-29.48816082148765
demo21,1520.0,39.52520526761831,-11.235633073599033,28.289572194019303,-465.89816377305243,464.8250592115005,-1.0731045615519375
hybrid,600.0,17.593651939949233,-21.387704088280618,-3.79405214833144,425.7102470067874,-401.9805239796829,23.729723027104406
hybrid,1330.0,-59.24085804489077,67.50599465075958,8.26513660586866,-814.457604246961,767.2202040947717,-47.23740015218865
hybrid,1520.0,389.2288036399032,-334.55160381703007,54.6771998228731,-709.9420213428681,708.1816472267024,-1.760374116165607
