case_id,e1_eV,e2_eV,hh1_eV,hh2_eV,transition_e1_hh1_eV,transition_e1_hh2_eV,transition_e2_hh1_eV,transition_e2_hh2_eV,overlap_e1_hh1,overlap_e1_hh2,overlap_e2_hh1,overlap_e2_hh2,z_e11_nm,z_e12_nm,z_e21_nm,z_e22_nm,z_hh11_nm,z_hh12_nm,z_hh21_nm,z_hh22_nm,delta_z_e_nm,delta_z_hh_nm,states_per_band,chi2_1550_real_pm_per_V,chi2_1550_imag_pm_per_V,chi2_1550_pm_per_V,peak_chi2_pm_per_V,peak_wavelength_nm,prefactor,nz_convention,nz_per_metre,kmax_convention,kmax_per_nm,k_points,spin_degeneracy,r_e_hh_nm,broadening_meV,strict_first_two_bound_pass,strict_selected_states_bound_pass,state_selection,selected_electron_states,selected_heavy_hole_states,electron_orthonormality_error,heavy_hole_orthonormality_error,experiment,domain_padding_nm,quantum_padding_nm,mesh_nm,description
D0_reference,2.937986086841,3.048057749389,1.448521135589,1.41546399868,1.4894649512520002,1.5225220881610002,1.5995366138000002,1.6325937507090003,0.9826407464256932,0.024859992221794358,-0.08826890844209587,0.45773075641152466,23.63669600060111,1.0344880855925829,1.0344880855925833,29.65340020832502,23.551515902296412,1.4510036831796351,1.4510036831796342,23.86718496035008,6.016704207723912,0.3156690580536683,2,84.13757234502144,-0.18896181600885778,84.13778453632843,149.47701976826193,1517.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,False,False,"fallback_first_two_eigenstates_not_certified: strict selection needs 2 bound states per band; found {'electron': [], 'heavy_hole': []}","[1, 2]","[1, 2]",1.3600232051658168e-15,9.853229343548264e-16,domain,20.0,2.0,0.05,Exact Demo 18 numerical domain and mesh.
D1_plus10,2.937538495004,3.045028417151,1.448523118792,1.415475771308,1.489015376212,1.522062723696,1.5965052983589998,1.6295526458429999,0.9816355215008331,0.020416686547125723,-0.08551506294611218,0.4503009588021984,33.61112782566054,1.0300637781006055,1.0300637781006055,39.73590816192133,33.55105366587344,1.4510586527263536,1.4510586527263545,33.86846424742102,6.124780336260791,0.31741058154757695,2,84.7007760945249,0.322638124670626,84.70139058111343,145.77994147517816,1520.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,True,True,first_two_strictly_bound_states,"[1, 2]","[1, 2]",1.0796918914479647e-14,1.547373340571312e-14,domain,30.0,12.0,0.05,Ten additional nanometres of AlGaAs and Dirichlet padding per side.
D2_plus20,2.937538071706,3.045027084599,1.448523182651,1.415476004469,1.4890148890549997,1.5220620672369998,1.5965039019479998,1.62955108013,0.9816356827839633,0.020417049562162143,-0.08551504923206861,0.45031191346473276,43.61111474758496,1.030061194080922,1.030061194080922,49.73592334082523,43.551042703411746,1.4510578798733187,1.4510578798733187,43.86850259062328,6.124808593240267,0.31745988721153395,2,84.70623196962399,0.3222603982694878,84.70684497876215,145.7866584769114,1520.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,True,True,first_two_strictly_bound_states,"[1, 2]","[1, 2]",1.3461454173580023e-14,2.498001805406602e-16,domain,40.0,22.0,0.05,Twenty additional nanometres of AlGaAs and Dirichlet padding per side.
D3_plus40,2.937537669387,3.045025828637,1.44852324474,1.415476230679,1.4890144246469998,1.5220614387079998,1.5965025838970002,1.6295495979580001,0.9816358457773114,0.020417488964808828,-0.08551506388524815,0.45032260657100637,63.611102405276384,1.0300587473509975,1.0300587473509975,69.73593746438733,63.55103205795698,1.4510571231408917,1.4510571231408935,63.86853984665533,6.12483505911095,0.31750778869835017,2,84.71151217642773,0.32189058039800256,84.7121237413088,145.79320856442178,1520.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,True,True,first_two_strictly_bound_states,"[1, 2]","[1, 2]",1.3655743202889425e-14,1.6375789613221059e-15,domain,60.0,42.0,0.05,Forty additional nanometres of AlGaAs and Dirichlet padding per side.
M0_0p10nm,2.937567781812,3.045110315251,1.448514587664,1.415453590299,1.489053194148,1.522114191513,1.5965957275870002,1.6296567249520002,0.9815933350010375,0.020244671520031537,-0.08553357815306988,0.4484097775387029,63.61115093420972,1.0306304168565514,1.0306304168565514,69.73450983610233,63.55104692170704,1.4511376128692781,1.4511376128692781,63.8613071423608,6.123358901892615,0.3102602206537597,2,83.94722958516772,0.3629498990905413,83.94801419720486,144.67165233025304,1520.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,True,True,first_two_strictly_bound_states,"[1, 2]","[1, 2]",7.549516567451064e-15,1.3239409568654992e-14,mesh,60.0,42.0,0.1,Coarse mesh on the largest numerical domain.
M2_0p025nm,2.937529942754,3.045004118842,1.448525453986,1.415482054683,1.4890044887679998,1.5220478880709998,1.5964786648559999,1.6295220641589998,0.9816465917796985,0.020461928073581215,-0.08551048643041244,0.45081628193777923,63.61108467764518,1.0299145818605986,1.0299145818605986,69.73630020171771,63.55102288391265,1.4510322677788023,1.451032267778806,63.870414356004545,6.12521552407253,0.319391472091894,2,84.90898210360656,0.31120684457899345,84.90955241650195,146.08132348821414,1520.0,113.39633764994089,two_wells_per_period,66666666.66666667,0.1_times_2pi_over_a,1.1114288784645268,384,2,0.751,5.0,True,True,first_two_strictly_bound_states,"[1, 2]","[1, 2]",2.0011770018868447e-14,1.0766387781302456e-13,mesh,60.0,42.0,0.025,Fine mesh on the largest numerical domain.
