case_id,dual_objective_rank,chi2_1550_pm_per_V,amplitude_percent_error,peak_wavelength_nm,spectral_window_pass,combined_score,desired_peak_ratio,cancellation_factor,classification,physical_valid
Case_00,9,84.91053828525659,96.37134451772407,1520.0,True,0.9637134451772407,3.2440401391555835,131.25023997112393,SPECTRAL_MATCH_ONLY,True
Case_01,6,104.44864478577355,95.53638270146267,1518.0,False,0.9566713343505353,3.212581996683781,109.97295964980415,NEITHER_MATCH,True
Case_02,11,69.99644213146804,97.00869905421077,1525.0,True,0.9700869905421077,1.543795650407168,229.64116835258025,SPECTRAL_MATCH_ONLY,True
Case_03,10,71.63338668057827,96.93874415894965,1522.0,True,0.9693874415894965,3.580719900205219,221.67936755672946,SPECTRAL_MATCH_ONLY,True
Case_04,16,54.810695518141806,97.65766258469478,1518.0,False,0.9778557696054206,1.6664390883861722,285.55940638426523,NEITHER_MATCH,True
Case_05,20,27.22579225021478,98.83650460469167,1514.0,False,0.9996826817782349,1.293680734793295,579.5940319706352,NEITHER_MATCH,True
Case_06,18,40.474421221157826,98.27032387943771,1520.0,True,0.982703238794377,1.6642157007372995,399.5785971170845,SPECTRAL_MATCH_ONLY,True
Case_07,3,129.08828326035055,94.48340669827562,1521.0,True,0.9448340669827562,3.1905809811838135,92.51732357058512,SPECTRAL_MATCH_ONLY,True
Case_08,15,53.375369380811776,97.71900130851232,1521.0,True,0.9771900130851232,1.576588783070276,298.2276514743485,SPECTRAL_MATCH_ONLY,True
Case_09,7,104.23725472554689,95.54541646472022,1518.0,False,0.956761548527993,3.379839921611726,144.1115389893916,NEITHER_MATCH,True
Case_10,19,48.73154495791716,97.91745534367875,1513.0,False,0.9946898039580642,1.4897859795218173,315.5862400885096,NEITHER_MATCH,True
Case_11,17,50.116302376144354,97.85827767623316,1524.0,True,0.9785827767623315,1.661031754034091,327.2761337937221,SPECTRAL_MATCH_ONLY,True
Case_12,5,109.31231648658603,95.32853348347923,1517.0,False,0.9562311067995446,3.3399225478455485,135.31280292102522,NEITHER_MATCH,True
Case_13,8,97.87488800907741,95.81731247824456,1520.0,True,0.9581731247824455,3.2229290582319745,115.64289668642323,SPECTRAL_MATCH_ONLY,True
Case_14,12,66.19142876306853,97.17130646311674,1523.0,True,0.9717130646311674,1.5319019630795603,239.73799912633785,SPECTRAL_MATCH_ONLY,True
Case_15,13,61.452173047927126,97.37383875863559,1522.0,True,0.9737383875863559,1.5473262058010167,259.14815684460433,SPECTRAL_MATCH_ONLY,True
Case_16,14,59.55348221211463,97.45497939264467,1520.0,True,0.9745497939264468,1.6761488511456952,264.47120365581526,SPECTRAL_MATCH_ONLY,True
Case_17,4,104.28726174418414,95.54327941264171,1519.0,False,0.9557598150645447,3.237139595049878,110.23095053585476,NEITHER_MATCH,True
Case_18,2,131.65818435226362,94.37358186528787,1519.0,False,0.9440668913845138,3.2194533537332717,91.7058868029513,NEITHER_MATCH,True
Case_19,1,144.65656692330407,93.81809543062802,1520.0,True,0.9381809543062802,3.253746368189258,98.42565623656273,SPECTRAL_MATCH_ONLY,True
