original_combo_id,solver_case_id,field_kV_per_cm,tunneling_barrier_nm,well1_nm,well2_nm,original_r_e_hh_nm,normalized_r_e_hh_nm,original_hh_relative_weight,forced_hh_relative_weight,original_reported_chi2_1550,raw_chi2_1550_at_hh_weight_1,normalized_chi2_1550_at_r_0p751,original_peak_wavelength_nm,recomputed_unweighted_peak_wavelength_nm,recomputed_unweighted_peak_chi2_pm_per_V,chi_e_real,chi_e_imag,chi_e_abs,chi_hh_real,chi_hh_imag,chi_hh_abs,cancellation_factor,spectral_window_pass,desired_peak_ratio,source_solver_gate_passed,source_combinations_sha256,unweighted_amplitude_rank
Combo_14,Solve_14,3.777444,1.726138,7.049757,2.905859,0.909992,0.751,1.295469,1.0,1725.3211526870148,85.28000910401536,104.73639846329884,1663.0,1519.0,182.51298259968144,5732.648131512762,-4925.99457299571,7558.351482494047,-5627.99969258652,4930.286122059095,7482.118803194886,143.60308838535568,False,3.390553579980958,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,1
Combo_07,Solve_07,0.582619,1.740274,7.034685,2.88371,0.767897,0.751,0.68318,1.0,1954.4741280010403,109.20156871889537,104.44864478577355,1662.0,1518.0,183.39192234460654,3238.1554256483187,-4778.15903363224,5772.0407406165305,-3133.7078049621505,4778.62155993747,5714.485857886072,109.97295964980415,False,3.212581996683781,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,2
Combo_00,Solve_00,0.0,1.8,7.1,2.9,0.751,0.751,1.0,1.0,84.91053828525659,84.91053828525659,84.91053828525659,1520.0,1520.0,146.0814424756297,2918.533250443399,-4772.367365883146,5594.043851176905,-2833.6232818745902,4772.678411757451,5550.484674840328,131.25023997112393,True,3.2440401391555835,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,3
Combo_01,Solve_01,4.57899,1.705461,7.167789,2.952,0.852516,0.751,1.158009,1.0,1624.1285009265855,96.8029485519825,71.63338668057827,1520.0,1522.0,119.82869116122315,6209.106757548776,-4989.557685502085,7965.468763581387,-6137.780200384287,4996.180700705915,7914.175091715853,221.67936755672946,True,3.580719900205219,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,4
Combo_18,Solve_16,20.0,1.7,7.2,3.0,1.0,0.751,0.75,1.0,3863.335023515954,140.0958752950545,69.99644213146804,1524.0,1525.0,102.95545848651551,6269.821660227991,-4973.946079584749,8003.174573485235,-6333.9170055050645,5002.07593249721,8070.890178108861,229.64116835258025,True,1.543795650407168,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,5
Combo_06,Solve_06,16.317429,1.820115,7.121634,2.82338,0.832779,0.751,0.664592,1.0,3208.235854373299,76.57414814517472,58.60309443462852,1511.0,1512.0,97.59232873109359,5700.385280982113,-4871.772517113624,7498.570517781448,-5754.677009069447,4893.8344965942815,7554.1990679865385,256.8596373790343,False,1.444986277357261,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,6
Combo_05,Solve_05,19.653938,1.870783,7.021582,2.867634,0.796366,0.751,1.06746,1.0,350.11987687362307,35.20807628660261,57.04715791457802,1515.0,1515.0,90.61643087144095,5846.5886616086045,-4875.003004796383,7612.3750088145325,-5898.051816562437,4899.618485866811,7667.677388747081,267.8494942805362,False,1.4228363637819663,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,7
Combo_09,Solve_09,-2.03342,1.781699,7.136079,2.801561,0.962101,0.751,1.383247,1.0,1719.5284874957204,49.43359428414519,57.00990765042353,1664.0,1517.0,103.26718542033566,2594.119686560229,-4748.719137587269,5411.080335375452,-2537.119553267904,4749.774777188162,5384.917460981847,189.37055401943098,False,3.238971807981075,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,8
Combo_02,Solve_02,12.932406,1.774727,7.189786,2.908121,0.714726,0.751,0.559829,1.0,3458.797949904566,56.45490086721415,54.810695518141806,1517.0,1518.0,86.45801157782655,6041.023225741754,-4933.847000754595,7799.795371726518,-6092.143118125296,4953.61993543505,7851.914303942763,285.55940638426523,False,1.6664390883861722,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,9
Combo_11,Solve_11,-6.334734,1.729391,7.056995,2.83542,0.749842,0.751,0.908619,1.0,552.484190507176,55.21718726529429,49.0215146028717,1663.0,1519.0,86.36960817382447,2516.046558599139,-4749.480759328497,5374.761182440589,-2467.0285063274514,4750.06337880092,5352.5070531161255,218.8277600653389,False,3.329485641705986,True,0f321c7dfe08d51061ad2300080823236533f337e9586227e250956f69229ae5,10
