case_id,band,state,energy_eV,centroid_nm,left_well_probability,central_barrier_probability,right_well_probability,outside_active_probability,localization_left_minus_right,node_count,character,normalization_check
Case_00,electron,1,2.937529942754,63.611084677645174,0.9561328998187366,0.0205618772043358,0.005024406564765963,0.018280816412161623,0.9511084932539706,0,left_localized,1.0
Case_00,electron,2,3.045004118842,69.73630020171771,0.07202537130978019,0.09513564433086742,0.7393671820173672,0.09347180234198527,-0.667341810707587,2,right_localized,1.0000000000000002
Case_00,electron,3,3.112343906882,64.04022300841407,0.7954321828158184,0.041645345419575444,0.0733184439433425,0.08960402782126367,0.7221137388724759,2,left_localized,1.0
Case_00,electron,4,3.326074995444,51.35740850481099,0.006703358592755173,0.0018776172593810887,0.0005708796993197782,0.990848144448544,0.0061324788934353945,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_00,electron,5,3.326308926831,81.3889828656036,0.00012035954003716371,4.704869779563971e-05,0.00018301893758091751,0.9996495728245863,-6.26593975437538e-05,4,delocalized_bonding_or_antibonding,1.0
Case_00,electron,6,3.330878872798,51.60122179424695,0.030674828368736584,0.008516664798302973,0.0025597643159752134,0.9582487425169852,0.02811506405276137,6,delocalized_bonding_or_antibonding,1.0
Case_00,heavy_hole,1,1.448525453986,63.551022883912644,0.9947830554957122,0.0025979481384972485,5.805301165928168e-05,0.002560943354131249,0.9947250024840529,2,left_localized,0.9999999999999999
Case_00,heavy_hole,2,1.415482054683,63.87041435600455,0.932004329823016,0.01328186935456198,0.04337468818651518,0.011339112635906888,0.8886296416365008,2,left_localized,1.0000000000000002
Case_00,heavy_hole,3,1.41250217051,70.02564708251894,0.04679101253846724,0.019295994030497133,0.908963988204098,0.02494900522693766,-0.8621729756656307,2,right_localized,1.0000000000000002
Case_00,heavy_hole,4,1.361021037279,63.55995340431154,0.9448223058341064,0.026998671650026167,0.0011933987882686444,0.026985623727598766,0.9436289070458378,4,left_localized,1.0
Case_00,heavy_hole,5,1.289979920618,65.35039620190383,0.6426742564374425,0.0935311604064028,0.19302168589976423,0.0707728972563905,0.44965257053767826,4,left_localized,1.0
Case_00,heavy_hole,6,1.280537159303,68.50278199558929,0.2503285151779168,0.06155700667142723,0.5757730923302367,0.11234138582041919,-0.32544457715231984,6,right_localized,0.9999999999999999
Case_01,electron,1,2.941955968222,63.58005182051522,0.9545548996309507,0.020096277135658782,0.005609686418369799,0.01973913681502067,0.948945213212581,0,left_localized,1.0
Case_01,electron,2,3.050185058851,69.57652626885482,0.07641915764260358,0.09538430579134892,0.7294646304657703,0.09873190610027727,-0.6530454728231667,2,right_localized,0.9999999999999998
Case_01,electron,3,3.11980836225,64.02436221709692,0.7893708250052824,0.038523396608323573,0.07641315458761087,0.09569262379878311,0.7129576704176716,4,left_localized,1.0000000000000002
Case_01,electron,4,3.328473747352,38.869037415691565,0.0024272908119343933,0.0005418960067165737,0.0001385986926956821,0.9968922144886533,0.002288692119238711,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_01,electron,5,3.331589428591,90.34281424182491,0.0013450751313915299,0.0007202640610418745,0.0005358425933594965,0.9973988182142072,0.0008092325380320333,4,delocalized_bonding_or_antibonding,0.9999999999999998
Case_01,electron,6,3.333680164663,42.1214231900928,0.01537791780727036,0.0035304997560725434,0.0009275336631356606,0.9801640487735214,0.014450384144134699,6,delocalized_bonding_or_antibonding,1.0
Case_01,heavy_hole,1,1.452033590461,63.52375535027883,0.9946230062048729,0.0024626355773373354,7.360808501943719e-05,0.002840750132770355,0.9945493981198534,2,left_localized,1.0
Case_01,heavy_hole,2,1.418496274589,64.08864963144303,0.8934703020250131,0.013991160644188105,0.07933770151798676,0.013200835812812034,0.8141326005070263,2,left_localized,0.9999999999999999
Case_01,heavy_hole,3,1.415983428918,69.64052959782661,0.08480375753255441,0.018354550623798916,0.8698564462095052,0.026985245634141508,-0.7850526886769508,2,right_localized,1.0000000000000002
Case_01,heavy_hole,4,1.363062604867,63.525985245732215,0.942964571765613,0.025800100547877538,0.0014225675614970715,0.0298127601250124,0.9415420042041159,4,left_localized,0.9999999999999999
Case_01,heavy_hole,5,1.291625889725,65.79372395821683,0.5729097477277436,0.09939603333523224,0.2458256107633024,0.08186860817372177,0.3270841369644412,4,left_localized,0.9999999999999998
Case_01,heavy_hole,6,1.282038016152,67.88958330431025,0.317408178631257,0.05435180881140511,0.5114753690534345,0.11676464350390336,-0.19406719042217752,6,delocalized_bonding_or_antibonding,1.0
Case_02,electron,1,3.063569373146,63.57562671369024,0.9578888203714455,0.01814973376880606,0.00458645563556293,0.01937499022418549,0.9533023647358826,0,left_localized,1.0
Case_02,electron,2,3.178530448315,69.49469646332224,0.10617965187446585,0.09601097353586888,0.7127681838992985,0.08504119069036675,-0.6065885320248326,2,right_localized,1.0
Case_02,electron,3,3.236949616878,64.37459417042973,0.7654102814873065,0.0335368005023718,0.10970830318745413,0.09134461482286758,0.6557019782998523,4,left_localized,1.0000000000000002
Case_02,electron,4,3.386821630402,26.885818348311435,2.3621597013667947e-09,3.4133981668068385e-10,9.869946818223795e-11,0.999999997197801,2.263460233184557e-09,4,delocalized_bonding_or_antibonding,0.9999999999999998
Case_02,electron,5,3.40616884271,33.33134625003547,2.7958113385892315e-06,4.4734185608371157e-07,1.223628998085853e-07,0.9999966344839055,2.673448438780646e-06,6,delocalized_bonding_or_antibonding,0.9999999999999999
Case_02,electron,6,3.422030371368,38.536156511517255,0.0003119262777206735,5.401429605898498e-05,1.4553716443102059e-05,0.9996195057097772,0.00029737256127757147,6,delocalized_bonding_or_antibonding,0.9999999999999998
Case_02,heavy_hole,1,1.57627394758,63.87660292105842,0.9943468593872881,0.003698316569423605,0.0003230133248183093,0.001631810718470023,0.9940238460624697,0,left_localized,1.0000000000000002
Case_02,heavy_hole,2,1.555749090565,70.38933289610016,0.003881432037725013,0.01951903227394652,0.9519601496493751,0.024639386038953326,-0.9480787176116501,2,right_localized,1.0
Case_02,heavy_hole,3,1.543492738201,63.5533661729465,0.9758805074993093,0.011061064514438498,0.0037539225067389622,0.009304505479513215,0.9721265849925703,2,left_localized,1.0
Case_02,heavy_hole,4,1.490539978732,63.58169419198585,0.9455766023782053,0.028235925250927052,0.001955580125084764,0.024231892245782895,0.9436210222531205,4,left_localized,1.0
Case_02,heavy_hole,5,1.432602587127,69.7754592492156,0.07910827333709072,0.10316053216989637,0.7093957146705943,0.10833547982241865,-0.6302874413335036,6,right_localized,1.0
