k_points,stride,kmax_per_nm,max_Re_error_pm_per_V,max_Im_error_pm_per_V,complex_RMS_error_pm_per_V,sum_weights_nm_minus2
31,10,0.55571443923200003,7.9032848314176505,7.4996317781017297,0.96513996537363123,0.049149996836486687
51,6,0.55571443923200003,2.5150656323732221,1.9473762112469899,0.18388188969887878,0.04914999683648668
101,3,0.55571443923200003,0.51389390277597613,0.33752076931278907,0.034678477459781025,0.049149996836486673
151,2,0.55571443923200003,0.18822500300149159,0.12505732853353635,0.012863712191249226,0.049149996836486687
301,1,0.55571443923200003,0,0,0,0.049149996836486673
