wavelength_nm,Re_dense,Re_coarse,Re_error,Im_dense,Im_coarse,Im_error
400,0.39990191351740645,0.39990210715208563,1.9363467917976607e-07,0.0019130121049835335,0.0019130136817744493,1.576790915717996e-09
401,0.40357722115410855,0.40357741767208211,1.965179735607947e-07,0.0019406026388440736,0.001940604248180035,1.6093359613694735e-09
402,0.40728579184051583,0.40728599128560417,1.9944508833358299e-07,0.0019685941632523653,0.0019685958058213993,1.6425690339133547e-09
403,0.41102797522139523,0.41102817763814747,2.0241675224852429e-07,0.0019969929965459555,0.0019969946730515609,1.6765056053483218e-09
404,0.41480412557934621,0.4148043310130558,2.0543370959913432e-07,0.0020258055706983526,0.0020258072818599201,1.7111615674761382e-09
405,0.4186146019108411,0.41861481040756776,2.0849672666134467e-07,0.0020550384336844403,0.0020550401802375984,1.7465531581759008e-09
406,0.4224597680037725,0.42245997961033788,2.1160656538121714e-07,0.0020846982519023239,0.0020847000345994059,1.7826970819673216e-09
407,0.42633999251648513,0.42634020728050737,2.147640222327496e-07,0.0021147918126534736,0.0021147936322638734,1.8196103998557867e-09
408,0.43025564905844582,0.43025586702834273,2.1796989690958668e-07,0.0021453260266824977,0.0021453278839931441,1.8573106464261913e-09
409,0.43420711627246922,0.43420733749747453,2.2122500531462919e-07,0.0021763079307782936,0.0021763098265940202,1.8958157266268927e-09
410,0.43819477791858963,0.43819500244877707,2.2453018744261755e-07,0.0022077446904382693,0.0022077466255823412,1.9351440718948232e-09
411,0.44221902295963755,0.4422192508459255,2.2788628795122889e-07,0.0022396436025973292,0.0022396455779118479,1.9753145187248466e-09
412,0.44628024564849866,0.44628047694267781,2.3129417914269368e-07,0.0022720120984234858,0.0022720141147699142,2.0163464283656785e-09
413,0.45037884561716202,0.45037908037190766,2.3475474564271792e-07,0.0023048577461818173,0.0023048598044414234,2.0582596061552438e-09
414,0.45451522796757615,0.45451546623646333,2.3826888717604078e-07,0.0023381882541688194,0.0023381903552432285,2.1010744090735334e-09
415,0.45868980336429932,0.45869004520182188,2.4183752256323743e-07,0.0023720114737190885,0.0023720136185307198,2.1448116312508536e-09
416,0.46290298812909225,0.46290323359068553,2.4546159327343275e-07,0.0024063354022861461,0.0024063375917788288,2.189492682644345e-09
