k_per_nm,e1_raw_eV,e2_raw_eV,h1_raw_eV,h2_raw_eV
0,2.9525116792099002,3.09114845201545,1.4437721218702999,1.4167478423565001
0.0018523814641067001,2.9525136187266501,3.0911501824670502,1.4437713303058,1.41674859151465
0.0037047629282133,2.9525193288682998,3.0911550068766998,1.4437689555087501,1.4167507742995
0.0055571443923200002,2.9525288461113002,3.0911630489278004,1.4437649979214502,1.4167544090897999
0.0074095258564266997,2.952542170339,3.0911743085512002,1.4437594581546001,1.41675949075315
0.0092619073205332993,2.9525593013885501,3.0911887856503002,1.4437523370634,1.4167660121291501
0.01111428878464,2.9525802390500999,3.0912064801005998,1.4437436357475,1.41677396405405
0.012966670248747,2.95260498306765,3.0912273917500501,1.4437333555518499,1.4167833353924499
0.014819051712853,2.9526335331383997,3.0912515204191,1.4437214980666999,1.4167941130749
0.016671433176960002,2.9526658889129997,3.0912788659002004,1.4437080651279999,1.4168062821422498
0.018523814641067001,2.9527020499957999,3.0913094279586,1.44369305881815,1.4168198257954998
0.020376196105173001,2.9527420212437501,3.0913432250976998,1.4436764814699501,1.4168347274269499
0.022228577569280001,2.9527857974492502,3.0913802403183999,1.4436583356582999,1.4168509649552501
0.024080959033387001,2.9528333774939499,3.09142047123825,1.4436386242076,1.41686851619265
0.025933340497493001,2.9528847607961501,3.0914639175114003,1.4436173501919001,1.4168873575780501
0.0277857219616,2.9529399467278497,3.09151057876455,1.44359451693465,1.41690746403125
0.029638103425707,2.9529989346145999,3.0915604545965003,1.4435701280100499,1.4169288090281
0.031490484889813,2.9530617237358001,3.0916135445789501,1.4435441872438499,1.4169513646778
0.033342866353920003,2.9531283133246502,3.0916698482558003,1.4435166987143,1.4169751018024499
0.035195247818026999,2.9531987025681499,3.0917293651435998,1.4434876667535002,1.4169999900177501
0.037047629282133003,2.9532728906071499,3.0917920947314501,1.4434570959480499,1.4170259978146
0.038900010746239999,2.9533508765366498,3.0918580364809998,1.443424991141,1.4170530926413001
0.040752392210347002,2.9534326594053999,3.0919271898264999,1.44339135743245,1.41708124098555
0.042604773674452999,2.9535182382165499,3.0919995541747998,1.4433562001812499,1.4171104084557502
0.044457155138560002,2.9536076119270001,3.0920751289054,1.4433195250064501,1.4171405598617501
0.046309536602666998,2.9537007794481998,3.0921539133704998,1.4432813377886999,1.417171659294
0.048161918066773002,2.9537977396458004,3.0922359068950502,1.4432416446719001,1.41720367020105
0.050014299530879998,2.9538984913397499,3.09232110877665,1.4432004520646,1.4172365554654001
0.051866680994987001,2.9540030333042999,3.0924095182856499,1.44315776664215,1.4172702774764998
0.053719062459092998,2.9541113642685999,3.0925011346653499,1.4431135953479499,1.4173047982017
