z_nm,e1_nm_minus_half,e2_nm_minus_half,h1_nm_minus_half,h2_nm_minus_half
7.1142317671145996,0,0,0,0
7.260978922993,0.0072599083610201433,-0.0047643191898635775,0.0012323833513220072,-0.0029932584075429178
7.4003918486039,0.014321083070652085,-0.0093645384884254567,0.0024904994196762145,-0.0060213348158185357
7.5328370991510001,0.02132152156377113,-0.013866146218394935,0.0038450120043589226,-0.0092328958892595545
7.6586629098899,0.02836468494804617,-0.018318240481195913,0.0053537634144791308,-0.012747317846772075
7.7782001117353996,0.035527223500673215,-0.022757043363998891,0.0070660136498580418,-0.016663492499408097
7.8917630011069999,0.042864661283828258,-0.027208584902321871,0.0090249165377949535,-0.021065165754069123
7.9996501663019002,0.050415652000309306,-0.031690781201578852,0.011268892885742066,-0.026024089624852153
8.1021452725657994,0.058205227061896347,-0.036215065896097832,0.013832314112438081,-0.031601801088142187
8.1995178079279007,0.066247326663480405,-0.040787688498900812,0.016745761654872095,-0.037850553696908221
8.2920237917592008,0.074546815343988437,-0.045410761103640784,0.020036036396670117,-0.044813747450442261
8.3799064479186001,0.083101121879458506,-0.050083112223373763,0.023726034853305138,-0.052526086397015309
8.4633968442558007,0.091901600641804554,-0.05480099046803074,0.027834571305242164,-0.061013616815056362
8.5427145001524991,0.10093468189705061,-0.059558649323901723,0.032376199619149185,-0.070293746758365416
8.6180679636999002,0.11018285792563066,-0.0643488361457807,0.03736107055528122,-0.080375311416509471
8.6896553600291,0.11940042086367073,-0.069047016320667676,0.042778899769601253,-0.091223941325132535
8.7576649122372991,0.12845493690992077,-0.073589530332127659,0.048585935605409282,-0.10273619950288061
8.8222754362783995,0.13729229763060083,-0.077954048750030633,0.054727027718405319,-0.11478813328177068
8.8836568111192999,0.14586968354384089,-0.082124893780031613,0.06114531260456036,-0.12725599409173075
8.9419704253995,0.1541540295474309,-0.086091853335803603,0.067783335906082404,-0.14001849163239083
8.9973696017656,0.16212067319865098,-0.089849180383988578,0.07458422538598844,-0.1529590136012409
9.0500000000000007,0.16975216550156103,-0.093394752084342572,0.081492801930579492,-0.16596760718202097
9.0999999999999996,0.17703722375586106,-0.096729364490316536,0.08845655651469353,-0.17894260450087104
