|kp8_i>     |kp8_j>     |<kp8_i|eps.d|kp8_j>|[e*nm]     |<kp8_i|eps.d|kp8_j>|^2[e^2*nm^2]     Re<kp8_i|eps.d|kp8_j>[e*nm]     Im<kp8_i|eps.d|kp8_j>[e*nm]
7           3           0.0783047                       0.00613163                            0.0387031                       -0.0680713
7           4           0.0237345                       0.000563327                           0.00332634                      -0.0235003
7           5           2.33498e-14                     5.45213e-28                           -2.26313e-14                    -5.74792e-15
7           6           3.45694e-14                     1.19504e-27                           -1.98409e-14                    -2.83086e-14
7           7           0                               0                                     0                               0
7           8           2.34121e-11                     5.48127e-22                           -6.70673e-12                    2.24309e-11
7           9           0.0465327                       0.00216529                            -0.0446341                      -0.0131565
7           10          0.381917                        0.145861                              0.000121142                     0.381917
7           11          0.121651                        0.014799                              0.0369975                       0.115889
7           12          0.0302417                       0.000914562                           -0.00551008                     0.0297355
7           13          0.00993368                      9.86781e-05                           -0.0097313                      -0.00199494
7           14          0.0745543                       0.00555834                            -0.0336184                      -0.0665443
8           1           2.11782e-14                     4.48518e-28                           1.27527e-14                     -1.69082e-14
8           2           3.04048e-14                     9.24449e-28                           1.83134e-14                     2.42708e-14
8           3           0.0237345                       0.000563327                           0.0223652                       0.00794514
8           4           0.0783047                       0.00613163                            -0.0782567                      0.0027429
8           5           1.47703e-15                     2.18162e-30                           8.36319e-16                     1.21745e-15
8           6           4.67349e-14                     2.18415e-27                           4.669e-14                       2.04912e-15
8           7           2.34121e-11                     5.48127e-22                           -6.70673e-12                    -2.24309e-11
8           8           0                               0                                     0                               0
8           9           0.381917                        0.145861                              -0.381914                       0.0015356
8           10          0.0465327                       0.00216529                            -0.01335                        -0.0445766
8           11          0.0302417                       0.000914562                           0.0270481                       -0.0135263
8           12          0.121651                        0.014799                              -0.121602                       -0.00347067
8           13          0.0745543                       0.00555834                            -0.0745539                      0.000232846
8           14          0.00993368                      9.86781e-05                           0.00619299                      0.00776692
9           1           1.35172e-14                     1.82715e-28                           9.04206e-15                     -1.00477e-14
9           2           8.03995e-15                     6.46407e-29                           -7.43061e-15                    3.0703e-15
9           3           0.00384607                      1.47922e-05                           -0.00384105                     0.000196454
9           4           0.012331                        0.000152053                           0.0123308                       6.78217e-05
9           5           6.50629e-15                     4.23318e-29                           -5.49785e-15                    3.47929e-15
9           6           5.83809e-15                     3.40833e-29                           -5.82092e-15                    4.47434e-16
9           7           0.0465327                       0.00216529                            -0.0446341                      0.0131565
9           8           0.381917                        0.145861                              -0.381914                       -0.0015356
9           9           0                               0                                     0                               0
9           10          2.36606e-11                     5.59822e-22                           2.34265e-11                     -3.3196e-12
9           11          0.00576101                      3.31893e-05                           0.00575799                      -0.000186664
9           12          0.0197047                       0.000388275                           -0.0197046                      -4.78955e-05
9           13          0.167643                        0.0281042                             0.167643                        -7.78097e-05
9           14          0.0025988                       6.75378e-06                           0.000131823                     -0.00259546
10          1           1.34085e-14                     1.79787e-28                           -3.46335e-15                    -1.29535e-14
10          2           2.23052e-14                     4.97522e-28                           -2.0845e-14                     -7.93775e-15
10          3           0.012331                        0.000152053                           -0.010933                       -0.00570283
10          4           0.00384607                      1.47922e-05                           -0.00330396                     -0.00196879
10          5           2.14994e-14                     4.62224e-28                           -7.05608e-16                    -2.14878e-14
10          6           3.65906e-14                     1.33887e-27                           3.63699e-14                     -4.01278e-15
10          7           0.381917                        0.145861                              0.000121142                     -0.381917
