wavelength_nm,simulated_abs_chi2_pm_per_V
617.58,31.1
617.96,31.1
618.35,31.1
618.74,31.1
619.13,31.1
619.52,31.1
619.91,31.1
620.30,31.1
620.68,31.1
621.07,28.5
624.18,111.4
624.57,111.4
624.96,114.0
625.35,116.6
625.73,119.2
626.12,121.8
626.51,129.5
626.90,134.7
627.29,139.9
627.68,145.1
628.07,150.3
628.45,155.4
628.84,165.8
629.23,168.4
629.62,171.0
630.01,176.2
630.40,178.8
630.79,181.3
631.17,183.9
631.56,186.5
631.95,186.5
632.34,186.5
632.73,186.5
638.17,220.2
638.56,217.6
638.94,220.2
639.33,220.2
639.72,220.2
640.11,222.8
640.50,225.4
640.89,225.4
641.28,225.4
641.66,225.4
642.05,230.6
642.44,230.6
642.83,230.6
643.22,230.6
643.61,230.6
644.00,235.8
644.38,235.8
644.77,235.8
645.16,235.8
645.55,235.8
645.94,238.3
646.33,238.3
646.72,238.3
647.10,238.3
651.38,277.2
651.77,274.6
652.16,277.2
652.54,279.8
652.93,282.4
653.32,285.0
653.71,287.6
654.10,290.2
654.49,295.3
654.87,300.5
655.26,305.7
655.65,308.3
656.04,310.9
656.43,316.1
656.82,321.2
657.21,326.4
657.59,329.0
657.98,329.0
658.37,331.6
658.76,334.2
659.15,336.8
659.54,336.8
663.03,406.7
663.42,404.1
663.81,406.7
664.20,409.3
664.59,411.9
664.98,414.5
665.37,419.7
665.75,422.3
666.14,427.5
666.53,432.6
666.92,437.8
667.31,443.0
667.70,448.2
668.08,453.4
668.47,458.5
668.86,461.1
669.25,463.7
669.64,466.3
670.03,468.9
670.42,471.5
670.80,471.5
675.47,531.1
675.86,528.5
676.24,531.1
676.63,533.7
677.02,533.7
677.41,536.3
677.80,541.5
678.19,541.5
678.58,546.6
678.96,551.8
679.35,551.8
679.74,557.0
680.13,562.2
680.52,564.8
680.91,569.9
681.30,572.5
681.68,572.5
682.07,575.1
682.46,577.7
682.85,580.3
683.24,580.3
687.12,650.3
687.51,647.7
687.90,650.3
688.29,652.8
688.68,655.4
689.07,655.4
689.45,660.6
689.84,663.2
690.23,665.8
690.62,671.0
691.01,676.2
691.40,678.8
691.79,681.3
692.17,686.5
692.56,689.1
692.95,694.3
693.34,696.9
693.73,699.5
694.12,699.5
694.51,702.1
694.89,704.7
695.28,704.7
699.94,769.4
700.33,766.8
700.72,769.4
701.11,772.0
701.50,772.0
701.89,774.6
702.28,779.8
702.66,782.4
703.05,785.0
703.44,790.2
703.83,792.7
704.22,795.3
704.61,800.5
705.00,805.7
705.38,808.3
705.77,810.9
706.16,813.5
706.55,813.5
706.94,816.1
707.33,818.7
707.72,818.7
711.21,888.6
711.60,888.6
711.99,891.2
712.38,893.8
712.77,896.4
713.15,899.0
713.54,904.1
713.93,909.3
714.32,914.5
714.71,919.7
715.10,924.9
715.49,930.1
715.87,935.2
716.26,940.4
716.65,943.0
717.04,945.6
717.43,948.2
717.82,950.8
718.21,953.4
718.59,953.4
721.70,1044.0
722.09,1044.0
722.48,1046.6
722.87,1049.2
723.26,1051.8
723.65,1054.4
724.03,1062.2
724.42,1067.4
724.81,1072.5
725.20,1077.7
725.59,1082.9
725.98,1090.7
726.36,1095.9
726.75,1098.4
727.14,1101.0
727.53,1103.6
