wavelength_nm,photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V
400,3.0996049599999997,0.39990191351740645,0.0019130121049835335,0.39990191351740645,0.39990648913239335
401,3.0918752718204487,0.40357722115410855,0.0019406026388440736,0.40357722115410855,0.4035818868248105
402,3.084184039800995,0.40728579184051583,0.0019685941632523653,0.40728579184051583,0.40729054936020254
403,3.0765309776674936,0.41102797522139523,0.0019969929965459555,0.41102797522139523,0.41103282642099059
404,3.0689158019801979,0.41480412557934621,0.0020258055706983526,0.41480412557934621,0.41480907232828967
405,3.0613382320987652,0.4186146019108411,0.0020550384336844403,0.4186146019108411,0.41861964611797176
406,3.0537979901477832,0.4224597680037725,0.0020846982519023239,0.4224597680037725,0.42246491161823457
407,3.0462948009828006,0.42633999251648513,0.0021147918126534736,0.42633999251648513,0.42634523752865761
408,3.0388283921568626,0.43025564905844582,0.0021453260266824977,0.43025564905844582,0.43026099750089508
409,3.0313984938875302,0.43420711627246922,0.0021763079307782936,0.43420711627246922,0.43421257022092663
410,3.0240048390243901,0.43819477791858963,0.0022077446904382693,0.43819477791858963,0.43820033949295412
411,3.0166471630170313,0.44221902295963755,0.0022396436025973292,0.44221902295963755,0.44222469432500389
412,3.009325203883495,0.44628024564849866,0.0022720120984234858,0.44628024564849866,0.4462860290162125
413,3.0020387021791763,0.45037884561716202,0.0023048577461818173,0.45037884561716202,0.45038474324590261
414,2.9947874009661835,0.45451522796757615,0.0023381882541688194,0.45451522796757615,0.45452124216446654
415,2.9875710457831324,0.45868980336429932,0.0023720114737190885,0.45868980336429932,0.45869593648604634
416,2.9803893846153846,0.46290298812909225,0.0024063354022861461,0.46290298812909225,0.46290924258315563
417,2.9732421678657071,0.46715520433742741,0.0024411681865999305,0.46715520433742741,0.46716158258322016
418,2.9661291483253587,0.47144687991695633,0.0024765181259026386,0.47144687991695633,0.47145338446707635
419,2.9590500811455844,0.47577844874803032,0.0025123936752655266,0.47577844874803032,0.47578508216952498
420,2.9520047238095235,0.48015035076627566,0.0025488034489885882,0.48015035076627566,0.48015711568193925
421,2.9449928361045128,0.48456303206734108,0.0025857562240860334,0.48456303206734108,0.48456993115704716
422,2.9380141800947865,0.48901694501373916,0.0026232609438592508,0.48901694501373916,0.48902398101580868
423,2.9310685200945623,0.49351254834400016,0.002661326721560513,0.49351254834400016,0.49351972405660549
424,2.9241556226415093,0.49805030728408028,0.0026999628441495803,0.49805030728408028,0.49805762556668737
425,2.9172752564705879,0.50263069366108337,0.0027391787761460911,0.50263069366108337,0.50263815743593276
426,2.9104271924882625,0.50725418601944217,0.0027789841635803038,0.50725418601944217,0.5072617982730695
427,2.9036112037470723,0.51192126973950369,0.0028193888380454281,0.51192126973950369,0.51192903352430186
428,2.8968270654205606,0.51663243715866836,0.0028604028208540936,0.51663243715866836,0.51664035559449184
429,2.8900745547785545,0.52138818769509032,0.0029020363273023209,0.52138818769509032,0.52139626397090322
430,2.8833534511627903,0.52618902797404221,0.0029442997710439189,0.52618902797404221,0.5261972653496112
431,2.8766635359628769,0.53103547195699274,0.0029872037685788376,0.53103547195699274,0.53104387376462692
432,2.8700045925925926,0.53592804107343195,0.0030307591438586664,0.53592804107343195,0.53593661071977006
433,2.8633764064665126,0.5408672643556085,0.0030749769330127037,0.5408672643556085,0.54087600532345503
434,2.8567787649769585,0.54585367857616029,0.0031198683891983676,0.54585367857616029,0.54586259442637397
435,2.8502114574712643,0.55088782838872641,0.0031654449875796542,0.55088782838872641,0.55089692276215907
436,2.8436742752293576,0.55597026647165393,0.0032117184304374293,0.55597026647165393,0.55597954309114495
437,2.8371670114416472,0.5611015536748849,0.003258700652415388,0.5611015536748849,0.56111101634731053
438,2.8306894611872142,0.5662822591700416,0.0033064038259062135,0.5662822591700416,0.5662919117884222
439,2.8242414214123004,0.57151296060383427,0.0033548403665817541,0.57151296060383427,0.57152280714950043
440,2.8178226909090909,0.57679424425491832,0.0034040229390717705,0.57679424425491832,0.57680428879973844
441,2.8114330702947843,0.58212670519418763,0.00345396446279609,0.58212670519418763,0.58213695190285841
442,2.8050723619909501,0.58751094744869947,0.0035046781179542373,0.58751094744869947,0.58752140058110136
443,2.7987403702031601,0.59294758416926041,0.0035561773516781889,0.59294758416926041,0.59295824808288045
444,2.7924369009009009,0.59843723780181346,0.0036084758843525841,0.59843723780181346,0.59844811695423705
445,2.7861617617977528,0.60398054026264547,0.0036615877161081372,0.60398054026264547,0.60399163921412025
446,2.7799147623318383,0.60957813311766729,0.0037155271334933515,0.60957813311766729,0.60958945653373975
447,2.7736957136465321,0.61523066776567781,0.0037703087163302521,0.61523066776567781,0.61524222041990762
448,2.7675044285714283,0.62093880562593728,0.0038259473447598835,0.62093880562593728,0.62095059240268902
449,2.7613407216035633,0.6267032183299408,0.0038824582064835769,0.6267032183299408,0.62671524422725711
450,2.7552044088888885,0.63252458791768418,0.0039398568042062695,0.63252458791768418,0.6325368580502434
451,2.7490953082039908,0.63840360703849486,0.0039981589632880777,0.63840360703849486,0.63841612664065484
452,2.7430132389380528,0.64434097915644717,0.0040573808396110449,0.64434097915644717,0.64435375358537861
453,2.7369580220750551,0.65033741876066187,0.0041175389276678718,0.65033741876066187,0.65035045349957388
454,2.7309294801762114,0.65639365158051199,0.0041786500688797273,0.65639365158051199,0.65640695224197365
455,2.7249274373626373,0.66251041480583761,0.0042407314601504899,0.66251041480583761,0.66252398713519811
456,2.7189517192982455,0.6686884573124674,0.004303800662665563,0.6686884573124674,0.66870230719137758
457,2.7130021531728663,0.6749285398929914,0.0043678756109422189,0.6749285398929914,0.67494267334303126
458,2.7070785676855893,0.68123143549312104,0.0044329746221411,0.68123143549312104,0.68124585867953646
459,2.701180793028322,0.68759792945360676,0.0044991164056460108,0.68759792945360676,0.6876126486891575
460,2.6953086608695651,0.69402881975807418,0.0045663200729222555,0.69402881975807418,0.69404384150700016
461,2.6894620043383948,0.70052491728672939,0.0046346051476612912,0.70052491728672939,0.70054024816883564
462,2.6836406580086578,0.70708704607630857,0.0047039915762226974,0.70708704607630857,0.70710269287117622
463,2.6778444578833693,0.71371604358628504,0.0047744997383821312,0.71371604358628504,0.71373201323760993
464,2.67207324137931,0.72041276097159046,0.0048461504583964966,0.72041276097159046,0.72042906059165557
465,2.6663268473118276,0.72717806336204238,0.0049189650163961249,0.72717806336204238,0.72719470023632804
466,2.6606051158798283,0.73401283014861463,0.0049929651601159763,0.73401283014861463,0.73402981174055137
467,2.6549078886509636,0.74091795527687099,0.0050681731169766493,0.74091795527687099,0.74093528923273932
468,2.6492350085470084,0.74789434754754591,0.0051446116065273703,0.74789434754754591,0.74791204170153014
469,2.6435863198294243,0.75494293092479059,0.0052223038532634054,0.75494293092479059,0.75496099330418975
470,2.6379616680851061,0.76206464485199699,0.0053012735998307827,0.76206464485199699,0.76208308368259992
471,2.6323609002123138,0.76926044457565812,0.0053815451206316711,0.76926044457565812,0.76927926828728754
472,2.6267838644067796,0.77653130147734784,0.0054631432358441222,0.77653130147734784,0.77655051870958081
473,2.6212304101479913,0.7838782034141929,0.0055460933258712191,0.7838782034141929,0.78389782302226241
474,2.6157003881856538,0.79130215506795953,0.0056304213462336425,0.79130215506795953,0.7913221861288442
475,2.6101936505263157,0.79880417830311989,0.0057161538429225476,0.79880417830311989,0.79882463012182992
476,2.6047100504201679,0.80638531253407053,0.0058033179682276271,0.80638531253407053,0.80640619465013474
477,2.5992494423480084,0.814046615101925,0.0058919414970585275,0.814046615101925,0.81406793729608729
478,2.5938116820083681,0.82178916166098315,0.0059820528437758268,0.82178916166098315,0.82181093396211713
479,2.5883966263048013,0.8296140465753461,0.0060736810795513161,0.8296140465753461,0.82963627926759365
480,2.5830041333333331,0.83752238332583273,0.0061668559502752584,0.83752238332583273,0.83754508695597674
481,2.5776340623700622,0.84551530492769844,0.0062616078950311297,0.84551530492769844,0.84553849031277695
482,2.5722862738589209,0.85359396435928203,0.006357968065158261,0.85359396435928203,0.85361764259445383
483,2.5669606293995857,0.86175953500211078,0.0064559683439236876,0.86175953500211078,0.86178371746878102
484,2.561656991735537,0.87001321109265639,0.0065556413668256559,0.87001321109265639,0.87003790946687232
485,2.556375224742268,0.87835620818627613,0.0066570205425520446,0.87835620818627613,0.87838143444740269
486,2.5511151934156375,0.88678976363352957,0.0067601400746172893,0.88678976363352957,0.88681553007321645
487,2.5458767638603694,0.89531513706947652,0.0068650349837041918,0.89531513706947652,0.89534145630092599
488,2.5406598032786882,0.90393361091617463,0.0069717411307356619,0.90393361091617463,0.90396049588372396
489,2.5354641799591002,0.91264649089889582,0.0070802952407044532,0.91264649089889582,0.91267395488792369
490,2.5302897632653059,0.92145510657659568,0.007190734927289142,0.92145510657659568,0.92148316322376711
491,2.5251364236252543,0.9303608118867972,0.0073030987182863324,0.9303608118867972,0.93038947519065873
492,2.5200040325203252,0.93936498570574689,0.0074174260818895658,0.93936498570574689,0.93939427003768672
493,2.5148924624746449,0.94846903242400149,0.0075337574538480723,0.94846903242400149,0.94849895253958771
494,2.5098015870445343,0.9576743825381886,0.007652134265538079,0.9576743825381886,0.95770495358890084
495,2.5047312808080808,0.96698249325929764,0.007772598972983099,0.96698249325929764,0.96701373080466779
496,2.4996814193548387,0.97639484913821439,0.0078951950868586529,0.97639484913821439,0.9764267691583921
497,2.4946518792756538,0.98591296270892448,0.0080199672035209287,0.98591296270892448,0.98594558161768475
498,2.4896425381526104,0.99553837515004062,0.008146961037098055,0.99553837515004062,0.99557170980825038
499,2.4846532745490979,1.0052726569653019,0.0082762234526877476,1.0052726569653019,1.0053067246948646
500,2.4796839679999998,1.015117408683635,0.0084078025007024958,1.015117408683635,1.0151522272819329
501,2.4747344990019959,1.0250742615794359,0.0085417474524106078,1.0250742615794359,1.0251098493342881
502,2.4698047490039841,1.0351448784138069,0.0086781088367179592,1.0351448784138069,1.0351812541189667
503,2.464894600397614,1.0453309541974232,0.0088169384782429902,1.0453309541974232,1.0453681371686361
504,2.4600039365079365,1.0556342169758324,0.0089582895367351333,1.0556342169758324,1.0556722270674752
505,2.4551326415841581,1.066056428637832,0.0091022165478913744,1.066056428637832,1.0660952862601607
506,2.4502806007905136,1.0765993857479246,0.0092487754656291159,1.0765993857479246,1.0766391118849539
507,2.4454477001972386,1.0872649204035323,0.0093980237058734414,1.0872649204035323,1.087305536631574
508,2.4406338267716534,1.0980549011178948,0.0095500201919218285,1.0980549011178948,1.0980964296247828
509,2.4358388683693515,1.1089712337295583,0.0097048254014515389,1.1089712337295583,1.1090136973345872
510,2.4310627137254901,1.1200158623394287,0.0098625014152381174,1.1200158623394287,1.1200592845140385
511,2.4263052524461837,1.1311907702763353,0.010023111967655693,1.1311907702763353,1.1312351751655731
512,2.4215663749999998,1.142497981092093,0.010186722499035725,1.142497981092093,1.1425433935368847
513,2.4168459727095515,1.1539395595872795,0.010353400209960201,1.1539395595872795,1.1539860051475461
514,2.4121439377431906,1.165517612868642,0.010523214117573936,1.165517612868642,1.1655651178472963
515,2.407460163106796,1.1772342914393796,0.010696235114000707,1.1772342914393796,1.1772828829072441
516,2.4027945426356587,1.189091790323666,0.010872536026954,1.189091790323666,1.1891414961453488
517,2.3981469709864602,1.2010923502262578,0.011052191682637266,1.2010923502262578,1.2011431990870303
518,2.3935173436293433,1.2132382587290507,0.011235278971032762,1.2132382587290507,1.2132902801627714
519,2.388905556840077,1.2255318515254361,0.011421876913683928,1.2255318515254361,1.2255850759435654
520,2.3843115076923076,1.2379755136942245,0.011612066734079642,1.2379755136942245,1.2380299724159813
521,2.379735094049904,1.2505716810145198,0.011805931930756575,1.2505716810145198,1.2506274062982288
522,2.3751762145593869,1.2633228413230175,0.012003558353239626,1.2633228413230175,1.2633798663987021
523,2.3706347686424474,1.2762315359154646,0.012205034280946627,1.2762315359154646,1.2762898950187394
524,2.3661106564885492,1.289300360993995,0.012410450505191895,1.289300360993995,1.2893600894013231
525,2.361603779047619,1.3025319691619224,0.012619900414427985,1.3025319691619224,1.3025931032272915
526,2.3571140380228135,1.3159290709680769,0.012833480082871405,1.3159290709680769,1.3159916481611664
527,2.3526413358633773,1.3294944365024515,0.013051288362669632,1.3294944365024515,1.3295584954483559
528,2.3481855757575758,1.3432308970452667,0.013273426979770152,1.3432308970452667,1.3432964775658496
529,2.3437466616257088,1.3571413467714568,0.013500000633663547,1.3571413467714568,1.3572084899284089
530,2.3393244981132075,1.3712287445129925,0.013731117101180541,1.3712287445129925,1.3712974926526789
531,2.3349189905838039,1.3854961155810526,0.013966887344533521,1.3854961155810526,1.3855665123812282
532,2.3305300451127819,1.3999465536507683,0.014207425623801086,1.3999465536507683,1.400018644169255
533,2.3261575684803,1.4145832227108319,0.014452849614068206,1.4145832227108319,1.414657053436249
534,2.3218014681647938,1.4294093590807866,0.014703280527440729,1.4294093590807866,1.4294849779854328
535,2.3174616523364486,1.4444282734985756,0.014958843240171875,1.4444282734985756,1.4445057300935709
536,2.3131380298507462,1.4596433532815292,0.015219666425144399,1.4596433532815292,1.4597226986743199
537,2.3088305102420854,1.4750580645635454,0.015485882689969623,1.4750580645635454,1.4751393515178965
538,2.3045390037174718,1.4906759546118593,0.015757628720978779,1.4906759546118593,1.4907592376104488
539,2.3002634211502779,1.5065006542266897,0.016035045433394728,1.5065006542266897,1.5065859895364404
540,2.2960036740740741,1.5225358802271494,0.016318278127990825,1.5225358802271494,1.5226233259674313
541,2.2917596746765247,1.5387854380273169,0.016607476654560999,1.5387854380273169,1.5388750542411667
542,2.287531335793358,1.5552532243061514,0.016902795582540514,1.5552532243061514,1.5553450730346579
543,2.2833185709023938,1.5719432297754294,0.017204394379141119,1.5719432297754294,1.5720373751354519
544,2.2791212941176471,1.5888595420498071,0.017512437595378592,1.5888595420498071,1.588956050315192
545,2.274939420183486,1.6060063486236458,0.017827095060401511,1.6060063486236458,1.6061052883101243
