z_nm,al_fraction,E_c_eV,E_v_eV
12.640,0.5500,1.92680,-0.27166
12.720,0.5500,1.92680,-0.27166
12.800,0.5500,1.92680,-0.27166
12.880,0.5500,1.92680,-0.27166
12.960,0.5500,1.92680,-0.27166
13.040,0.5500,1.92680,-0.27166
13.120,0.5500,1.92680,-0.27166
13.200,0.5500,1.92680,-0.27166
13.280,0.5500,1.92680,-0.27166
13.360,0.5500,1.92680,-0.27166
13.440,0.5500,1.92680,-0.27166
13.520,0.5500,1.92680,-0.27166
13.600,0.5500,1.92680,-0.27166
13.680,0.5500,1.92680,-0.27166
13.760,0.5500,1.92680,-0.27166
13.840,0.5500,1.92680,-0.27166
13.920,0.5500,1.92680,-0.27166
14.000,0.5500,1.92680,-0.27166
14.080,0.5500,1.92680,-0.27166
14.160,0.5500,1.92680,-0.27166
14.240,0.5500,1.92680,-0.27166
14.320,0.5500,1.92680,-0.27166
14.400,0.5500,1.92680,-0.27166
14.480,0.5500,1.92680,-0.27166
14.560,0.5500,1.92680,-0.27166
14.640,0.5500,1.92680,-0.27166
14.720,0.5500,1.92680,-0.27166
14.800,0.5500,1.92680,-0.27166
14.880,0.5500,1.92680,-0.27166
14.960,0.5500,1.92680,-0.27166
15.040,0.5500,1.92680,-0.27166
15.120,0.5500,1.92680,-0.27166
15.200,0.5500,1.92680,-0.27166
15.280,0.5500,1.92680,-0.27166
15.360,0.5500,1.92680,-0.27166
15.440,0.5500,1.92680,-0.27166
15.520,0.5500,1.92680,-0.27166
15.600,0.5500,1.92680,-0.27166
15.680,0.5500,1.92680,-0.27166
15.760,0.5500,1.92680,-0.27166
15.840,0.5500,1.92680,-0.27166
15.920,0.5500,1.92680,-0.27166
16.000,0.5500,1.92680,-0.27166
16.080,0.5500,1.92680,-0.27166
16.160,0.5500,1.92680,-0.27166
16.240,0.5500,1.92680,-0.27166
16.320,0.5500,1.92680,-0.27166
16.400,0.5500,1.92680,-0.27166
16.480,0.5500,1.92680,-0.27166
16.560,0.5500,1.92680,-0.27166
16.640,0.5500,1.92680,-0.27166
16.720,0.5500,1.92680,-0.27166
16.800,0.5500,1.92680,-0.27166
16.880,0.5500,1.92680,-0.27166
16.960,0.5500,1.92680,-0.27166
17.040,0.5500,1.92680,-0.27166
17.120,0.5500,1.92680,-0.27166
17.200,0.5500,1.92680,-0.27166
17.280,0.5500,1.92680,-0.27166
17.360,0.5500,1.92680,-0.27166
17.440,0.5500,1.92680,-0.27166
17.520,0.5500,1.92680,-0.27166
17.600,0.5500,1.92680,-0.27166
17.680,0.5500,1.92680,-0.27166
17.760,0.5069,1.88198,-0.24752
17.840,0.4637,1.83804,-0.22386
17.920,0.4206,1.79501,-0.20069
18.000,0.3775,1.75286,-0.17800
18.080,0.3343,1.71162,-0.15579
18.160,0.2912,1.67127,-0.13406
18.240,0.2480,1.63181,-0.11281
18.320,0.2049,1.59325,-0.09205
18.400,0.1618,1.55558,-0.07177
18.480,0.1186,1.51881,-0.05197
18.560,0.0755,1.48293,-0.03265
18.640,0.0324,1.44795,-0.01381
18.720,0.0000,1.42230,-0.00000
18.800,0.0000,1.42230,-0.00000
18.880,0.0000,1.42230,-0.00000
18.960,0.0000,1.42230,-0.00000
19.040,0.0000,1.42230,-0.00000
19.120,0.0000,1.42230,-0.00000
19.200,0.0000,1.42230,-0.00000
19.280,0.0000,1.42230,-0.00000
19.360,0.0000,1.42230,-0.00000
19.440,0.0000,1.42230,-0.00000
19.520,0.0000,1.42230,-0.00000
19.600,0.0000,1.42230,-0.00000
19.680,0.0000,1.42230,-0.00000
19.760,0.0000,1.42230,-0.00000
19.840,0.0000,1.42230,-0.00000
19.920,0.0000,1.42230,-0.00000
20.000,0.0000,1.42230,-0.00000
20.080,0.0000,1.42230,-0.00000
20.160,0.0000,1.42230,-0.00000
20.240,0.0000,1.42230,-0.00000
20.320,0.0000,1.42230,-0.00000
20.400,0.0000,1.42230,-0.00000
20.480,0.0000,1.42230,-0.00000
20.560,0.0000,1.42230,-0.00000
20.640,0.0000,1.42230,-0.00000
20.720,0.0000,1.42230,-0.00000
20.800,0.0000,1.42230,-0.00000
20.880,0.0000,1.42230,-0.00000
20.960,0.0000,1.42230,-0.00000
21.040,0.0000,1.42230,-0.00000
21.120,0.0000,1.42230,-0.00000
21.200,0.0000,1.42230,-0.00000
21.280,0.0000,1.42230,-0.00000
21.360,0.0000,1.42230,-0.00000
21.440,0.0000,1.42230,-0.00000
21.520,0.0000,1.42230,-0.00000
21.600,0.0000,1.42230,-0.00000
21.680,0.0000,1.42230,-0.00000
21.760,0.0000,1.42230,-0.00000
21.840,0.0000,1.42230,-0.00000
21.920,0.0000,1.42230,-0.00000
22.000,0.0000,1.42230,-0.00000
22.080,0.0000,1.42230,-0.00000
22.160,0.0000,1.42230,-0.00000
22.240,0.0000,1.42230,-0.00000
22.320,0.0000,1.42230,-0.00000
22.400,0.0000,1.42230,-0.00000
22.480,0.0000,1.42230,-0.00000
22.560,0.0000,1.42230,-0.00000
22.640,0.0000,1.42230,-0.00000
22.720,0.0000,1.42230,-0.00000
22.800,0.0000,1.42230,-0.00000
22.880,0.0000,1.42230,-0.00000
22.960,0.0000,1.42230,-0.00000
23.040,0.0000,1.42230,-0.00000
23.120,0.0000,1.42230,-0.00000
23.200,0.0000,1.42230,-0.00000
23.280,0.0000,1.42230,-0.00000
23.360,0.0000,1.42230,-0.00000
23.440,0.0000,1.42230,-0.00000
23.520,0.0000,1.42230,-0.00000
23.600,0.0000,1.42230,-0.00000
23.680,0.0000,1.42230,-0.00000
23.760,0.0000,1.42230,-0.00000
23.840,0.0000,1.42230,-0.00000
23.920,0.0000,1.42230,-0.00000
24.000,0.0000,1.42230,-0.00000
24.080,0.0000,1.42230,-0.00000
24.160,0.0000,1.42230,-0.00000
24.240,0.0000,1.42230,-0.00000
24.320,0.0000,1.42230,-0.00000
24.400,0.0000,1.42230,-0.00000
24.480,0.0000,1.42230,-0.00000
24.560,0.0000,1.42230,-0.00000
24.640,0.0000,1.42230,-0.00000
24.720,0.0000,1.42230,-0.00000
24.800,0.0108,1.43079,-0.00457
24.880,0.0539,1.46533,-0.02317
24.960,0.0971,1.50076,-0.04225
25.040,0.1402,1.53708,-0.06181
25.120,0.1833,1.57430,-0.08185
25.200,0.2265,1.61242,-0.10237
25.280,0.2696,1.65143,-0.12338
25.360,0.3127,1.69133,-0.14486
25.440,0.3559,1.73213,-0.16683
25.520,0.3990,1.77382,-0.18928
25.600,0.4422,1.81641,-0.21222
25.680,0.4853,1.85990,-0.23563
25.760,0.5284,1.90428,-0.25953
25.840,0.5500,1.92680,-0.27166
25.920,0.5500,1.92680,-0.27166
26.000,0.5500,1.92680,-0.27166
26.080,0.5500,1.92680,-0.27166
26.160,0.5500,1.92680,-0.27166
26.240,0.5500,1.92680,-0.27166
26.320,0.5500,1.92680,-0.27166
26.400,0.5500,1.92680,-0.27166
26.480,0.5500,1.92680,-0.27166
26.560,0.5500,1.92680,-0.27166
26.640,0.5176,1.89310,-0.25351
26.720,0.4745,1.84894,-0.22973
26.800,0.4314,1.80568,-0.20644
26.880,0.3882,1.76332,-0.18362
26.960,0.3451,1.72185,-0.16129
27.040,0.3020,1.68127,-0.13945
27.120,0.2588,1.64159,-0.11808
27.200,0.2157,1.60280,-0.09719
27.280,0.1725,1.56491,-0.07679
27.360,0.1294,1.52792,-0.05687
27.440,0.0863,1.49182,-0.03743
27.520,0.0431,1.45661,-0.01847
27.600,0.0000,1.42230,-0.00000
27.680,0.0000,1.42230,-0.00000
27.760,0.0000,1.42230,-0.00000
27.840,0.0000,1.42230,-0.00000
27.920,0.0000,1.42230,-0.00000
28.000,0.0000,1.42230,-0.00000
28.080,0.0000,1.42230,-0.00000
28.160,0.0000,1.42230,-0.00000
28.240,0.0000,1.42230,-0.00000
28.320,0.0000,1.42230,-0.00000
28.400,0.0000,1.42230,-0.00000
28.480,0.0000,1.42230,-0.00000
28.560,0.0000,1.42230,-0.00000
28.640,0.0000,1.42230,-0.00000
28.720,0.0000,1.42230,-0.00000
28.800,0.0000,1.42230,-0.00000
28.880,0.0000,1.42230,-0.00000
28.960,0.0000,1.42230,-0.00000
29.040,0.0000,1.42230,-0.00000
29.120,0.0000,1.42230,-0.00000
29.200,0.0000,1.42230,-0.00000
29.280,0.0000,1.42230,-0.00000
29.360,0.0000,1.42230,-0.00000
29.440,0.0000,1.42230,-0.00000
29.520,0.0216,1.43934,-0.00918
29.600,0.0647,1.47410,-0.02789
29.680,0.1078,1.50975,-0.04709
29.760,0.1510,1.54630,-0.06677
29.840,0.1941,1.58375,-0.08693
29.920,0.2373,1.62208,-0.10758
30.000,0.2804,1.66132,-0.12870
30.080,0.3235,1.70145,-0.15031
30.160,0.3667,1.74247,-0.17240
30.240,0.4098,1.78439,-0.19497
30.320,0.4529,1.82720,-0.21802
30.400,0.4961,1.87091,-0.24156
30.480,0.5392,1.91551,-0.26558
30.560,0.5500,1.92680,-0.27166
30.640,0.5500,1.92680,-0.27166
30.720,0.5500,1.92680,-0.27166
30.800,0.5500,1.92680,-0.27166
30.880,0.5500,1.92680,-0.27166
30.960,0.5500,1.92680,-0.27166
31.040,0.5500,1.92680,-0.27166
31.120,0.5500,1.92680,-0.27166
31.200,0.5500,1.92680,-0.27166
31.280,0.5500,1.92680,-0.27166
31.360,0.5500,1.92680,-0.27166
31.440,0.5500,1.92680,-0.27166
31.520,0.5500,1.92680,-0.27166
31.600,0.5500,1.92680,-0.27166
31.680,0.5500,1.92680,-0.27166
31.760,0.5500,1.92680,-0.27166
31.840,0.5500,1.92680,-0.27166
31.920,0.5500,1.92680,-0.27166
32.000,0.5500,1.92680,-0.27166
32.080,0.5500,1.92680,-0.27166
32.160,0.5500,1.92680,-0.27166
32.240,0.5500,1.92680,-0.27166
32.320,0.5500,1.92680,-0.27166
32.400,0.5500,1.92680,-0.27166
32.480,0.5500,1.92680,-0.27166
32.560,0.5500,1.92680,-0.27166
32.640,0.5500,1.92680,-0.27166
32.720,0.5500,1.92680,-0.27166
32.800,0.5500,1.92680,-0.27166
32.880,0.5500,1.92680,-0.27166
32.960,0.5500,1.92680,-0.27166
33.040,0.5500,1.92680,-0.27166
33.120,0.5500,1.92680,-0.27166
33.200,0.5500,1.92680,-0.27166
33.280,0.5500,1.92680,-0.27166
33.360,0.5500,1.92680,-0.27166
33.440,0.5500,1.92680,-0.27166
33.520,0.5500,1.92680,-0.27166
33.600,0.5500,1.92680,-0.27166
33.680,0.5500,1.92680,-0.27166
33.760,0.5500,1.92680,-0.27166
33.840,0.5500,1.92680,-0.27166
33.920,0.5500,1.92680,-0.27166
34.000,0.5500,1.92680,-0.27166
34.080,0.5500,1.92680,-0.27166
34.160,0.5500,1.92680,-0.27166
34.240,0.5500,1.92680,-0.27166
34.320,0.5500,1.92680,-0.27166
34.400,0.5500,1.92680,-0.27166
34.480,0.5500,1.92680,-0.27166
34.560,0.5500,1.92680,-0.27166
34.640,0.5500,1.92680,-0.27166
34.720,0.5500,1.92680,-0.27166
34.800,0.5500,1.92680,-0.27166
34.880,0.5500,1.92680,-0.27166
34.960,0.5500,1.92680,-0.27166
35.040,0.5500,1.92680,-0.27166
35.120,0.5500,1.92680,-0.27166
35.200,0.5500,1.92680,-0.27166
35.280,0.5500,1.92680,-0.27166
35.360,0.5500,1.92680,-0.27166
35.440,0.5500,1.92680,-0.27166
35.520,0.5500,1.92680,-0.27166
35.600,0.5500,1.92680,-0.27166
35.680,0.5500,1.92680,-0.27166
35.760,0.5500,1.92680,-0.27166
35.840,0.5500,1.92680,-0.27166
35.920,0.5500,1.92680,-0.27166
36.000,0.5500,1.92680,-0.27166
36.080,0.5500,1.92680,-0.27166
36.160,0.5500,1.92680,-0.27166
36.240,0.5500,1.92680,-0.27166
36.320,0.5500,1.92680,-0.27166
36.400,0.5500,1.92680,-0.27166
36.480,0.5500,1.92680,-0.27166
36.560,0.5500,1.92680,-0.27166
36.640,0.5500,1.92680,-0.27166
