transition,Ee_eV_common_reference,Eh_eV_common_reference,DeltaE_Ee_minus_Eh_eV,one_photon_fundamental_wavelength_nm,two_photon_fundamental_wavelength_nm,convention_check
e1-hh1,2.941158138088,1.447805442384,1.4933526957039998,830.2405637775413,1660.4811275550826,positive Ee-Eh on one nextnano electron-energy reference
e1-hh2,2.941158138088,1.412791422186,1.5283667159019998,811.2202203175299,1622.4404406350598,positive Ee-Eh on one nextnano electron-energy reference
e2-hh1,3.061022858158,1.447805442384,1.613217415774,768.5523177947719,1537.1046355895437,positive Ee-Eh on one nextnano electron-energy reference
e2-hh2,3.061022858158,1.412791422186,1.648231435972,752.2256625744045,1504.451325148809,positive Ee-Eh on one nextnano electron-energy reference
