Case,Profile,I1,I2,I3,I4,chi2_1550_raw,chi2_1550_scaled,chi2_1550_reported,Relative_to_abrupt,Peak_nm,Ratio_to_paper
Abrupt reference,abrupt,0.0,0.0,0.0,0.0,31.036041396587414,1225.2538030406026,31.036041396587414,1.0,1517.0,0.012414416558634966
Linear 0.2 nm,linear,0.2,0.2,0.2,0.2,29.37382127665391,1159.6319829955028,29.37382127665391,0.9464422637316022,1515.0,0.011749528510661564
Linear 0.4 nm,linear,0.4,0.4,0.4,0.4,26.442974692208626,1043.9267976004674,26.442974692208626,0.8520086165085531,1513.0,0.01057718987688345
Linear 0.7 nm,linear,0.7,0.7,0.7,0.7,21.68163242036645,855.9565390354019,21.68163242036645,0.6985952925926457,1508.0,0.00867265296814658
Linear 1.0 nm,linear,1.0,1.0,1.0,1.0,18.04752050786078,712.4875513325329,18.04752050786078,0.5815020117174224,1502.0,0.007219008203144313
Linear 1.4 nm,linear,1.4,1.4,1.4,1.4,15.232022782516704,601.3361563672809,15.232022782516704,0.4907849744069342,1493.0,0.0060928091130066815
Asymmetric inner grading A,linear,0.0,0.4,0.8,0.0,22.746444471321368,897.9936338531522,22.746444471321368,0.732904180035746,1512.0,0.009098577788528548
Asymmetric inner grading B,linear,0.0,0.8,0.4,0.0,31.03331049550273,1225.1459913871454,31.03331049550273,0.999912008717549,1514.0,0.01241332419820109
Inner interfaces graded only,linear,0.0,0.7,0.7,0.0,24.645998475591906,972.985020095774,24.645998475591906,0.79410895741046,1512.0,0.009858399390236762
Outer interfaces graded only,linear,0.7,0.0,0.0,0.7,26.149861737952936,1032.3551619871137,26.149861737952936,0.8425643400781215,1513.0,0.010459944695181174
Fermi-like 0.7 nm,fermi,0.7,0.7,0.7,0.7,26.254153355079062,1036.4724300006528,26.254153355079062,0.8459246789755169,1513.0,0.010501661342031624
erf 0.7 nm,erf,0.7,0.7,0.7,0.7,24.492140650394724,966.9109566209414,24.492140650394724,0.789151565350334,1511.0,0.00979685626015789
Cosine 0.7 nm,cosine,0.7,0.7,0.7,0.7,24.282017923492333,958.6156438601225,24.282017923492333,0.7823812841724808,1511.0,0.009712807169396933
