wavelength_nm,Re_electron,Im_electron,Re_hole,Im_hole,Re_total,Im_total,cancellation_fraction_modulus
400,6.1623035767990464,0.00055218991336166443,-5.7623941512002395,-0.00051392910880886794,0.39990942559880649,3.8260804552796458e-05,0.96646376831072034
401,6.2157420335493399,0.00055967035349416684,-5.8121571504296918,-0.00052085772382626965,0.40358488311964635,3.8812629667897216e-05,0.96644593730092376
402,6.2696197224420223,0.000567250393321217,-5.8623261157176785,-0.00052787791835068776,0.40729360672434545,3.937247497052915e-05,0.96642800648788796
403,6.3239407183898084,0.00057493144090681007,-5.9129047722672494,-0.000534990974069134,0.41103594612255978,3.994046683767602e-05,0.96640997496568237
404,6.3787091439186483,0.00058271492683820863,-5.9638968882553813,-0.00054219819291887199,0.41481225566326618,4.0516733919336576e-05,0.96639184181704929
405,6.4339291698582954,0.0005906023046432276,-6.0153062754474167,-0.00054950089745738485,0.41862289441087797,4.110140718584274e-05,0.96637360611322065
406,6.4896050160449192,0.0005985950512164491,-6.0671367898221131,-0.00055690043124014378,0.42246822622280444,4.1694619976305263e-05,0.9663552669137353
407,6.545740952036085,0.00060669466725458488,-6.1193923322075312,-0.00056439815920635808,0.42634861982855443,4.2296508048226647e-05,0.9663368232662527
408,6.6023412978383833,0.00061490267770120881,-6.1720768489279525,-0.00057199546807290276,0.43026444891043081,4.2907209628306007e-05,0.96631827420636085
409,6.6594104246478878,0.00062322063220110089,-6.2251943324620997,-0.00057969376673662769,0.43421609218578761,4.3526865464473392e-05,0.96629961875738346
410,6.7169527556038044,0.00063165010556442188,-6.2787488221128172,-0.00058749448668523534,0.43820393349098719,4.4155618879186437e-05,0.96628085593017932
411,6.7749727665555106,0.00064019269824097853,-6.3327444046885448,-0.00059539908241696034,0.44222836186696612,4.4793615824018085e-05,0.96626198472294345
412,6.8334749868433242,0.00064885003680482467,-6.3871852151967223,-0.00060340903186924103,0.44628977164660333,4.54410049355836e-05,0.96624300412099751
413,6.8924640000932627,0.00065762377444945463,-6.4420754375494838,-0.00061152583685662482,0.45038856254377846,4.6097937592829685e-05,0.96622391309658195
414,6.9519444450260632,0.00066651559149385315,-6.4974193052817952,-0.00061975102351811702,0.45452513974426678,4.6764567975736174e-05,0.96620471060864133
415,7.0119210162808692,0.00067552719589968242,-6.5532211022823788,-0.00062808614277422368,0.45869991399849153,4.7441053125458902e-05,0.96618539560260419
416,7.0723984652537393,0.00068466032379987398,-6.6094851635376157,-0.00063653277079391089,0.46291330171612477,4.8127553005963093e-05,0.96616596701016222
417,7.1333816009514388,0.00069391674003892818,-6.6662158758887706,-0.00064509250947174148,0.46716572506266774,4.8824230567186768e-05,0.96614642374904125
418,7.1948752908607538,0.00070329823872520344,-6.7234176788027815,-0.00065376698691543378,0.47145761205797254,4.9531251809769566e-05,0.96612676472277015
419,7.2568844618337405,0.00071280664379551448,-6.7810950651569053,-0.00066255785794410989,0.47578939667683473,5.0248785851404672e-05,0.96610698882044288
420,7.319414100989114,0.00072244380959234317,-6.8392525820375027,-0.00067146680459749346,0.48016151895161041,5.0977004994849677e-05,0.96608709491647915
421,7.3824692566303263,0.00073221162145399045,-6.8978948315533035,-0.00068049553665634266,0.48457442507702297,5.171608479764779e-05,0.96606708187037549
422,7.4460550391805125,0.00074211199631799918,-6.9570264716634185,-0.00068964579217439099,0.48902856751709511,5.2466204143608128e-05,0.96604694852645556
423,7.5101766221347805,0.00075214688333819391,-7.0166522170204386,-0.00069891933802210065,0.49352440511434326,5.3227545316093182e-05,0.96602669371361305
424,7.5748392430301799,0.00076231826451568291,-7.0767768398289306,-0.00070831797044251213,0.49806240320124928,5.400029407317095e-05,0.96600631624505018
425,7.6400482044337812,0.00077262815534419771,-7.1374051707196955,-0.00071784351561951932,0.50264303371408481,5.4784639724678446e-05,0.96598581491800983
426,7.7058088749491924,0.00078307860547012368,-7.1985420996400551,-0.00072749783025886363,0.50726677530913888,5.5580775211260019e-05,0.96596518851350255
427,7.7721266902420023,0.00079367169936762775,-7.2601925767606339,-0.00073728280218220046,0.51193411348136952,5.6388897185427313e-05,0.96594443579603029
428,7.8390071540845101,0.00080440955702926512,-7.3223616133988694,-0.0007472003509345509,0.51664554068564028,5.7209206094714063e-05,0.96592355551329945
429,7.9064558394202162,0.00081529433467247337,-7.3850542829597199,-0.00075725242840549991,0.52140155646049768,5.8041906266973598e-05,0.96590254639593209
430,7.974478389448465,0.00082632822546238106,-7.4482757218938627,-0.00076744101946449078,0.52620266755460432,5.888720599789014e-05,0.96588140715716997
431,8.0430805187297381,0.00083751346025135408,-7.5120311306738472,-0.00077776814261058575,0.53104938805589152,5.9745317640768388e-05,0.96586013649257163
432,8.1122680143120718,0.00084885230833573605,-7.5763257747885495,-0.00078823585063707063,0.53594223952352271,6.0616457698665525e-05,0.96583873307970303
433,8.1820467368789824,0.00086034707823022354,-7.6411649857563324,-0.00079884623131128726,0.54088175112265025,6.1500846918936407e-05,0.96581719557782353
434,8.2524226219195373,0.00087200011846037286,-7.706554162157353,-0.00080960140807010133,0.54586845976218323,6.2398710390271559e-05,0.96579552262756174
435,8.3234016809209361,0.00088381381837370052,-7.77249877068546,-0.00082050354073141514,0.55090291023547544,6.3310277642285507e-05,0.96577371285058888
436,8.3949900025841977,0.00089579060896990341,-7.8390043472200475,-0.00083155482622214807,0.55598565536415001,6.423578274775539e-05,0.96575176484928094
437,8.4671937540634588,0.00090793296375069163,-7.9060764979183951,-0.00084275749932312578,0.56111725614506436,6.5175464427565767e-05,0.9657296772063757
438,8.5400191822294111,0.00092024339958978677,-7.9737209003289271,-0.00085411383343132687,0.56629828190048404,6.6129566158459988e-05,0.96570744848462386
439,8.6134726149575176,0.00093272447762362762,-8.0419433045258391,-0.00086562614133995177,0.57152931043167765,6.7098336283675846e-05,0.9656850772264266
440,8.6875604624413985,0.00094537880416334494,-8.1107495342656257,-0.00087729677603679381,0.57681092817577251,6.8082028126551072e-05,0.96566256195347422
441,8.7622892185322208,0.00095820903162860242,-8.1801454881659694,-0.00088912813152140389,0.58214373036625378,6.908090010719834e-05,0.96563990116636866
442,8.8376654621044732,0.00097121785950388573,-8.2501371409075084,-0.00090112264364155463,0.58752832119696397,7.0095215862331101e-05,0.96561709334424251
443,8.9136958584488912,0.00098440803531789486,-8.3207305444590727,-0.00091328279094953803,0.59296531398981789,7.1125244368356748e-05,0.96559413694436835
444,8.9903871606931052,0.00099778235564663368,-8.3919318293268041,-0.00092561109557882037,0.59845533136629969,7.2171260067813392e-05,0.96557103040175907
445,9.0677462112506877,0.0010113436671409075,-8.4637472058278256,-0.00093811012414163038,0.603999005422861,7.3233542999277021e-05,0.96554777212875875
446,9.1457799432992548,0.0010250948675788723,-8.5361829653890187,-0.00095078248864803583,0.60959697791023726,7.431237893083673e-05,0.96552436051462753
447,9.2244953822883424,0.0010390389069443594,-8.6092454818713904,-0.00096363084744711274,0.61524990041695071,7.5408059497246519e-05,0.96550079392511268
