wavelength_nm,photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V
400,3.0996049599999997,0.39990942559880649,3.8260804552796458e-05,0.39990942559880649,0.39990942742908242
401,3.0918752718204487,0.40358488311964635,3.8812629667897216e-05,0.40358488311964635,0.40358488498594547
402,3.084184039800995,0.40729360672434545,3.937247497052915e-05,0.40729360672434545,0.40729360862738512
403,3.0765309776674936,0.41103594612255978,3.994046683767602e-05,0.41103594612255978,0.41103594806307236
404,3.0689158019801979,0.41481225566326618,4.0516733919336576e-05,0.41481225566326618,0.41481225764199958
405,3.0613382320987652,0.41862289441087797,4.110140718584274e-05,0.41862289441087797,0.41862289642859568
406,3.0537979901477832,0.42246822622280444,4.1694619976305263e-05,0.42246822622280444,0.42246822828028613
407,3.0462948009828006,0.42634861982855443,4.2296508048226647e-05,0.42634861982855443,0.42634862192659639
408,3.0388283921568626,0.43026444891043081,4.2907209628306007e-05,0.43026444891043081,0.43026445104984606
409,3.0313984938875302,0.43421609218578761,4.3526865464473392e-05,0.43421609218578761,0.43421609436740644
410,3.0240048390243901,0.43820393349098719,4.4155618879186437e-05,0.43820393349098719,0.43820393571565763
411,3.0166471630170313,0.44222836186696612,4.4793615824018085e-05,0.44222836186696612,0.44222836413555422
412,3.009325203883495,0.44628977164660333,4.54410049355836e-05,0.44628977164660333,0.44628977395999364
413,3.0020387021791763,0.45038856254377846,4.6097937592829685e-05,0.45038856254377846,0.45038856490287454
414,2.9947874009661835,0.45452513974426678,4.6764567975736174e-05,0.45452513974426678,0.45452514214999157
415,2.9875710457831324,0.45869991399849153,4.7441053125458902e-05,0.45869991399849153,0.45869991645178776
416,2.9803893846153846,0.46291330171612477,4.8127553005963093e-05,0.46291330171612477,0.4629133042179554
417,2.9732421678657071,0.46716572506266774,4.8824230567186768e-05,0.46716572506266774,0.46716572761401653
418,2.9661291483253587,0.47145761205797254,4.9531251809769566e-05,0.47145761205797254,0.4714576146598447
419,2.9590500811455844,0.47578939667683473,5.0248785851404672e-05,0.47578939667683473,0.47578939933025716
420,2.9520047238095235,0.48016151895161041,5.0977004994849677e-05,0.48016151895161041,0.4801615216576321
421,2.9449928361045128,0.48457442507702297,5.171608479764779e-05,0.48457442507702297,0.48457442783671606
422,2.9380141800947865,0.48902856751709511,5.2466204143608128e-05,0.48902856751709511,0.489028570331555
423,2.9310685200945623,0.49352440511434326,5.3227545316093182e-05,0.49352440511434326,0.49352440798468927
424,2.9241556226415093,0.49806240320124928,5.400029407317095e-05,0.49806240320124928,0.49806240612862512
425,2.9172752564705879,0.50264303371408481,5.4784639724678446e-05,0.50264303371408481,0.5026430366996596
426,2.9104271924882625,0.50726677530913888,5.5580775211260019e-05,0.50726677530913888,0.50726677835410716
427,2.9036112037470723,0.51193411348136952,5.6388897185427313e-05,0.51193411348136952,0.51193411658695243
428,2.8968270654205606,0.51664554068564028,5.7209206094714063e-05,0.51664554068564028,0.51664554385308592
429,2.8900745547785545,0.52140155646049768,5.8041906266973598e-05,0.52140155646049768,0.5214015596910816
430,2.8833534511627903,0.52620266755460432,5.888720599789014e-05,0.52620266755460432,0.52620267084963046
431,2.8766635359628769,0.53104938805589152,5.9745317640768388e-05,0.53104938805589152,0.53104939141669283
432,2.8700045925925926,0.53594223952352271,6.0616457698665525e-05,0.53594223952352271,0.53594224295146198
433,2.8633764064665126,0.54088175112265025,6.1500846918936407e-05,0.54088175112265025,0.54088175461912069
434,2.8567787649769585,0.54586845976218323,6.2398710390271559e-05,0.54586845976218323,0.54586846332860939
435,2.8502114574712643,0.55090291023547544,6.3310277642285507e-05,0.55090291023547544,0.55090291387331358
436,2.8436742752293576,0.55598565536415001,6.423578274775539e-05,0.55598565536415001,0.55598565907488939
437,2.8371670114416472,0.56111725614506436,6.5175464427565767e-05,0.56111725614506436,0.56111725993022787
438,2.8306894611872142,0.56629828190048404,6.6129566158459988e-05,0.56629828190048404,0.56629828576162888
439,2.8242414214123004,0.57152931043167765,6.7098336283675846e-05,0.57152931043167765,0.57152931437039667
440,2.8178226909090909,0.57681092817577251,6.8082028126551072e-05,0.57681092817577251,0.57681093219369439
441,2.8114330702947843,0.58214373036625378,6.908090010719834e-05,0.58214373036625378,0.58214373446504453
442,2.8050723619909501,0.58752832119696397,7.0095215862331101e-05,0.58752832119696397,0.58752832537832766
443,2.7987403702031601,0.59296531398981789,7.1125244368356748e-05,0.59296531398981789,0.5929653182554977
444,2.7924369009009009,0.59845533136629969,7.2171260067813392e-05,0.59845533136629969,0.59845533571807874
445,2.7861617617977528,0.603999005422861,7.3233542999277021e-05,0.603999005422861,0.6039990098625635
446,2.7799147623318383,0.60959697791023726,7.431237893083673e-05,0.60959697791023726,0.6095969824397296
447,2.7736957136465321,0.61524990041695071,7.5408059497246519e-05,0.61524990041695071,0.61524990503814236
448,2.7675044285714283,0.62095843455695032,7.652088234088252e-05,0.62095843455695032,0.62095843927179517
449,2.7613407216035633,0.62672325216157154,7.7651151256606069e-05,0.62672325216157154,0.62672325697206899
450,2.7552044088888885,0.63254503547596852,7.8799176340680125e-05,0.63254503547596852,0.63254504038416459
