n_1based,m_1based,k_per_nm,k_pi_over_a,transition_eV,one_photon_nm,two_photon_nm
1,1,0.0,0.0,1.4933526957039993,830.2405637775416,1660.4811275550833
1,1,0.0018523814641067,0.0003333333333331813,1.4933554267852494,830.2390454153378,1660.4780908306757
1,1,0.0037047629282133,0.0006666666666663445,1.4933635117239492,830.2345505741717,1660.4691011483435
1,1,0.00555714439232,0.000999999999999526,1.4933769865542497,830.2270593179255,1660.454118635851
1,1,0.0074095258564267,0.001333333333332707,1.4933958505488,830.2165722131724,1660.4331444263448
1,1,0.0092619073205333,0.0016666666666658705,1.4934201026895495,830.2030900529112,1660.4061801058224
1,1,0.01111428878464,0.001999999999999052,1.4934497416669992,830.1866138569079,1660.3732277138158
1,1,0.012966670248747,0.002333333333332287,1.4934847658801995,830.1671448716031,1660.3342897432062
1,1,0.014819051712853,0.0026666666666653425,1.4935251734360986,830.1446845703584,1660.2893691407169
1,1,0.01667143317696,0.002999999999998578,1.4935709621493987,830.1192346533992,1660.2384693067984
1,1,0.018523814641067,0.0033333333333318135,1.4936221295420486,830.0907970479395,1660.181594095879
1,1,0.020376196105173,0.0036666666666648686,1.4936786781381992,830.0593709655179,1660.1187419310359
1,1,0.02222857756928,0.003999999999998104,1.4937406001553495,830.0249614096691,1660.0499228193382
1,1,0.024080959033387,0.004333333333331339,1.4938078916507498,829.9875713134023,1659.9751426268047
1,1,0.025933340497493,0.0046666666666643946,1.4938805489686493,829.9472035136722,1659.8944070273444
1,1,0.0277857219616,0.00499999999999763,1.4939585681575995,829.9038610749528,1659.8077221499057
1,1,0.029638103425707,0.005333333333330865,1.4940419449689488,829.8575472897904,1659.7150945795809
1,1,0.031490484889813,0.00566666666666392,1.494130674856349,829.8082656787718,1659.6165313575436
1,1,0.03334286635392,0.005999999999997156,1.4942247529747503,829.7560199907564,1659.5120399815128
1,1,0.035195247818027,0.00633333333333039,1.494324174179049,829.7008142032794,1659.4016284065588
1,1,0.037047629282133,0.006666666666663447,1.4944289330234997,829.6426525225095,1659.285305045019
1,1,0.03890001074624,0.006999999999996681,1.4945390237600489,829.5815393837845,1659.163078767569
1,1,0.040752392210347,0.0073333333333299175,1.4946544403373496,829.517479451747,1659.034958903494
1,1,0.042604773674453,0.007666666666662971,1.4947751763996993,829.4504776205015,1658.900955241003
1,1,0.04445715513856,0.007999999999996208,1.4949012252849496,829.3805390143207,1658.7610780286414
1,1,0.046309536602667,0.008333333333329442,1.4950325800238986,829.3076689875084,1658.6153379750167
1,1,0.048161918066773,0.0086666666666625,1.4951692333382993,829.2318731250078,1658.4637462500157
1,1,0.05001429953088,0.008999999999995734,1.4953111776395487,829.1531572426119,1658.3063144852238
1,1,0.051866680994987,0.00933333333332897,1.4954584050265487,829.0715273876101,1658.1430547752202
1,1,0.053719062459093,0.009666666666662023,1.4956109072850492,828.986989838593,1657.973979677186
1,1,0.0555714439232,0.00999999999999526,1.4957686758847502,828.8995511064777,1657.7991022129554
1,1,0.057423825387307,0.010333333333328493,1.4959317019782497,828.8092179344875,1657.618435868975
1,1,0.059276206851413,0.01066666666666155,1.4960999763987497,828.7159972987993,1657.4319945975985
1,1,0.06112858831552,0.010999999999994787,1.4962734896582,828.619896408926,1657.239792817852
1,1,0.062980969779627,0.01133333333332802,1.4964522319455498,828.520922708018,1657.041845416036
1,1,0.064833351243733,0.011666666666661078,1.4966361931241001,828.4190838736405,1656.838167747281
1,1,0.06668573270784,0.011999999999994312,1.4968253627299994,828.3143878178962,1656.6287756357924
1,1,0.068538114171947,0.012333333333327546,1.497019729969549,828.2068426881854,1656.4136853763707
1,1,0.070390495636053,0.012666666666660602,1.4972192837170486,828.0964568676441,1656.1929137352881
1,1,0.07224287710016,0.012999999999993838,1.4974240125127498,827.9832389755024,1655.966477951005
1,1,0.074095258564267,0.013333333333327074,1.4976339045600995,827.8671978678121,1655.7343957356243
1,1,0.075947640028373,0.013666666666660127,1.4978489477233492,827.7483426379501,1655.4966852759003
1,1,0.07780002149248,0.013999999999993362,1.4980691295254494,827.6266826169435,1655.253365233887
1,1,0.079652402956587,0.0143333333333266,1.498294437144849,827.5022273743763,1655.0044547487526
1,1,0.081504784420693,0.014666666666659655,1.4985248574134495,827.3749867186368,1654.7499734372736
1,1,0.0833571658848,0.014999999999992887,1.4987603768137,827.2449706976179,1654.4899413952357
1,1,0.085209547348907,0.015333333333326125,1.4990009814758498,827.1121895993067,1654.2243791986134
1,1,0.087061928813013,0.015666666666659182,1.4992466571753493,826.9766539522723,1653.9533079045445
1,1,0.08891431027712,0.015999999999992416,1.49949738933025,826.8383745261303,1653.6767490522607
1,1,0.090766691741227,0.01633333333332565,1.4997531629977499,826.6973623324575,1653.394724664915
1,1,0.092619073205333,0.016666666666658704,1.5000139628721485,826.5536286249063,1653.1072572498126
1,1,0.09447145466944,0.01699999999999194,1.50027977328155,826.4071848999893,1652.8143697999785
1,1,0.096323836133547,0.017333333333325176,1.5005505781849495,826.2580428976275,1652.516085795255
1,1,0.098176217597653,0.017666666666658233,1.5008263611695993,826.1062146015257,1652.2124292030514
1,1,0.10002859906176,0.017999999999991467,1.5011071054478997,825.9517122397848,1651.9034244795696
1,1,0.10188098052587,0.018333333333325243,1.5013927938549003,825.7945482851587,1651.5890965703175
1,1,0.10373336198997,0.018666666666657217,1.5016834088447004,825.6347354558944,1651.2694709117889
1,1,0.10558574345408,0.018999999999990993,1.5019789324884487,825.4722867156695,1650.944573431339
1,1,0.10743812491819,0.019333333333324768,1.5022793464708502,825.3072152743315,1650.614430548663
1,1,0.10929050638229,0.019666666666656743,1.502584632087949,825.1395345879124,1650.2790691758248
1,1,0.1111428878464,0.01999999999999052,1.5028947702438995,824.9692583591799,1649.9385167183598
1,1,0.11299526931051,0.020333333333324294,1.50320973845595,824.7964021797296,1649.5928043594593
1,1,0.11484765077461,0.02066666666665627,1.503529513752999,824.6209819354981,1649.2419638709962
1,1,0.11670003223872,0.020999999999990044,1.5038540819578994,824.4430087165262,1648.8860174330523
1,1,0.11855241370283,0.02133333333332382,1.5041834223834496,824.262497212881,1648.524994425762
1,1,0.12040479516693,0.021666666666655794,1.5045175139385496,824.0794623615394,1648.1589247230788
1,1,0.12225717663104,0.021999999999989573,1.5048563351261997,823.8939193461446,1647.7878386922891
1,1,0.12410955809515,0.022333333333323345,1.5051998640412994,823.705883596852,1647.411767193704
1,1,0.12596193955925,0.022666666666655323,1.5055480783693487,823.5153707896637,1647.0307415793275
1,1,0.12781432102336,0.022999999999989095,1.5059009553846494,823.3223968460193,1646.6447936920385
