wavelength_nm,source,rank_by_abs,label,Re_pm_per_V,Im_pm_per_V,abs_pm_per_V
540.0,configured target,1,C_m1_n1_l1,16.25480697655802,0.14362771666751692,16.255441512495267
540.0,configured target,2,V_m1_n1_l1,-16.16138149691959,-0.14280220773724253,16.162012385823413
540.0,configured target,3,C_m2_n2_l2,4.704321203292504,0.050051196761205695,4.704587453331552
540.0,configured target,4,V_m2_n2_l2,-3.2091572150797623,-0.034143535755420416,3.20933884345863
540.0,configured target,5,C_m1_n2_l2,0.21133095219084666,0.0021565599009689077,0.21134195538154837
540.0,configured target,6,V_m1_n2_l1,-0.14327225339332622,-0.0014620442173112324,0.14327971302907766
540.0,configured target,7,C_m1_n1_l2,-0.1316182627584935,-0.0013350660575369999,0.1316250336863844
540.0,configured target,8,C_m1_n2_l1,-0.11551662335244697,-0.0010277952761954673,0.11552119560444685
540.0,configured target,9,V_m1_n2_l2,0.07798628375051636,0.0008284069978480038,0.07799068349085124
540.0,configured target,10,V_m2_n2_l1,0.07510505491335526,0.000767685275650814,0.07510897825307278
540.0,configured target,11,V_m1_n1_l2,-0.029852466977875563,-0.00027261552866704854,0.029853711727214446
540.0,configured target,12,V_m2_n1_l1,-0.0289537162739391,-0.00025628650866749554,0.02895485052363923
540.0,configured target,13,C_m2_n1_l2,0.010013221733101667,0.00010591190863743984,0.010013781843472064
540.0,configured target,14,C_m2_n2_l1,0.008726075376877024,8.036864644913752e-05,0.008726445473517357
540.0,configured target,15,V_m2_n1_l2,-0.004198276964478692,-3.8404777072522066e-05,0.004198452619403298
540.0,configured target,16,C_m2_n1_l1,0.004196424131840631,3.838782782762482e-05,0.004196599709243153
687.0,measured absolute-component peak,1,C_m2_n2_l2,92.04227090327592,41.787589576549856,101.08403571113597
687.0,measured absolute-component peak,2,C_m1_n1_l1,84.39816216181828,2.446428578439419,84.43361172591149
687.0,measured absolute-component peak,3,V_m1_n1_l1,-83.9130786544016,-2.4323675832106555,83.9483244699955
687.0,measured absolute-component peak,4,V_m2_n2_l2,-62.78867981098779,-28.506332538798492,68.95672053701007
687.0,measured absolute-component peak,5,C_m1_n2_l2,2.270890607373831,0.18342746853536085,2.278286590153218
687.0,measured absolute-component peak,6,V_m1_n2_l2,1.5168670379131166,0.6879755554437971,1.6655917793971948
687.0,measured absolute-component peak,7,V_m1_n2_l1,-1.5395549547061578,-0.12435502929813065,1.544569076432653
687.0,measured absolute-component peak,8,C_m1_n1_l2,-1.3896669516323754,-0.1121341294992129,1.394183739489801
687.0,measured absolute-component peak,9,V_m2_n2_l1,0.8114810320870931,0.06561898484185055,0.8141297910092768
687.0,measured absolute-component peak,10,C_m1_n2_l1,-0.610689168779603,-0.017780652079163663,0.6109479621482363
687.0,measured absolute-component peak,11,C_m2_n1_l2,0.19251400782822514,0.0874635065284747,0.21145095928924623
687.0,measured absolute-component peak,12,V_m1_n1_l2,-0.17512998377541353,-0.006057596121810582,0.17523471598958804
687.0,measured absolute-component peak,13,V_m2_n1_l1,-0.15103956869728324,-0.004384664861401422,0.15110319850422807
687.0,measured absolute-component peak,14,C_m2_n2_l1,0.05238953564679574,0.0018213352463747887,0.0524211856730327
687.0,measured absolute-component peak,15,V_m2_n1_l2,-0.024746744870687315,-0.0008571450973113598,0.024761584751641683
687.0,measured absolute-component peak,16,C_m2_n1_l1,0.02473582334812696,0.0008567668120230645,0.02475065667977169
702.0,measured absolute-component peak,1,C_m1_n1_l1,110.70003714424674,4.12026884045925,110.77668905981648
702.0,measured absolute-component peak,2,V_m1_n1_l1,-110.06378203022982,-4.096587347765161,110.13999338430982
702.0,measured absolute-component peak,3,C_m2_n2_l2,24.652822235648948,81.90218746781215,85.53204052397648
702.0,measured absolute-component peak,4,V_m2_n2_l2,-16.817470349227015,-55.87139663405376,58.347581533315356
702.0,measured absolute-component peak,5,C_m1_n2_l2,3.541044753572037,3.5571435381471073,5.019189984228707
702.0,measured absolute-component peak,6,V_m1_n2_l1,-2.4006585687113344,-2.411572772802371,3.4027701659161274
702.0,measured absolute-component peak,7,C_m1_n1_l2,-2.1619160413594005,-2.174902777276773,3.066607744804236
702.0,measured absolute-component peak,8,V_m2_n2_l1,1.2659750077205207,1.273758876120672,1.7958714861228713
702.0,measured absolute-component peak,9,V_m1_n2_l2,0.40833133165156704,1.3484944403106423,1.4089612244334668
702.0,measured absolute-component peak,10,C_m1_n2_l1,-0.8027183463318486,-0.029984918147443043,0.8032781827325117
702.0,measured absolute-component peak,11,V_m1_n1_l2,-0.2441657811159772,-0.011903890671478033,0.24445578594317172
702.0,measured absolute-component peak,12,V_m2_n1_l1,-0.19823702043912625,-0.007388797624168305,0.19837467228180483
702.0,measured absolute-component peak,13,C_m2_n1_l2,0.051189904868596335,0.17090415143535795,0.1784058164362802
702.0,measured absolute-component peak,14,C_m2_n2_l1,0.07324958139765232,0.003585170351174637,0.07333726625241928
702.0,measured absolute-component peak,15,V_m2_n1_l2,-0.034525893439412286,-0.001685422505784778,0.0345670069113983
702.0,measured absolute-component peak,16,C_m2_n1_l1,0.034510656068756675,0.0016846786754338837,0.034551751396064916
748.0,measured absolute-component peak,1,C_m1_n1_l1,234.13115339711302,351.76861483295176,422.5618953154153
748.0,measured absolute-component peak,2,V_m1_n1_l1,-232.78547052705684,-349.7468035859828,420.1331954358228
748.0,measured absolute-component peak,3,C_m2_n2_l2,-69.76833210481749,90.28631970214248,114.10188293821267
748.0,measured absolute-component peak,4,V_m2_n2_l2,47.5940176452136,-61.59081869076891,77.83713421376761
748.0,measured absolute-component peak,5,C_m1_n2_l2,-2.0029337152808804,3.843727336189554,4.334280021269936
748.0,measured absolute-component peak,6,C_m1_n2_l1,-1.7114774863366427,-2.5659639823559286,3.0843680625024454
748.0,measured absolute-component peak,7,V_m1_n2_l1,1.3578930289710205,-2.605862847710468,2.9384340488099787
748.0,measured absolute-component peak,8,C_m1_n1_l2,1.2152698571327292,-2.3237507734054383,2.622345988339025
748.0,measured absolute-component peak,9,V_m1_n2_l2,-1.151294471192447,1.486514388927416,1.8802138144069
748.0,measured absolute-component peak,10,V_m2_n2_l1,-0.7168514519511845,1.3723004384847337,1.5482520781933133
748.0,measured absolute-component peak,11,V_m2_n1_l1,-0.4196822799117655,-0.6322237591595532,0.7588412862501448
748.0,measured absolute-component peak,12,V_m1_n1_l2,-0.14372861649677043,-0.604889453888098,0.6217307830766602
748.0,measured absolute-component peak,13,C_m2_n1_l2,-0.14423696644174278,0.18623942881220007,0.23556193948219006
748.0,measured absolute-component peak,14,C_m2_n2_l1,0.043426440304201376,0.1832555558562861,0.1883307050634356
748.0,measured absolute-component peak,15,V_m2_n1_l2,-0.020198520705890573,-0.08575931815652157,0.08810585048325555
748.0,measured absolute-component peak,16,C_m2_n1_l1,0.020189606458755154,0.08572146985231426,0.08806696657998747
753.0,measured absolute-component peak,1,C_m1_n1_l1,169.89615750727447,364.0288586653169,401.7234300820776
753.0,measured absolute-component peak,2,V_m1_n1_l1,-168.91966913514352,-361.9365809303622,399.4145005333269
753.0,measured absolute-component peak,3,C_m2_n2_l2,-112.41523676884317,48.103266844192895,122.27473058191009
753.0,measured absolute-component peak,4,V_m2_n2_l2,76.68655106057426,-32.81471208936715,83.41242379330625
753.0,measured absolute-component peak,5,C_m1_n2_l2,-2.450530327333456,3.615369852257279,4.367607818221759
753.0,measured absolute-component peak,6,V_m1_n2_l1,1.6613420720722822,-2.451047422127842,2.9610286972531967
753.0,measured absolute-component peak,7,C_m1_n2_l1,-1.2446212749510714,-2.658470422857278,2.9353955623165655
753.0,measured absolute-component peak,8,C_m1_n1_l2,1.483912390618512,-2.183010760657833,2.6396082974901858
753.0,measured absolute-component peak,9,V_m1_n2_l2,-1.850173614295032,0.7906045792576414,2.0120134203768854
753.0,measured absolute-component peak,10,V_m2_n2_l1,-0.8757883790967838,1.2915275163771465,1.560464229170375
753.0,measured absolute-component peak,11,V_m2_n1_l1,-0.3040918717278507,-0.6542395244893215,0.7214577062135806
753.0,measured absolute-component peak,12,V_m1_n1_l2,-0.0853035291313686,-0.6015526523250687,0.6075708070682719
753.0,measured absolute-component peak,13,C_m2_n1_l2,-0.23187415832714825,0.09914034969920311,0.2521793691767899
753.0,measured absolute-component peak,14,C_m2_n2_l1,0.025726371299148,0.18242069766492008,0.18422583183901708
753.0,measured absolute-component peak,15,V_m2_n1_l2,-0.011898040579666928,-0.08526609765928389,0.08609222252722913
753.0,measured absolute-component peak,16,C_m2_n1_l1,0.011892789597394544,0.08522846702890871,0.08605422730177568
760.0,configured target,1,C_m1_n1_l1,104.89927230691498,371.5280331965064,386.0530232770942
760.0,configured target,2,V_m1_n1_l1,-104.29635743729328,-369.3926535054054,383.83416033288665
760.0,configured target,3,C_m2_n2_l2,-75.53717860477045,9.063296444499825,76.07896354452966
760.0,configured target,4,V_m2_n2_l2,51.52936443978507,-6.182729010280311,51.898955072166416
760.0,configured target,5,C_m1_n2_l2,-3.149017430102003,3.2430244760704414,4.520344956690605
760.0,configured target,6,V_m1_n2_l1,2.134882839018015,-2.1986151090481303,3.064577154203878
760.0,configured target,7,C_m1_n2_l1,-0.771497826636458,-2.7177918899781415,2.8251728537800544
760.0,configured target,8,C_m1_n1_l2,1.9022044117284116,-1.9549623461595669,2.7276838891082575
760.0,configured target,9,V_m2_n2_l1,-1.1251873951398312,1.1607428472247237,1.6165922898383862
760.0,configured target,10,V_m1_n2_l2,-1.2428316861994675,0.14913798168502446,1.2517478730968525
760.0,configured target,11,V_m2_n1_l1,-0.18705691073018324,-0.6675946839540869,0.693305812679857
760.0,configured target,12,V_m1_n1_l2,-0.01624767725524454,-0.5951501280243764,0.595371868586031
760.0,configured target,13,C_m2_n2_l1,0.004762603189193484,0.18070328177387102,0.18076603229861726
760.0,configured target,14,C_m2_n1_l2,-0.15567543145495338,0.01869233101026796,0.15679363251510986
760.0,configured target,15,V_m2_n1_l2,-0.002092280279532221,-0.08432013824668382,0.08434609268192564
760.0,configured target,16,C_m2_n1_l1,0.0020913568899553385,0.08428292509816811,0.08430886807889534
804.0,measured absolute-component peak,1,C_m1_n1_l1,-185.22856842512851,341.6571041467496,388.6376196082482
804.0,measured absolute-component peak,2,V_m1_n1_l1,184.16395610012134,-339.6934094149192,386.40390154135264
804.0,measured absolute-component peak,3,C_m2_n2_l2,-32.654938177601124,0.902796060092819,32.66741538764692
804.0,measured absolute-component peak,4,V_m2_n2_l2,22.276291505624116,-0.6158623879603976,22.284803111637434
804.0,measured absolute-component peak,5,C_m1_n2_l1,1.3657464180939796,-2.527423370748444,2.8728265129558315
804.0,measured absolute-component peak,6,C_m1_n2_l2,-1.829767249124577,0.06488289958838288,1.8309172500765616
804.0,measured absolute-component peak,7,V_m1_n2_l1,1.2404944673255514,-0.04398749513192781,1.2412741128345846
804.0,measured absolute-component peak,8,C_m1_n1_l2,1.0958381286361578,-0.03911913181882405,1.0965361419702748
804.0,measured absolute-component peak,9,V_m1_n1_l2,0.4725524675238092,-0.6544744531087116,0.8072438567959423
804.0,measured absolute-component peak,10,V_m2_n1_l1,0.3327970530007267,-0.6122059202911752,0.6968141555146058
804.0,measured absolute-component peak,11,V_m2_n2_l1,-0.656726407354593,0.023235718710196248,0.657137331720585
804.0,measured absolute-component peak,12,V_m1_n2_l2,-0.5360354281882542,0.014862292651155812,0.5362414269858434
804.0,measured absolute-component peak,13,C_m2_n2_l1,-0.1445506365349541,0.20108956377947731,0.24765277947901349
804.0,measured absolute-component peak,14,V_m2_n1_l2,0.06684493538916896,-0.09277602847062488,0.11434875095935403
804.0,measured absolute-component peak,15,C_m2_n1_l1,-0.06681543460133958,0.09273508346984606,0.11429828523265431
