x[nm]                  E_4_real[eV]           Psi_4_x2_real[nm^-1/2] E_4_imag[eV]           Psi_4_x2_imag[nm^-1/2]
7.1142317671146        1.4167478423565        1.4174327746592        1.4167478423565        1.4164750313171
7.260978922993         1.4167478423565        1.4082389812405        1.4167478423565        1.4201369528374
7.4003918486039        1.4167478423565        1.4135461793407        1.4167478423565        1.4180230764372
7.532837099151         1.4167478423565        1.4162294706479        1.4167478423565        1.4169543117026
7.6586629098899        1.4167478423565        1.4190680666118        1.4167478423565        1.4158236885556
7.7782001117354        1.4167478423565        1.4217493883311        1.4167478423565        1.4147557083151
7.891763001107         1.4167478423565        1.4243371905577        1.4167478423565        1.4137249772303
7.9996501663019        1.4167478423565        1.4268507932797        1.4167478423565        1.4127238000793
8.1021452725658        1.4167478423565        1.429306431168         1.4167478423565        1.4117457105335
8.1995178079279        1.4167478423565        1.4317158325179        1.4167478423565        1.4107860371699
8.2920237917592        1.4167478423565        1.4340872859571        1.4167478423565        1.4098414785978
8.3799064479186        1.4167478423565        1.4364264783043        1.4167478423565        1.4089097697366
8.4633968442558        1.4167478423565        1.4387375937875        1.4167478423565        1.4079892439929
8.5427145001525        1.4167478423565        1.4410261073557        1.4167478423565        1.4070777206745
8.6180679636999        1.4167478423565        1.4433083955145        1.4167478423565        1.4061686769596
8.6896553600291        1.4167478423565        1.4455162350022        1.4167478423565        1.4052892864223
8.7576649122373        1.4167478423565        1.4476338646804        1.4167478423565        1.4044458267819
8.8222754362784        1.4167478423565        1.4496630614067        1.4167478423565        1.4036375903095
8.8836568111193        1.4167478423565        1.4516023402072        1.4167478423565        1.4028651684755
8.9419704253995        1.4167478423565        1.453450215209         1.4167478423565        1.4021291531087
8.9973696017656        1.4167478423565        1.4552058632078        1.4167478423565        1.4014298720941
9.05                   1.4167478423565        1.45686928193          1.4167478423565        1.4007673263376
9.1                    1.4167478423565        1.4584413019206        1.4167478423565        1.4001411850299
9.15                   1.4167478423565        1.4600012033121        1.4167478423565        1.3995198706045
9.2                    1.4167478423565        1.4615449489531        1.4167478423565        1.3989049910736
9.25                   1.4167478423565        1.4630685594987        1.4167478423565        1.3982981314247
9.3                    1.4167478423565        1.4645683028846        1.4167478423565        1.3977007781528
9.35                   1.4167478423565        1.4660409284941        1.4167478423565        1.3971142259904
9.4                    1.4167478423565        1.4674839640265        1.4167478423565        1.3965394596637
9.45                   1.4167478423565        1.4688960953656        1.4167478423565        1.3959770025903
9.5                    1.4167478423565        1.4702776543266        1.4167478423565        1.3954267226068
9.55                   1.4167478423565        1.4716312458455        1.4167478423565        1.3948875821577
9.6                    1.4167478423565        1.4729625551629        1.4167478423565        1.3943573167908
9.65                   1.4167478423565        1.4742830675894        1.4167478423565        1.3938313518651
9.7                    1.4167478423565        1.4755989842358        1.4167478423565        1.3933072174554
9.75                   1.4167478423565        1.4769077511692        1.4167478423565        1.3927859308025
9.8                    1.4167478423565        1.4782074601543        1.4167478423565        1.3922682519636
9.85                   1.4167478423565        1.4794966491243        1.4167478423565        1.391754763285
9.9                    1.4167478423565        1.4807741656656        1.4167478423565        1.3912459237776
9.95                   1.4167478423565        1.4820390735572        1.4167478423565        1.3907421063413
