x[nm]                 E_10[eV]              Psi^2_10_cb2[nm^-1/2]
7.1142317671146       2.3390988947366       2.3390998686461
7.260978922993        2.3390988947366       2.3396202512139
7.4003918486039       2.3390988947366       2.3393355666281
7.532837099151        2.3390988947366       2.3392843028474
7.6586629098899       2.3390988947366       2.3392343478404
7.7782001117354       2.3390988947366       2.3392004626883
7.891763001107        2.3390988947366       2.3391761752769
7.9996501663019       2.3390988947366       2.3391585752934
8.1021452725658       2.3390988947366       2.3391456453431
8.1995178079279       2.3390988947366       2.3391360238257
8.2920237917592       2.3390988947366       2.3391287767895
8.3799064479186       2.3390988947366       2.3391232546705
8.4633968442558       2.3390988947366       2.3391189978748
8.5427145001525       2.3390988947366       2.3391156683478
8.6180679636999       2.3390988947366       2.33911298153
8.6896553600291       2.3390988947366       2.3391108750005
8.7576649122373       2.3390988947366       2.3391092101983
8.8222754362784       2.3390988947366       2.3391078714643
8.8836568111193       2.3390988947366       2.339106781508
8.9419704253995       2.3390988947366       2.3391058845483
8.9973696017656       2.3390988947366       2.3391051391939
9.05                  2.3390988947366       2.3391045142396
9.1                   2.3390988947366       2.3391039858724
9.15                  2.3390988947366       2.3391035131262
9.2                   2.3390988947366       2.3391030895189
9.25                  2.3390988947366       2.3391027093716
9.3                   2.3390988947366       2.339102367761
9.35                  2.3390988947366       2.3391020604636
9.4                   2.3390988947366       2.339101783904
9.45                  2.3390988947366       2.3391015351155
9.5                   2.3390988947366       2.339101311716
9.55                  2.3390988947366       2.3391011119021
9.6                   2.3390988947366       2.3391009344656
9.65                  2.3390988947366       2.3391007756058
9.7                   2.3390988947366       2.3391006311365
9.75                  2.3390988947366       2.3391004990543
9.8                   2.3390988947366       2.3391003778327
9.85                  2.3390988947366       2.3391002662717
9.9                   2.3390988947366       2.3391001633989
9.95                  2.3390988947366       2.3391000684046
10                    2.3390988947366       2.3390999805979
10.05                 2.3390988947366       2.3390998993774
10.1                  2.3390988947366       2.3390998242115
10.15                 2.3390988947366       2.3390997546242
10.2                  2.3390988947366       2.3390996901852
10.25                 2.3390988947366       2.339099630503
10.3                  2.3390988947366       2.3390995752198
10.35                 2.3390988947366       2.3390995240066
10.4                  2.3390988947366       2.3390994765611
10.45                 2.3390988947366       2.3390994326041
10.5                  2.3390988947366       2.3390993918781
10.55                 2.3390988947366       2.3390993541449
10.6                  2.3390988947366       2.3390993191843
10.65                 2.3390988947366       2.3390992867923
10.7                  2.3390988947366       2.3390992567804
10.75                 2.3390988947366       2.3390992289736
10.8                  2.3390988947366       2.3390992032103
10.85                 2.3390988947366       2.3390991793404
10.9                  2.3390988947366       2.3390991572253
10.95                 2.3390988947366       2.3390991367362
11                    2.3390988947366       2.3390991177541
11.05                 2.3390988947366       2.3390991001686
11.1                  2.3390988947366       2.3390990838774
11.15                 2.3390988947366       2.3390990687858
11.2                  2.3390988947366       2.3390990548062
11.25                 2.3390988947366       2.3390990418572
11.3                  2.3390988947366       2.3390990298635
11.35                 2.3390988947366       2.3390990187556
11.4                  2.3390988947366       2.3390990084687
11.45                 2.3390988947366       2.3390989989432
