x[nm]                E_3[eV]              Psi^2_3_lh1[nm^-1/2]
7.1142317671146      1.4167478423565      1.416748591253
7.260978922993       1.4167478423565      1.4168539294674
7.4003918486039      1.4167478423565      1.4167579398243
7.532837099151       1.4167478423565      1.4167484842579
7.6586629098899      1.4167478423565      1.4167734857473
7.7782001117354      1.4167478423565      1.4168324655968
7.891763001107       1.4167478423565      1.4169240414996
7.9996501663019      1.4167478423565      1.4170473641041
8.1021452725658      1.4167478423565      1.4172021723989
8.1995178079279      1.4167478423565      1.4173886098201
8.2920237917592      1.4167478423565      1.4176071034298
8.3799064479186      1.4167478423565      1.417858268887
8.4633968442558      1.4167478423565      1.4181428777248
8.5427145001525      1.4167478423565      1.4184620567698
8.6180679636999      1.4167478423565      1.4188184220768
8.6896553600291      1.4167478423565      1.4192031430267
8.7576649122373      1.4167478423565      1.4196111656092
8.8222754362784      1.4167478423565      1.4200392560585
8.8836568111193      1.4167478423565      1.4204835913924
8.9419704253995      1.4167478423565      1.4209401960785
8.9973696017656      1.4167478423565      1.4214051215027
9.05                 1.4167478423565      1.4218745653137
9.1                  1.4167478423565      1.4223449621615
9.15                 1.4167478423565      1.4228382198195
9.2                  1.4167478423565      1.4233531327395
9.25                 1.4167478423565      1.423888182083
9.3                  1.4167478423565      1.4244415578613
9.35                 1.4167478423565      1.4250112017318
9.4                  1.4167478423565      1.4255948772189
9.45                 1.4167478423565      1.4261902753829
9.5                  1.4167478423565      1.4267951657755
9.55                 1.4167478423565      1.4274076049881
9.6                  1.4167478423565      1.428026218487
9.65                 1.4167478423565      1.4286526435302
9.7                  1.4167478423565      1.4292884608777
9.75                 1.4167478423565      1.4299325830059
9.8                  1.4167478423565      1.4305840472707
9.85                 1.4167478423565      1.4312419798368
9.9                  1.4167478423565      1.4319055699104
9.95                 1.4167478423565      1.4325740513778
10                   1.4167478423565      1.4332466897616
10.05                1.4167478423565      1.4339227729943
10.1                 1.4167478423565      1.4346016049288
10.15                1.4167478423565      1.4352825008119
10.2                 1.4167478423565      1.4359647841666
10.25                1.4167478423565      1.4366477846852
10.3                 1.4167478423565      1.4373308368503
10.35                1.4167478423565      1.4380132790798
10.4                 1.4167478423565      1.4386944532513
10.45                1.4167478423565      1.4393737045026
10.5                 1.4167478423565      1.4400503812323
10.55                1.4167478423565      1.4407238352489
