x[nm]                   E_11_real[eV]           Psi_11_z2_real[nm^-1/2] E_11_imag[eV]           Psi_11_z2_imag[nm^-1/2]
7.1142317671146         2.9525116792099         2.9525261088844         2.9525116792099         2.9525116792099
7.260978922993          2.9525116792099         2.9528494313462         2.9525116792099         2.9525116792099
7.4003918486039         2.9525116792099         2.9529745864268         2.9525116792099         2.9525116792099
7.532837099151          2.9525116792099         2.9530398454954         2.9525116792099         2.9525116792099
7.6586629098899         2.9525116792099         2.9530754140657         2.9525116792099         2.9525116792099
7.7782001117354         2.9525116792099         2.9530993372817         2.9525116792099         2.9525116792099
7.891763001107          2.9525116792099         2.9531198035939         2.9525116792099         2.9525116792099
7.9996501663019         2.9525116792099         2.9531406880021         2.9525116792099         2.9525116792099
8.1021452725658         2.9525116792099         2.9531637601022         2.9525116792099         2.9525116792099
8.1995178079279         2.9525116792099         2.9531897671559         2.9525116792099         2.9525116792099
8.2920237917592         2.9525116792099         2.9532189650288         2.9525116792099         2.9525116792099
8.3799064479186         2.9525116792099         2.9532513846859         2.9525116792099         2.9525116792099
8.4633968442558         2.9525116792099         2.953286968894          2.9525116792099         2.9525116792099
8.5427145001525         2.9525116792099         2.9533256443081         2.9525116792099         2.9525116792099
8.6180679636999         2.9525116792099         2.9533673626013         2.9525116792099         2.9525116792099
8.6896553600291         2.9525116792099         2.9534111583161         2.9525116792099         2.9525116792099
8.7576649122373         2.9525116792099         2.9534555543668         2.9525116792099         2.9525116792099
8.8222754362784         2.9525116792099         2.9534993698358         2.9525116792099         2.9525116792099
8.8836568111193         2.9525116792099         2.9535417831624         2.9525116792099         2.9525116792099
8.9419704253995         2.9525116792099         2.9535822341963         2.9525116792099         2.9525116792099
8.9973696017656         2.9525116792099         2.953620351092          2.9525116792099         2.9525116792099
9.05                    2.9525116792099         2.9536559009593         2.9525116792099         2.9525116792099
9.1                     2.9525116792099         2.9536887561298         2.9525116792099         2.9525116792099
9.15                    2.9525116792099         2.9537204084399         2.9525116792099         2.9525116792099
9.2                     2.9525116792099         2.9537505704657         2.9525116792099         2.9525116792099
9.25                    2.9525116792099         2.9537789612363         2.9525116792099         2.9525116792099
9.3                     2.9525116792099         2.9538053091812         2.9525116792099         2.9525116792099
9.35                    2.9525116792099         2.9538293551046         2.9525116792099         2.9525116792099
9.4                     2.9525116792099         2.953850854295          2.9525116792099         2.9525116792099
9.45                    2.9525116792099         2.9538695764549         2.9525116792099         2.9525116792099
9.5                     2.9525116792099         2.9538853015541         2.9525116792099         2.9525116792099
9.55                    2.9525116792099         2.9538978089107         2.9525116792099         2.9525116792099
9.6                     2.9525116792099         2.9539068557252         2.9525116792099         2.9525116792099
9.65                    2.9525116792099         2.9539123340594         2.9525116792099         2.9525116792099
9.7                     2.9525116792099         2.9539144286854         2.9525116792099         2.9525116792099
9.75                    2.9525116792099         2.9539134948399         2.9525116792099         2.9525116792099
9.8                     2.9525116792099         2.9539098823689         2.9525116792099         2.9525116792099
9.85                    2.9525116792099         2.9539039179898         2.9525116792099         2.9525116792099
9.9                     2.9525116792099         2.9538958968307         2.9525116792099         2.9525116792099
9.95                    2.9525116792099         2.9538860796004         2.9525116792099         2.9525116792099
10                      2.9525116792099         2.953874693042          2.9525116792099         2.9525116792099
10.05                   2.9525116792099         2.953861932177          2.9525116792099         2.9525116792099
10.1                    2.9525116792099         2.9538479634095         2.9525116792099         2.9525116792099
10.15                   2.9525116792099         2.9538329279253         2.9525116792099         2.9525116792099
10.2                    2.9525116792099         2.9538169450551         2.9525116792099         2.9525116792099
10.25                   2.9525116792099         2.953800115421          2.9525116792099         2.9525116792099
10.3                    2.9525116792099         2.9537825237788         2.9525116792099         2.9525116792099
10.35                   2.9525116792099         2.9537642415258         2.9525116792099         2.9525116792099
10.4                    2.9525116792099         2.9537453288767         2.9525116792099         2.9525116792099
10.45                   2.9525116792099         2.9537258367279         2.9525116792099         2.9525116792099
10.5                    2.9525116792099         2.9537058082405         2.9525116792099         2.9525116792099
10.55                   2.9525116792099         2.9536852801747         2.9525116792099         2.9525116792099
10.6                    2.9525116792099         2.9536642840087         2.9525116792099         2.9525116792099
10.65                   2.9525116792099         2.9536428468724         2.9525116792099         2.9525116792099
10.7                    2.9525116792099         2.9536209923235         2.9525116792099         2.9525116792099
10.75                   2.9525116792099         2.9535987409923         2.9525116792099         2.9525116792099
10.8                    2.9525116792099         2.9535761111137         2.9525116792099         2.9525116792099
10.85                   2.9525116792099         2.9535531189677         2.9525116792099         2.9525116792099
10.9                    2.9525116792099         2.9535297792419         2.9525116792099         2.9525116792099
10.95                   2.9525116792099         2.9535061053302         2.9525116792099         2.9525116792099
11                      2.9525116792099         2.9534821095779         2.9525116792099         2.9525116792099
11.05                   2.9525116792099         2.953457803484          2.9525116792099         2.9525116792099
11.1                    2.9525116792099         2.953433197866          2.9525116792099         2.9525116792099
11.15                   2.9525116792099         2.9534083029955         2.9525116792099         2.9525116792099
11.2                    2.9525116792099         2.9533831287094         2.9525116792099         2.9525116792099
11.25                   2.9525116792099         2.9533576845001         2.9525116792099         2.9525116792099
11.3                    2.9525116792099         2.95333197959           2.9525116792099         2.9525116792099
11.35                   2.9525116792099         2.9533060229916         2.9525116792099         2.9525116792099
11.4                    2.9525116792099         2.9532798235563         2.9525116792099         2.9525116792099
11.45                   2.9525116792099         2.9532533900148         2.9525116792099         2.9525116792099
11.5                    2.9525116792099         2.9532267310088         2.9525116792099         2.9525116792099
11.55                   2.9525116792099         2.9531998551172         2.9525116792099         2.9525116792099
11.6                    2.9525116792099         2.9531727708774         2.9525116792099         2.9525116792099
11.65                   2.9525116792099         2.953145486801          2.9525116792099         2.9525116792099
11.7                    2.9525116792099         2.953118011388          2.9525116792099         2.9525116792099
11.75                   2.9525116792099         2.9530903531368         2.9525116792099         2.9525116792099
11.8                    2.9525116792099         2.9530625205521         2.9525116792099         2.9525116792099
11.85                   2.9525116792099         2.9530345221513         2.9525116792099         2.9525116792099
11.9                    2.9525116792099         2.9530063664691         2.9525116792099         2.9525116792099
11.95                   2.9525116792099         2.9529780620606         2.9525116792099         2.9525116792099
12                      2.9525116792099         2.9529496175037         2.9525116792099         2.9525116792099
12.05                   2.9525116792099         2.9529210414006         2.9525116792099         2.9525116792099
12.1                    2.9525116792099         2.952892342378          2.9525116792099         2.9525116792099
12.15                   2.9525116792099         2.9528635290878         2.9525116792099         2.9525116792099
12.2                    2.9525116792099         2.9528346102062         2.9525116792099         2.9525116792099
12.25                   2.9525116792099         2.9528055944331         2.9525116792099         2.9525116792099
12.3                    2.9525116792099         2.9527764904912         2.9525116792099         2.9525116792099
12.35                   2.9525116792099         2.9527473071241         2.9525116792099         2.9525116792099
12.4                    2.9525116792099         2.9527180530952         2.9525116792099         2.9525116792099
12.45                   2.9525116792099         2.9526887371859         2.9525116792099         2.9525116792099
12.5                    2.9525116792099         2.9526593681933         2.9525116792099         2.9525116792099
12.55                   2.9525116792099         2.9526299549287         2.9525116792099         2.9525116792099
12.6                    2.9525116792099         2.9526005062152         2.9525116792099         2.9525116792099
12.65                   2.9525116792099         2.9525710308857         2.9525116792099         2.9525116792099
12.7                    2.9525116792099         2.9525415377808         2.9525116792099         2.9525116792099
12.75                   2.9525116792099         2.9525120357463         2.9525116792099         2.9525116792099
12.8                    2.9525116792099         2.9524825336315         2.9525116792099         2.9525116792099
12.85                   2.9525116792099         2.9524530402865         2.9525116792099         2.9525116792099
12.9                    2.9525116792099         2.9524235645606         2.9525116792099         2.9525116792099
12.95                   2.9525116792099         2.9523941152999         2.9525116792099         2.9525116792099
13                      2.9525116792099         2.9523647013452         2.9525116792099         2.9525116792099
13.05                   2.9525116792099         2.9523353315308         2.9525116792099         2.9525116792099
13.1                    2.9525116792099         2.9523060146818         2.9525116792099         2.9525116792099
13.15                   2.9525116792099         2.9522767596136         2.9525116792099         2.9525116792099
13.2                    2.9525116792099         2.9522475751298         2.9525116792099         2.9525116792099
13.25                   2.9525116792099         2.9522184700216         2.9525116792099         2.9525116792099
13.3                    2.9525116792099         2.952189453067          2.9525116792099         2.9525116792099
13.35                   2.9525116792099         2.9521605330305         2.9525116792099         2.9525116792099
13.4                    2.9525116792099         2.9521317186635         2.9525116792099         2.9525116792099
13.45                   2.9525116792099         2.9521030187049         2.9525116792099         2.9525116792099
13.5                    2.9525116792099         2.9520744418832         2.9525116792099         2.9525116792099
13.55                   2.9525116792099         2.9520459969188         2.9525116792099         2.9525116792099
13.6                    2.9525116792099         2.9520176925276         2.9525116792099         2.9525116792099
13.65                   2.9525116792099         2.9519895374266         2.9525116792099         2.9525116792099
13.7                    2.9525116792099         2.9519615403403         2.9525116792099         2.9525116792099
13.75                   2.9525116792099         2.9519337100099         2.9525116792099         2.9525116792099
13.8                    2.9525116792099         2.9519060552042         2.9525116792099         2.9525116792099
13.85                   2.9525116792099         2.9518785847349         2.9525116792099         2.9525116792099
13.9                    2.9525116792099         2.9518513074741         2.9525116792099         2.9525116792099
13.95                   2.9525116792099         2.9518242323774         2.9525116792099         2.9525116792099
14                      2.9525116792099         2.951797368512          2.9525116792099         2.9525116792099
14.05                   2.9525116792099         2.9517707250922         2.9525116792099         2.9525116792099
14.1                    2.9525116792099         2.9517443115222         2.9525116792099         2.9525116792099
