x[nm]                   E_11_real[eV]           Psi_11_x1_real[nm^-1/2] E_11_imag[eV]           Psi_11_x1_imag[nm^-1/2]
7.1142317671146         2.9525116792099         2.9516759627909         2.9525116792099         2.9525116792099
7.260978922993          2.9525116792099         2.9673513591705         2.9525116792099         2.9525116792099
7.4003918486039         2.9525116792099         2.9641630207013         2.9525116792099         2.9525116792099
7.532837099151          2.9525116792099         2.9641886827783         2.9525116792099         2.9525116792099
7.6586629098899         2.9525116792099         2.9640054747772         2.9525116792099         2.9525116792099
7.7782001117354         2.9525116792099         2.9640093756438         2.9525116792099         2.9525116792099
7.891763001107          2.9525116792099         2.9641385748621         2.9525116792099         2.9525116792099
7.9996501663019         2.9525116792099         2.9643783228912         2.9525116792099         2.9525116792099
8.1021452725658         2.9525116792099         2.9647138252968         2.9525116792099         2.9525116792099
8.1995178079279         2.9525116792099         2.9651325952549         2.9525116792099         2.9525116792099
8.2920237917592         2.9525116792099         2.9656238573467         2.9525116792099         2.9525116792099
8.3799064479186         2.9525116792099         2.96617817704           2.9525116792099         2.9525116792099
8.4633968442558         2.9525116792099         2.9667871156494         2.9525116792099         2.9525116792099
8.5427145001525         2.9525116792099         2.9674426743615         2.9525116792099         2.9525116792099
8.6180679636999         2.9525116792099         2.9681357147627         2.9525116792099         2.9525116792099
8.6896553600291         2.9525116792099         2.9688766788331         2.9525116792099         2.9525116792099
8.7576649122373         2.9525116792099         2.9696088895084         2.9525116792099         2.9525116792099
8.8222754362784         2.9525116792099         2.9703015487139         2.9525116792099         2.9525116792099
8.8836568111193         2.9525116792099         2.9709465200841         2.9525116792099         2.9525116792099
8.9419704253995         2.9525116792099         2.9715406483432         2.9525116792099         2.9525116792099
8.9973696017656         2.9525116792099         2.9720825089237         2.9525116792099         2.9525116792099
9.05                    2.9525116792099         2.972571653509          2.9525116792099         2.9525116792099
9.1                     2.9525116792099         2.9730083948486         2.9525116792099         2.9525116792099
9.15                    2.9525116792099         2.9734134571134         2.9525116792099         2.9525116792099
9.2                     2.9525116792099         2.9737820251791         2.9525116792099         2.9525116792099
9.25                    2.9525116792099         2.974109357785          2.9525116792099         2.9525116792099
9.3                     2.9525116792099         2.9743910426652         2.9525116792099         2.9525116792099
9.35                    2.9525116792099         2.9746233696189         2.9525116792099         2.9525116792099
9.4                     2.9525116792099         2.97480385502           2.9525116792099         2.9525116792099
9.45                    2.9525116792099         2.9749319633762         2.9525116792099         2.9525116792099
9.5                     2.9525116792099         2.9750100862852         2.9525116792099         2.9525116792099
9.55                    2.9525116792099         2.9750448579118         2.9525116792099         2.9525116792099
9.6                     2.9525116792099         2.9750489104057         2.9525116792099         2.9525116792099
9.65                    2.9525116792099         2.9750060408914         2.9525116792099         2.9525116792099
9.7                     2.9525116792099         2.9749015222246         2.9525116792099         2.9525116792099
9.75                    2.9525116792099         2.9747532391874         2.9525116792099         2.9525116792099
9.8                     2.9525116792099         2.9745732879151         2.9525116792099         2.9525116792099
9.85                    2.9525116792099         2.9743698571022         2.9525116792099         2.9525116792099
9.9                     2.9525116792099         2.9741484981474         2.9525116792099         2.9525116792099
9.95                    2.9525116792099         2.9739129827041         2.9525116792099         2.9525116792099
10                      2.9525116792099         2.9736658816485         2.9525116792099         2.9525116792099
10.05                   2.9525116792099         2.9734089559498         2.9525116792099         2.9525116792099
10.1                    2.9525116792099         2.9731434205404         2.9525116792099         2.9525116792099
10.15                   2.9525116792099         2.9728701224403         2.9525116792099         2.9525116792099
10.2                    2.9525116792099         2.9725896609901         2.9525116792099         2.9525116792099
10.25                   2.9525116792099         2.9723024689986         2.9525116792099         2.9525116792099
10.3                    2.9525116792099         2.9720088675046         2.9525116792099         2.9525116792099
10.35                   2.9525116792099         2.9717091027252         2.9525116792099         2.9525116792099
10.4                    2.9525116792099         2.9714033709804         2.9525116792099         2.9525116792099
10.45                   2.9525116792099         2.9710918354992         2.9525116792099         2.9525116792099
10.5                    2.9525116792099         2.9707746377491         2.9525116792099         2.9525116792099
10.55                   2.9525116792099         2.9704519050667         2.9525116792099         2.9525116792099
10.6                    2.9525116792099         2.9701237557935         2.9525116792099         2.9525116792099
10.65                   2.9525116792099         2.9697903027281         2.9525116792099         2.9525116792099
10.7                    2.9525116792099         2.9694516554425         2.9525116792099         2.9525116792099
10.75                   2.9525116792099         2.9691079218313         2.9525116792099         2.9525116792099
10.8                    2.9525116792099         2.9687592091455         2.9525116792099         2.9525116792099
10.85                   2.9525116792099         2.9684056246762         2.9525116792099         2.9525116792099
10.9                    2.9525116792099         2.9680472762045         2.9525116792099         2.9525116792099
10.95                   2.9525116792099         2.9676842722924         2.9525116792099         2.9525116792099
11                      2.9525116792099         2.9673167224668         2.9525116792099         2.9525116792099
11.05                   2.9525116792099         2.9669447373323         2.9525116792099         2.9525116792099
11.1                    2.9525116792099         2.9665684286347         2.9525116792099         2.9525116792099
11.15                   2.9525116792099         2.9661879092923         2.9525116792099         2.9525116792099
11.2                    2.9525116792099         2.965803293405          2.9525116792099         2.9525116792099
11.25                   2.9525116792099         2.9654146962485         2.9525116792099         2.9525116792099
11.3                    2.9525116792099         2.9650222342587         2.9525116792099         2.9525116792099
11.35                   2.9525116792099         2.9646260250088         2.9525116792099         2.9525116792099
11.4                    2.9525116792099         2.9642261871823         2.9525116792099         2.9525116792099
11.45                   2.9525116792099         2.9638228405426         2.9525116792099         2.9525116792099
11.5                    2.9525116792099         2.9634161059001         2.9525116792099         2.9525116792099
11.55                   2.9525116792099         2.9630061050784         2.9525116792099         2.9525116792099
11.6                    2.9525116792099         2.9625929608788         2.9525116792099         2.9525116792099
11.65                   2.9525116792099         2.9621767970443         2.9525116792099         2.9525116792099
11.7                    2.9525116792099         2.9617577382227         2.9525116792099         2.9525116792099
11.75                   2.9525116792099         2.96133590993           2.9525116792099         2.9525116792099
11.8                    2.9525116792099         2.9609114385123         2.9525116792099         2.9525116792099
11.85                   2.9525116792099         2.9604844511082         2.9525116792099         2.9525116792099
11.9                    2.9525116792099         2.9600550756107         2.9525116792099         2.9525116792099
11.95                   2.9525116792099         2.9596234406287         2.9525116792099         2.9525116792099
12                      2.9525116792099         2.9591896754484         2.9525116792099         2.9525116792099
12.05                   2.9525116792099         2.9587539099945         2.9525116792099         2.9525116792099
12.1                    2.9525116792099         2.9583162747915         2.9525116792099         2.9525116792099
12.15                   2.9525116792099         2.9578769009241         2.9525116792099         2.9525116792099
12.2                    2.9525116792099         2.9574359199982         2.9525116792099         2.9525116792099
12.25                   2.9525116792099         2.9569934641012         2.9525116792099         2.9525116792099
12.3                    2.9525116792099         2.9565496657626         2.9525116792099         2.9525116792099
12.35                   2.9525116792099         2.9561046579141         2.9525116792099         2.9525116792099
12.4                    2.9525116792099         2.9556585738499         2.9525116792099         2.9525116792099
12.45                   2.9525116792099         2.9552115471865         2.9525116792099         2.9525116792099
12.5                    2.9525116792099         2.9547637118231         2.9525116792099         2.9525116792099
12.55                   2.9525116792099         2.954315201901          2.9525116792099         2.9525116792099
12.6                    2.9525116792099         2.9538661517636         2.9525116792099         2.9525116792099
12.65                   2.9525116792099         2.9534166959162         2.9525116792099         2.9525116792099
12.7                    2.9525116792099         2.9529669689857         2.9525116792099         2.9525116792099
12.75                   2.9525116792099         2.95251710568           2.9525116792099         2.9525116792099
12.8                    2.9525116792099         2.952067240748          2.9525116792099         2.9525116792099
