x[nm]                    E_14_real[eV]            Psi_14_so1_real[nm^-1/2] E_14_imag[eV]            Psi_14_so1_imag[nm^-1/2]
7.1142317671146          3.0911484520155          3.0913672185546          3.0911484520155          3.0901197939289
7.260978922993           3.0911484520155          3.0874594509056          3.0911484520155          3.1084944357272
7.4003918486039          3.0911484520155          3.0882790048587          3.0911484520155          3.1046408262815
7.532837099151           3.0911484520155          3.088267715298           3.0911484520155          3.1046939107156
7.6586629098899          3.0911484520155          3.0883074805255          3.0911484520155          3.1045069313768
7.7782001117354          3.0911484520155          3.088304634696           3.0911484520155          3.104520312699
7.891763001107           3.0911484520155          3.0882771922812          3.0911484520155          3.1046493491687
7.9996501663019          3.0911484520155          3.0882295300218          3.0911484520155          3.1048734609945
8.1021452725658          3.0911484520155          3.0881652785772          3.0911484520155          3.1051755765211
8.1995178079279          3.0911484520155          3.0880871799857          3.0911484520155          3.1055428024597
8.2920237917592          3.0911484520155          3.0879974414361          3.0911484520155          3.1059647604297
8.3799064479186          3.0911484520155          3.0878979346972          3.0911484520155          3.1064326492216
8.4633968442558          3.0911484520155          3.0877904199605          3.0911484520155          3.1069381922713
8.5427145001525          3.0911484520155          3.0876771666272          3.0911484520155          3.1074707186697
8.6180679636999          3.0911484520155          3.0875632441182          3.0911484520155          3.1080063915868
8.6896553600291          3.0911484520155          3.0874408029279          3.0911484520155          3.1085821200371
8.7576649122373          3.0911484520155          3.0873243450953          3.0911484520155          3.1091297142521
8.8222754362784          3.0911484520155          3.0872218182291          3.0911484520155          3.1096118039286
8.8836568111193          3.0911484520155          3.0871343815367          3.0911484520155          3.1100229383785
8.9419704253995          3.0911484520155          3.0870618783701          3.0911484520155          3.1103638541737
8.9973696017656          3.0911484520155          3.0870038077722          3.0911484520155          3.1106369068554
9.05                     3.0911484520155          3.0869595301399          3.0911484520155          3.1108451038889
9.1                      3.0911484520155          3.0869283133936          3.0911484520155          3.1109918875729
9.15                     3.0911484520155          3.086908657644           3.0911484520155          3.1110843105085
9.2                      3.0911484520155          3.086901556317           3.0911484520155          3.1111177015266
9.25                     3.0911484520155          3.0869079495987          3.0911484520155          3.1110876397953
9.3                      3.0911484520155          3.0869286523193          3.0911484520155          3.1109902939168
9.35                     3.0911484520155          3.0869642506496          3.0911484520155          3.1108229076678
9.4                      3.0911484520155          3.0870149579696          3.0911484520155          3.1105844777187
9.45                     3.0911484520155          3.0870804168595          3.0911484520155          3.1102766846863
9.5                      3.0911484520155          3.0871594298713          3.0911484520155          3.1099051590689
9.55                     3.0911484520155          3.0872495961732          3.0911484520155          3.1094811897727
9.6                      3.0911484520155          3.0873468238875          3.0911484520155          3.1090240171401
9.65                     3.0911484520155          3.087456247276           3.0911484520155          3.1085094994542
9.7                      3.0911484520155          3.08758285049            3.0911484520155          3.1079142008293
9.75                     3.0911484520155          3.0877217714641          3.0911484520155          3.1072609830934
9.8                      3.0911484520155          3.0878697365988          3.0911484520155          3.1065652389771
9.85                     3.0911484520155          3.0880245320181          3.0911484520155          3.1058373783065
