deck,question,band_model,k_mode,k_points,kmax_per_nm,states_out,electrostatics,interface_model,changed_fields,structural_diff_lines,path
continuum_pad2_outer18.in,What lies above the barrier edge on the Demo 23 domain?,kp8,dispersion,301,0.555714,64,flat_band,linear_graded,num_electrons;num_holes;output_state_count,0,C:\code\nonlinear_photonics\nextnano\demos\27_physics\27K_continuum_states\inputs\continuum_pad2_outer18.in
continuum_pad8_outer18.in,Which of those states move when the Dirichlet walls move?,kp8,dispersion,301,0.555714,64,flat_band,linear_graded,num_electrons;num_holes;output_state_count;quantum_region_padding_nm,0,C:\code\nonlinear_photonics\nextnano\demos\27_physics\27K_continuum_states\inputs\continuum_pad8_outer18.in
continuum_pad2_outer34.in,Which of them move when the outer barrier gets thicker?,kp8,dispersion,301,0.555714,64,flat_band,linear_graded,num_electrons;num_holes;output_state_count;period_barrier_nm,24,C:\code\nonlinear_photonics\nextnano\demos\27_physics\27K_continuum_states\inputs\continuum_pad2_outer34.in
