z_nm,psi_e1,psi_e2,psi_e3,psi_e4,psi_e5,psi_e6,psi_hh1,psi_hh2,psi_hh3,psi_hh4,psi_hh5,psi_hh6
7.114231767114599592e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.260978922992999962e+00,7.259908361020143280e-03,-4.764319189863577483e-03,1.747130606967004299e-02,3.461375634012209268e-02,3.098171073948887549e-02,7.531610601324315035e-02,1.232383351322007166e-03,-2.993258407542917325e-03,3.773975477096396512e-04,-6.340904795434042923e-03,-1.215183080246001572e-02,-6.570467777508799505e-03
7.400391848603899980e+00,1.432108307065208495e-02,-9.364538488425456705e-03,3.427360324941308017e-02,6.736181254376617800e-02,5.997916841662775944e-02,1.448788756106902942e-01,2.490499419676214538e-03,-6.021334815818534837e-03,7.585805096688093448e-04,-1.266073055193708483e-02,-2.403082125224103097e-02,-1.296944914139879987e-02
7.532837099151000082e+00,2.132152156377113000e-02,-1.386614621839493515e-02,5.059765583687812068e-02,9.823472798335027012e-02,8.676585932328764739e-02,2.075115768806904404e-01,3.845012004358922594e-03,-9.232895889259554525e-03,1.161797585078298964e-03,-1.919781115007412886e-02,-3.591312258440804844e-02,-1.932813365126170510e-02
7.658662909889899950e+00,2.836468494804617047e-02,-1.831824048119591250e-02,6.658753551353714661e-02,1.272508291281903292e-01,1.112195452305695526e-01,2.625496878876705797e-01,5.353763414479130803e-03,-1.274731784677207366e-02,1.601653493839498565e-03,-2.613776497922317213e-02,-4.800681229830006114e-02,-2.574497933659660592e-02
7.778200111735399602e+00,3.552722350067321483e-02,-2.275704336399889116e-02,8.235038509913919502e-02,1.544498400960804263e-01,1.333008219424994811e-01,3.097392019811306407e-01,7.066013649858041840e-03,-1.666349249940809671e-02,2.090187834901098204e-03,-3.362739128219022211e-02,-6.046758520085507987e-02,-3.229309076541350687e-02
7.891763001106999909e+00,4.286466128382825785e-02,-2.720858490232187094e-02,9.796402809962821701e-02,1.798875548224004584e-01,1.530342510803093803e-01,3.491422485696907274e-01,9.024916537794953550e-03,-2.106516575406911992e-02,2.637533681468297656e-03,-4.178370013905927799e-02,-7.341000358531309111e-02,-3.902561164119540404e-02
7.999650166301900178e+00,5.041565200030930644e-02,-3.169078120157885203e-02,1.134829623933402698e-01,2.036314268676005512e-01,1.704921955457092964e-01,3.810537770729408025e-01,1.126889288574206560e-02,-2.602408962485214944e-02,3.252310701817996957e-03,-5.069980294034234086e-02,-8.691570962789811616e-02,-4.597973629885529490e-02
8.102145272565799416e+00,5.820522706189634743e-02,-3.621506589609783250e-02,1.289431290892203152e-01,2.257569569681805999e-01,1.857812888507292537e-01,4.059308573096908068e-01,1.383231411243808148e-02,-3.160180108814217986e-02,3.941851313703896749e-03,-6.044878549017339980e-02,-1.010395498635501405e-01,-5.317975390590019141e-02
8.199517807927900748e+00,6.624732666348040477e-02,-4.078768849890081205e-02,1.443657425318703447e-01,2.463447662161006579e-01,1.990313466524291919e-01,4.243346868027708663e-01,1.674576165487209542e-02,-3.785055369690821375e-02,4.712323658458496094e-03,-7.108630035412946691e-02,-1.158142576351301467e-01,-6.063940993065906893e-02
