z_nm,psi_e1,psi_e2,psi_e3,psi_e4,psi_e5,psi_e6,psi_hh1,psi_hh2,psi_hh3,psi_hh4,psi_hh5,psi_hh6
8.292023791759200790e+00,7.454681534398843734e-02,-4.541076110364078433e-02,1.597603921117603520e-01,2.654782525784307179e-01,2.103864634929491773e-01,4.368844939184609588e-01,2.003603639667011702e-02,-4.481374745044225394e-02,5.568793307572594831e-03,-8.265236510152855487e-02,-1.312541336684001636e-01,-6.836378109705196215e-02
8.379906447918600065e+00,8.310112187945850604e-02,-5.008311222337376301e-02,1.751275722862604134e-01,2.832417391880607815e-01,2.199980115494691024e-01,4.442220334030409501e-01,2.372603485330513837e-02,-5.252608639701530219e-02,6.515251508307593614e-03,-9.517268824693263241e-02,-1.473580246021702067e-01,-7.635079928015083006e-02
8.463396844255800744e+00,9.190160064180455390e-02,-5.480099046803073998e-02,1.904607579627404512e-01,2.997190336671508026e-01,2.280192578625190869e-01,4.469851622615509390e-01,2.783457130524216380e-02,-6.101361681505635542e-02,7.554628441184793423e-03,-1.086597341964207208e-01,-1.641118030593202159e-01,-8.459251781452871433e-02
8.542714500152499113e+00,1.009346818970506127e-01,-5.955864932390172312e-02,2.057481138687004829e-01,3.149923281790308338e-01,2.346013322103490673e-01,4.457889612082509556e-01,3.237619961914918465e-02,-7.029374675836540243e-02,8.688803620255293458e-03,-1.231136633569008126e-01,-1.814904866325702526e-01,-9.307618461735056581e-02
8.618067963699900247e+00,1.101828579256306645e-01,-6.434883614578069955e-02,2.209739057110405303e-01,3.291413796358308996e-01,2.398903024958990160e-01,4.412129573389909631e-01,3.736107055528122001e-02,-8.037531141650945676e-02,9.918621148633691154e-03,-1.385232318974509158e-01,-1.994600876123502897e-01,-1.017851664061784484e-01
8.689655360029099995e+00,1.194004208636707254e-01,-6.904701632066767569e-02,2.357509505909605452e-01,3.419001562079108658e-01,2.438934967203090221e-01,4.338789682121608760e-01,4.277889976960125296e-02,-9.122394132513252096e-02,1.123961180278298944e-02,-1.548053383629810209e-01,-2.178879552468402647e-01,-1.106528496808583117e-01
8.757664912237299149e+00,1.284549369099207694e-01,-7.358953033212765893e-02,2.498893229996805854e-01,3.531979723328709242e-01,2.466900355785290044e-01,4.243073433394208838e-01,4.858593560540928197e-02,-1.027361995028805985e-01,1.263884842108999040e-02,-1.717666799700311442e-01,-2.364997798302203025e-01,-1.195419640378181658e-01
8.822275436278399496e+00,1.372922976306008291e-01,-7.795404875003063283e-02,2.633315140958206180e-01,3.630863801610009212e-01,2.483975293523389971e-01,4.129295517855908759e-01,5.472702771840531888e-02,-1.147881332817706629e-01,1.410095922179398741e-02,-1.891900859704312432e-01,-2.550078780507103460e-01,-1.283103739818280409e-01
8.883656811119299945e+00,1.458696835438408890e-01,-8.212489378003161311e-02,2.760423905955606827e-01,3.716397348592009875e-01,2.491388827633390091e-01,4.001429703496408585e-01,6.114531260456036038e-02,-1.272559940917307175e-01,1.561068034116198586e-02,-2.068693445189913882e-01,-2.731581443654804153e-01,-1.368346177162578781e-01
8.941970425399500044e+00,1.541540295474309041e-01,-8.609185333580360311e-02,2.880046376687706577e-01,3.789464847896810151e-01,2.490360675447290117e-01,3.863033684929708111e-01,6.778333590608240367e-02,-1.400184916323908013e-01,1.715312899285598505e-02,-2.246121773955215006e-01,-2.907314572876704140e-01,-1.450102681968777896e-01
8.997369601765599967e+00,1.621206731986509775e-01,-8.984918038398857776e-02,2.992149964505207427e-01,3.851026841861309724e-01,2.482060076242789959e-01,3.717221496145607929e-01,7.458422538598843965e-02,-1.529590136012408952e-01,1.871406954982698240e-02,-2.422428336963116102e-01,-3.075442268801804047e-01,-1.527518493493076612e-01
9.050000000000000711e+00,1.697521655015610254e-01,-9.339475208434257214e-02,3.096811760188007412e-01,3.902072619657210306e-01,2.467580349518889993e-01,3.566667432958507966e-01,8.149280193057949206e-02,-1.659676071820209708e-01,2.028014827269898276e-02,-2.596040711615017482e-01,-3.234479837897304422e-01,-1.599922786404075481e-01
9.099999999999999645e+00,1.770372237558610617e-01,-9.672936449031653561e-02,3.194193284425806967e-01,3.943586519178210459e-01,2.447924826331890347e-01,3.413629596897307383e-01,8.845655651469352954e-02,-1.789426045008710164e-01,2.183908296521797771e-02,-2.765584298234818328e-01,-3.383280602734904385e-01,-1.666818778514374544e-01
9.150000000000000355e+00,1.843342019371811136e-01,-1.000192236081095254e-01,3.289203634351807737e-01,3.978074672850010485e-01,2.422597547502990389e-01,3.251677381535506561e-01,9.580165383375556509e-02,-1.924798342351611014e-01,2.346221259457397998e-02,-2.938586700311519584e-01,-3.528123538169604667e-01,-1.730995190515673410e-01
9.199999999999999289e+00,1.916203013586911252e-01,-1.032524410379295210e-01,3.381473696672107621e-01,4.005349674609210431e-01,2.391707332246190698e-01,3.081693553015506515e-01,1.035151726174206172e-01,-2.065321148451012001e-01,2.514336964297098076e-02,-3.113891209610720745e-01,-3.667185123045305084e-01,-1.791535221394372490e-01
9.250000000000000000e+00,1.988713966249811838e-01,-1.064167865564595028e-01,3.470630076397208108e-01,4.025252305049410451e-01,2.355390263251990468e-01,2.904596445414706074e-01,1.115785423401106508e-01,-2.210406667386012880e-01,2.687497532192497512e-02,-3.290178361788621553e-01,-3.798515951180905237e-01,-1.847470079632771711e-01
9.300000000000000711e+00,2.060620195502812502e-01,-1.094996983606594809e-01,3.556295630173508249e-01,4.037651538777410343e-01,2.313808271219790769e-01,2.721332700285605810e-01,1.199669614069607121e-01,-2.359342652991113509e-01,2.864794382648197524e-02,-3.465962602117923508e-01,-3.920053628678604740e-01,-1.897786931242070874e-01
9.349999999999999645e+00,2.131653666679812764e-01,-1.124883052327994709e-01,3.638090367864708075e-01,4.042444856679610621e-01,2.267147886966890957e-01,2.532870485712605535e-01,1.286488335073907585e-01,-2.511284861373414556e-01,3.045159894224497288e-02,-3.639591517526424291e-01,-4.029639697359605477e-01,-1.941438835919770400e-01
9.400000000000000355e+00,2.201533351037213426e-01,-1.153694626627794623e-01,3.715632779849808998e-01,4.039558891335810475e-01,2.215619164165391064e-01,2.340193167175105005e-01,1.375852356736408100e-01,-2.665250713859115272e-01,3.227360652189897178e-02,-3.809248032473225298e-01,-4.125040801613605312e-01,-1.977356740977269656e-01
9.449999999999999289e+00,2.269965916227613678e-01,-1.181298048832694486e-01,3.788541643227109068e-01,4.028950421917310565e-01,2.159454766067891440e-01,2.144293384032404381e-01,1.467294332615608488e-01,-2.820114481191616229e-01,3.409992659674497550e-02,-3.972955965114526866e-01,-4.203974252224605412e-01,-2.004463565844369077e-01
9.500000000000000000e+00,2.336646795842613755e-01,-1.207558146342294358e-01,3.856438354059408824e-01,4.010607722150510424e-01,2.098909200302691569e-01,1.946167470508004260e-01,1.560264586693709266e-01,-2.974604318520117086e-01,3.591478908528996511e-02,-4.128589328604027608e-01,-4.264138062140105379e-01,-2.021690366047969034e-01
9.550000000000000711e+00,2.401261683258514301e-01,-1.232339122718194291e-01,3.918949824911308610e-01,3.984552251546110702e-01,2.034258177178192017e-01,1.746810148923903516e-01,1.654127720704409721e-01,-3.127301494305218532e-01,3.770069719060896440e-02,-4.273885738717828064e-01,-4.303245435426005794e-01,-2.027994514675668936e-01
9.599999999999999645e+00,2.463488491476614750e-01,-1.255505655706194157e-01,3.975711977187109669e-01,3.950840666353010455e-01,1.965798059152392141e-01,1.547209415805103350e-01,1.748160236948210211e-01,-3.276642163467718971e-01,3.943846262553896836e-02,-4.406464251869129378e-01,-4.319063581955105424e-01,-2.022379781763968820e-01
9.650000000000000355e+00,2.524121780083314892e-01,-1.277341597886794133e-01,4.027398141951109567e-01,3.908997366667510409e-01,1.892670894097392420e-01,1.344952375559902713e-01,1.841729063602110805e-01,-3.421267110573320003e-01,4.111144844012196847e-02,-4.524332626311530214e-01,-4.309965314604905506e-01,-2.004160091574669067e-01
9.699999999999999289e+00,2.584100247308715459e-01,-1.298173048565893772e-01,4.074761876045009390e-01,3.858410580138810775e-01,1.813878928320692696e-01,1.137432388207302303e-01,1.934566847955811464e-01,-3.560525228455720392e-01,4.271160061680696202e-02,-4.626530499037631028e-01,-4.275493812177705300e-01,-1.973215651045269747e-01
9.750000000000000000e+00,2.643408333213216332e-01,-1.317983626052393886e-01,4.117752346039709188e-01,3.799193457240310212e-01,1.729657987705092992e-01,9.254615023647519423e-02,2.026636739666311804e-01,-3.694198067484321113e-01,4.423608430280395742e-02,-4.712703896970931727e-01,-4.215852012161805384e-01,-1.929742931646370174e-01
9.800000000000000711e+00,2.702030651770915837e-01,-1.336757751462393784e-01,4.156323412140109363e-01,3.731478452431910009e-01,1.640260147160693405e-01,7.098691835069115275e-02,2.117902193192512383e-01,-3.822075939471722417e-01,4.568219870072096067e-02,-4.782554349487831424e-01,-4.131391032327605406e-01,-1.874017949003271288e-01
9.849999999999999645e+00,2.759951994861616908e-01,-1.354480660969593631e-01,4.190433677704110127e-01,3.655417027891409987e-01,1.545952976159193915e-01,4.914990681754810575e-02,2.208326982300913011e-01,-3.943958246604822859e-01,4.704738185333195988e-02,-4.835839922202232466e-01,-4.022608103659605638e-01,-1.806394510426372335e-01
9.900000000000000355e+00,2.817157336215816432e-01,-1.371138417415593558e-01,4.220046533672209832e-01,3.571179314729509557e-01,1.447018737893894236e-01,2.712056627364205566e-02,2.297875214445113667e-01,-4.059653796116023394e-01,4.832921518237695557e-02,-4.872376054930931955e-01,-3.890143643103005089e-01,-1.727301968529173504e-01
9.949999999999999289e+00,2.873631835313317229e-01,-1.386717921270393672e-01,4.245130197858509868e-01,3.478953732448309411e-01,1.343753544460294658e-01,4.985099960217910173e-03,2.386511345012714280e-01,-4.168981100201024081e-01,4.952542777335295493e-02,-4.892036200937032731e-01,-3.734777483360005035e-01,-1.637242495195875003e-01
1.000000000000000000e+01,2.929360841232617751e-01,-1.401206920933293354e-01,4.265657749060809967e-01,3.378946567491508679e-01,1.236466470586595062e-01,-1.716987359962803342e-02,2.474200191434314522e-01,-4.271768660712424448e-01,5.063390039869596071e-02,-4.894752265237732880e-01,-3.557424281929305043e-01,-1.536787893207376410e-01
1.005000000000000071e+01,2.984329896452617703e-01,-1.414594022367493265e-01,4.281607155954210153e-01,3.271381511831408795e-01,1.125478628567395528e-01,-3.925765954879008313e-02,2.560906947148314794e-01,-4.367855238183924738e-01,5.165266927223695348e-02,-4.880514840458932690e-01,-3.359128136417804389e-01,-1.426575965769378007e-01
1.009999999999999964e+01,3.038524740602218110e-01,-1.426868698060593244e-01,4.292961300736409802e-01,3.156499162623908061e-01,1.011122207167896025e-01,-6.119182594270312914e-02,2.646597195417015325e-01,-4.457090104760825788e-01,5.257992952827494904e-02,-4.849373239418132142e-01,-3.141056437824904513e-01,-1.307306466991680072e-01
1.015000000000000036e+01,3.091931314160618061e-01,-1.438021295303093250e-01,4.299707997499310208e-01,3.034556484050708325e-01,8.937394773769563594e-02,-8.288654196707617716e-02,2.731236922987616000e-01,-4.539333280642026125e-01,5.341403841910195155e-02,-4.801435324324632159e-01,-2.904492997983703639e-01,-1.179736659031982021e-01
1.019999999999999929e+01,3.144535762104618826e-01,-1.448043043779093375e-01,4.301840005307610015e-01,2.905826232551607657e-01,7.736817679832869166e-02,-1.042569138033502263e-01,2.814792533593116763e-01,-4.614455753661626525e-01,5.415351822531695031e-02,-4.736867133187331880e-01,-2.650830491621703477e-01,-1.044676504110384069e-01
1.025000000000000000e+01,3.196324437502519600e-01,-1.456926062463593241e-01,4.299355035970309769e-01,2.770596346734607307e-01,6.513084140413073764e-02,-1.252193168275602675e-01,2.897230861288216941e-01,-4.682339681666327080e-01,5.479705887377694928e-02,-4.655892304724431052e-01,-2.381562257532603144e-01,-9.029835219227960730e-02
1.030000000000000071e+01,3.247283905054819675e-01,-1.464663365819793006e-01,4.292255756496710095e-01,2.629169303326407414e-01,5.269856813745579099e-02,-1.456917228427603017e-01,2.978519183613317911e-01,-4.742878577370327475e-01,5.534352025854395035e-02,-4.558791303767830705e-01,-2.098273507128502746e-01,-7.555573451037084221e-02
1.034999999999999964e+01,3.297400944579820248e-01,-1.471248869292393069e-01,4.280549786233610043e-01,2.481861440604106739e-01,4.010856703349484353e-02,-1.655940210643803701e-01,3.058625234583517982e-01,-4.795977475398428003e-01,5.579193426070695044e-02,-4.445900449842829505e-01,-1.802631992127602389e-01,-6.033340073071107729e-02
1.040000000000000036e+01,3.346662554442719761e-01,-1.476677394092693052e-01,4.264249688688109829e-01,2.329002250823606068e-01,2.739852020991788775e-02,-1.848483316025603951e-01,3.137517217495918165e-01,-4.841553081255427493e-01,5.614150646352195073e-02,-4.317610752290929055e-01,-1.496378186318201853e-01,-4.472800001708331086e-02
1.044999999999999929e+01,3.395055954929320774e-01,-1.480944671271093027e-01,4.243372958043409859e-01,2.170933643223705856e-01,1.460646908356194075e-02,-2.033793102148004073e-01,3.215163817551018877e-01,-4.879533901986728428e-01,5.639161755980794805e-02,-4.174366555967127801e-01,-1.181315039200001582e-01,-2.883861368982156004e-02
1.050000000000000000e+01,3.442568591560820623e-01,-1.484047345073893076e-01,4.217942000383509971e-01,2.008009179258005150e-01,1.770700511735392828e-03,-2.211144431362604690e-01,3.291534214282019200e-01,-4.909860358327728380e-01,5.654182444912095318e-02,-4.016664002205526662e-01,-8.592973618242211176e-02,-1.276612614180580411e-02
1.055000000000000071e+01,3.489188138350821089e-01,-1.485982975582593180e-01,4.187984109645609965e-01,1.840593281762704925e-01,-1.107036780109095508e-02,-2.379843308341204888e-01,3.366598093789119894e-01,-4.932484878163628239e-01,5.659186102275895469e-02,-3.845049310381025709e-01,-5.322209073189607120e-02,3.387415693562848169e-03
1.059999999999999964e+01,3.534902501003521214e-01,-1.486750040632393022e-01,4.153531438326309444e-01,1.669060419830404318e-01,-2.387830228821890416e-02,-2.539229595756605784e-01,3.440325660771619831e-01,-4.947371971153928238e-01,5.654163863520295097e-02,-3.660116886021424487e-01,-2.020112103840102785e-02,1.951945025554570334e-02
1.065000000000000036e+01,3.579699820050421533e-01,-1.486347937009293019e-01,4.114620962974209206e-01,1.493794271213003955e-01,-3.661476855313285095e-02,-2.688679597472305449e-01,3.512687650354920366e-01,-4.954498284405529085e-01,5.639124626116295141e-02,-3.462507262021423116e-01,1.293877485414701711e-02,3.552755253670845936e-02
1.069999999999999929e+01,3.623568473927921696e-01,-1.484776980924493173e-01,4.071294444504609533e-01,1.315186864126603739e-01,-4.924164610509580708e-02,-2.827608499134706133e-01,3.583655339706621201e-01,-4.953852639104928679e-01,5.614095033794794937e-02,-3.252904880089221851e-01,4.600249877035406110e-02,5.131008439656621622e-02
1.075000000000000000e+01,3.666497081991422213e-01,-1.482038407765493004e-01,4.023598383378809706e-01,1.133637700378802987e-01,-6.172114245451174736e-02,-2.955472656615906191e-01,3.653200559437321804e-01,-4.945436048054828171e-01,5.579119429344395198e-02,-3.032035720111320165e-01,7.879540096754110434e-02,6.676683987926897157e-02
1.080000000000000071e+01,3.708474507468322301e-01,-1.478134371125193192e-01,3.971583969697909389e-01,9.495528617792124704e-02,-7.401590622658871244e-02,-3.071771723353606820e-01,3.721295704782521807e-01,-4.929261714084928192e-01,5.534259776052795343e-02,-2.800664785644219057e-01,1.111244260599701522e-01,8.179968143811675030e-02
1.084999999999999964e+01,3.749489860347022252e-01,-1.473067941107392975e-01,3.915307028262208777e-01,7.633441018323021410e-02,-8.608913895472165845e-02,-3.176050608261906660e-01,3.787913746559222194e-01,-4.905355009340928163e-01,5.479595547931995214e-02,-2.559593454244717403e-01,1.427992495569501974e-01,9.631316302738553159e-02
1.090000000000000036e+01,3.789532500201722720e-01,-1.466843101913493097e-01,3.854827958657008891e-01,5.754279247435715311e-02,-9.790470521901961654e-02,-3.267901256553406575e-01,3.853028241895122830e-01,-4.873753435484528551e-01,5.415223588920795028e-02,-2.309656701814015167e-01,1.736333983237702272e-01,1.102151361053683026e-01
1.094999999999999929e+01,3.828592038953422816e-01,-1.459464748708493020e-01,3.790211670428308977e-01,3.862246538000010249e-02,-1.094272408003195557e-01,-3.346964246502507345e-01,3.916613344724523271e-01,-4.834506564865627687e-01,5.341257941314594970e-02,-2.051720210571213732e-01,2.034453483694302900e-01,1.234173347009981103e-01
1.100000000000000000e+01,3.866658343564423062e-01,-1.450938683771993420e-01,3.721527513418508848e-01,1.961574912079605201e-02,-1.206222585259795199e-01,-3.412930195902307284e-01,3.978643816047323090e-01,-4.787675962759727621e-01,5.257829643726895374e-02,-1.786677370671911902e-01,2.320595934980703157e-01,1.358359358293879104e-01
1.105000000000000071e+01,3.903721538667323521e-01,-1.441271611935193431e-01,3.648849203336008151e-01,5.651571491596715357e-04,-1.314562514906694735e-01,-3.465540972711007028e-01,4.039095033947623925e-01,-4.733335090792527011e-01,5.165086498938795123e-02,-1.515446185857209915e-01,2.593076785331003276e-01,1.473920916980977491e-01
1.109999999999999964e+01,3.939772009126523700e-01,-1.430471135308293285e-01,3.572254742639208169e-01,-1.848669894307704981e-02,-1.418967933431394546e-01,-3.504590705151607311e-01,4.097943003366323889e-01,-4.671569191703027202e-01,5.063192812049795849e-02,-1.238966093851708167e-01,2.850291910311503751e-01,1.580124303250475815e-01
1.115000000000000036e+01,3.974800402533423815e-01,-1.418545747302093207e-01,3.491826336820208487e-01,-3.749720473654909875e-02,-1.519126353390093942e-01,-3.529926587310707187e-01,4.155164365626124456e-01,-4.602475155626326586e-01,4.952329099392195622e-02,-9.581947125215964367e-02,3.090727056475603973e-01,1.676295213896074054e-01
1.119999999999999929e+01,4.008797631631723646e-01,-1.405504825948993286e-01,3.407650306177207877e-01,-5.642383830256315208e-02,-1.614737998687593712e-01,-3.541449477084507302e-01,4.210736407703125073e-01,-4.526161368104826277e-01,4.832691768726395803e-02,-6.741045230650644093e-02,3.312966755939404373e-01,1.761823043590872995e-01
1.125000000000000000e+01,4.041754876675824337e-01,-1.391358626528093612e-01,3.319816993170307540e-01,-7.522426531442419351e-02,-1.705516701813893088e-01,-3.539114284133607069e-01,4.264637071242424748e-01,-4.442747540068025525e-01,4.704492771281095637e-02,-3.876795017210525607e-02,3.515702659394604468e-01,1.836164761723471928e-01
1.130000000000000071e+01,4.073663587718124313e-01,-1.376118273500793743e-01,3.228420665461407824e-01,-9.385643373914225041e-02,-1.791190760348492783e-01,-3.522930146325607415e-01,4.316844961313525686e-01,-4.352364520045025054e-01,4.567959226258395955e-02,-9.991171166419565708e-03,3.697741238503705064e-01,1.898848360190670825e-01
1.134999999999999964e+01,4.104515486827424176e-01,-1.359795751762093718e-01,3.133559414740407223e-01,-1.122786678977103075e-01,-1.871503750171292502e-01,-3.492960393978407074e-01,4.367339354903225779e-01,-4.255154088907624477e-01,4.423333018465296085e-02,1.882021331102112435e-02,3.858010812331004735e-01,1.949475850256970066e-01
1.140000000000000036e+01,4.134302570236624841e-01,-1.342403897216293551e-01,3.035335051448107002e-01,-1.304497616835903484e-01,-1.946215292944992181e-01,-3.449322302040906951e-01,4.416100209140426114e-01,-4.151268737462823766e-01,4.270870369787896359e-02,4.756641200099832184e-02,3.995567856445205734e-01,1.987725789451569580e-01
1.144999999999999929e+01,4.163017110418725242e-01,-1.323956386682493824e-01,2.933852995507006400e-01,-1.483290707308303757e-01,-2.015101775571991882e-01,-3.392186631184007095e-01,4.463108169252926194e-01,-4.040871427245523173e-01,4.110841385263996201e-02,7.614785942212451419e-02,4.109602557550405821e-01,2.013355322461369279e-01
1.150000000000000000e+01,4.190651658091725240e-01,-1.304467727139593802e-01,2.829222163179106464e-01,-1.658766033257504380e-01,-2.077957019472691791e-01,-3.321776959594607281e-01,4.508344576248926594e-01,-3.924135334886522664e-01,3.943529574562196216e-02,1.044655607263507008e-01,4.199443580945105281e-01,2.026201723059868898e-01
1.155000000000000071e+01,4.217199044151225262e-01,-1.283953244317893871e-01,2.721554850170606055e-01,-1.830531098588304983e-01,-2.134592897681991397e-01,-3.238368808089706619e-01,4.551791474323926834e-01,-3.801243580455322402e-01,3.769231349711096857e-02,1.324214345780308777e-01,4.264562022742605651e-01,2.026183427283669014e-01
1.159999999999999964e+01,4.242652381530125361e-01,-1.262429070647294038e-01,2.610966611110105973e-01,-1.998201706165405322e-01,-2.184839897917391360e-01,-3.142288561973206606e-01,4.593431617987727145e-01,-3.672388940206521291e-01,3.588255499971996360e-02,1.599186528689510445e-01,4.304574523586005563e-01,2.013300551295669205e-01
1.165000000000000036e+01,4.267005066985325445e-01,-1.239912132570494124e-01,2.497576135528405961e-01,-2.161402817171305946e-01,-2.228547629931691143e-01,-3.033912193853906536e-01,4.633248478910127477e-01,-3.537773544177320595e-01,3.400922644783397480e-02,1.868619760926412410e-01,4.319245525526305696e-01,1.987634890647769492e-01
1.169999999999999929e+01,4.290250782811025343e-01,-1.216420137232594317e-01,2.381505120474505521e-01,-2.319769389976606144e-01,-2.265585275634790785e-01,-2.913663792423306087e-01,4.671226252481027741e-01,-3.397608559113419191e-01,3.207564665746397148e-02,2.131580832164214068e-01,4.308488658777605562e-01,1.949349400946870092e-01
1.175000000000000000e+01,4.312383498477326271e-01,-1.191971558556194494e-01,2.262878139903705399e-01,-2.472947196651406609e-01,-2.295841980634090729e-01,-2.782013902949705964e-01,4.707349864084127700e-01,-3.252113857218018600e-01,3.008524118659297239e-02,2.387158949086615745e-01,4.272367250185705734e-01,1.898687163222370911e-01
1.180000000000000071e+01,4.333397472194925881e-01,-1.166585622713294523e-01,2.141822510977305083e-01,-2.620593615287507006e-01,-2.319227186024290788e-01,-2.639477685982805633e-01,4.741604975080527806e-01,-3.101517671246217800e-01,2.804153626639897465e-02,2.634468890015218001e-01,4.211093950415805698e-01,1.835969840563571875e-01
1.184999999999999964e+01,4.353287252404626217e-01,-1.140282293006594783e-01,2.018468157419004705e-01,-2.762378396360907207e-01,-2.335670899431890601e-01,-2.486612901473305159e-01,4.773977988500028302e-01,-2.946056236483017288e-01,2.594815255413997560e-02,2.872654070968818640e-01,4.125029482055305730e-01,1.761595635826773143e-01
1.190000000000000036e+01,4.372047679191525815e-01,-1.113082254169994872e-01,1.892947470073204352e-01,-2.897984401421207501e-01,-2.345123904503290668e-01,-2.324017726196904998e-01,4.804456054438328572e-01,-2.785973420169716164e-01,2.380879871874097900e-02,3.100889512531720404e-01,4.014680516000005417e-01,1.676036763377974081e-01
1.194999999999999929e+01,4.389673885623925909e-01,-1.085006896102694990e-01,1.765395164815904139e-01,-3.027108312453708483e-01,-2.347557908210990696e-01,-2.152328413022504550e-01,4.833027075157528274e-01,-2.621520338956515039e-01,2.162726487046097781e-02,3.318384697256522298e-01,3.880696688627904845e-01,1.579836450924275715e-01
1.200000000000000000e+01,4.406161299015626809e-01,-1.056078297047895187e-01,1.635948137970103800e-01,-3.149461310328608432e-01,-2.342965625534590701e-01,-1.972216801184304147e-01,4.859679709888228838e-01,-2.452954964984614128e-01,1.940741584628598304e-02,3.524386307704523436e-01,3.723866777318904919e-01,1.473605490469677426e-01
1.205000000000000071e+01,4.421505642112226742e-01,-1.026319206230995318e-01,1.504745319380503543e-01,-3.264769720820409060e-01,-2.331360801265390525e-01,-1.784387687301003944e-01,4.884403379330828909e-01,-2.280541721213713013e-01,1.715318436291898493e-02,3.718180835640024773e-01,3.545114056836605188e-01,1.358018360293579141e-01
1.209999999999999964e+01,4.435702934201026792e-01,-9.957530259696154018e-02,1.371927523306603336e-01,-3.372775626751008948e-01,-2.312778168867490880e-01,-1.589576067428603301e-01,4.907188269855128904e-01,-2.104551066630212242e-01,1.486856404952698572e-02,3.899097053341126218e-01,3.345490863909104662e-01,1.233808942574381173e-01
1.215000000000000036e+01,4.448749492143226902e-01,-9.644037932703355964e-02,1.237637297292902977e-01,-3.473237444888409575e-01,-2.287273346520390938e-01,-1.388544260939903185e-01,4.928025337395228744e-01,-1.925259071987311110e-01,1.255760237256998979e-02,4.066508338467026973e-01,3.126172402008204343e-01,1.101765863848083032e-01
1.219999999999999929e+01,4.460641931330026622e-01,-9.322961609259956817e-02,1.102018769178502583e-01,-3.565930466310409663e-01,-2.254922670652491079e-01,-1.182078927484402492e-01,4.946906311039928617e-01,-1.742946986741709947e-01,1.022439346524799120e-02,4.219834844431028520e-01,2.888449822798404010e-01,9.627274878849853557e-02
