wavelength_nm,chi2_real,chi2_imag,chi2_magnitude
1.438000000000000000e+03,8.022347116711621595e+00,-3.064364082184237859e+01,3.167634410848410553e+01
1.439000000000000000e+03,8.239344296649679933e+00,-3.065257843097992208e+01,3.174062631559290537e+01
1.440000000000000000e+03,8.462415358577860758e+00,-3.066515192724205718e+01,3.181138186910357746e+01
1.441000000000000000e+03,8.690369290659013757e+00,-3.068197380242515138e+01,3.188896415408836305e+01
1.442000000000000000e+03,8.932065332839886906e+00,-3.069230968683796945e+01,3.196560127735575918e+01
1.443000000000000000e+03,9.164666647584319037e+00,-3.068999690698380789e+01,3.202915897915553955e+01
1.444000000000000000e+03,9.391454868993228899e+00,-3.070186539725779795e+01,3.210613591554848512e+01
1.445000000000000000e+03,9.633257365023700558e+00,-3.071770124789201262e+01,3.219280692042136849e+01
1.446000000000000000e+03,9.881863016069225125e+00,-3.072673384146733255e+01,3.227666942596045629e+01
1.447000000000000000e+03,1.013178343182092789e+01,-3.072784475360975165e+01,3.235511518618444882e+01
1.448000000000000000e+03,1.037288616440846312e+01,-3.072984288258686547e+01,3.243331637326424755e+01
1.449000000000000000e+03,1.062125204526134326e+01,-3.074495647186731162e+01,3.252788562858004440e+01
1.450000000000000000e+03,1.088450414232969443e+01,-3.075405182785595670e+01,3.262336791710571759e+01
1.451000000000000000e+03,1.114789200983514306e+01,-3.075435761049743277e+01,3.271247481156550663e+01
1.452000000000000000e+03,1.140764149898005009e+01,-3.075334632876641194e+01,3.280095417798546720e+01
1.453000000000000000e+03,1.166781337546317054e+01,-3.076105474277319729e+01,3.289954950835233660e+01
1.454000000000000000e+03,1.194347795923586553e+01,-3.077117965675709144e+01,3.300775913677227891e+01
1.455000000000000000e+03,1.222477480310579701e+01,-3.076966015254839348e+01,3.310916949864455461e+01
1.456000000000000000e+03,1.250230545685398198e+01,-3.076607453072956133e+01,3.320932073630665116e+01
1.457000000000000000e+03,1.278115421084852876e+01,-3.076761981925682576e+01,3.331672751492583728e+01
1.458000000000000000e+03,1.307072066690930079e+01,-3.077353134918162780e+01,3.343432323902241166e+01
1.459000000000000000e+03,1.337072210770281089e+01,-3.077181937940317624e+01,3.355117103172444359e+01
1.460000000000000000e+03,1.366996910861530168e+01,-3.076458906423359352e+01,3.366493718576730032e+01
1.461000000000000000e+03,1.397035605974362582e+01,-3.076023285067788748e+01,3.378406093802132659e+01
1.462000000000000000e+03,1.427911695675598480e+01,-3.075994255920342013e+01,3.391264140862828924e+01
1.463000000000000000e+03,1.459965976484195949e+01,-3.075563225873365880e+01,3.404495529272440990e+01
1.464000000000000000e+03,1.492373804354429900e+01,-3.074484928242092607e+01,3.417548411641172379e+01
1.465000000000000000e+03,1.525026007329258881e+01,-3.073411719091561167e+01,3.430971279110328709e+01
1.466000000000000000e+03,1.558381043388615517e+01,-3.072575569389139716e+01,3.445180997567469916e+01
1.467000000000000000e+03,1.592873593153154843e+01,-3.071601917218658429e+01,3.460055580713405732e+01
1.468000000000000000e+03,1.628179650087564312e+01,-3.070073794019633695e+01,3.475100296924589571e+01
1.469000000000000000e+03,1.663997159173015916e+01,-3.068220443958285770e+01,3.490395856985200140e+01
1.470000000000000000e+03,1.700461374817656690e+01,-3.066402932629147671e+01,3.506336525846227659e+01
1.471000000000000000e+03,1.738050637821645594e+01,-3.064563942211526637e+01,3.523119665230700548e+01
1.472000000000000000e+03,1.776813183206629532e+01,-3.062300775841432099e+01,3.540445046845934485e+01
1.473000000000000000e+03,1.816491140057486930e+01,-3.059474429157598152e+01,3.558092725685568070e+01
1.474000000000000000e+03,1.856909033288496857e+01,-3.056374710397269823e+01,3.576246290213303780e+01
1.475000000000000000e+03,1.898453785125168380e+01,-3.053268496023829925e+01,3.595354681122253027e+01
1.476000000000000000e+03,1.941557246233641365e+01,-3.049836489091563507e+01,3.615404147615687691e+01
1.477000000000000000e+03,1.986039731421112364e+01,-3.045606166496531841e+01,3.635941519907181174e+01
1.478000000000000000e+03,2.031509251360343526e+01,-3.040771610697748883e+01,3.656955267266479126e+01
1.479000000000000000e+03,2.078261699250555239e+01,-3.035804294995136843e+01,3.679032401064542057e+01
1.480000000000000000e+03,2.126984659285085044e+01,-3.030479677844623154e+01,3.702414187886512309e+01
1.481000000000000000e+03,2.177658473786959448e+01,-3.024100234818880395e+01,3.726577338347851764e+01
1.482000000000000000e+03,2.229747775299965085e+01,-3.016696722103590744e+01,3.751297676085663113e+01
1.483000000000000000e+03,2.283498706158826863e+01,-3.008873081794494198e+01,3.777258736620584045e+01
1.484000000000000000e+03,2.339793760409355272e+01,-3.000427704950944374e+01,3.804891753241837193e+01
1.485000000000000000e+03,2.398750259665650830e+01,-2.990493641656777868e+01,3.833673829244690268e+01
1.486000000000000000e+03,2.459830641220176872e+01,-2.978952641182045014e+01,3.863279128135986440e+01
1.487000000000000000e+03,2.523299591630108907e+01,-2.966364839688933586e+01,3.894401262230617533e+01
1.488000000000000000e+03,2.590183586461045806e+01,-2.952457181801860386e+01,3.927601611918601066e+01
1.489000000000000000e+03,2.660742726219057985e+01,-2.936175487480648627e+01,3.962408150154379172e+01
1.490000000000000000e+03,2.734564930740003419e+01,-2.917184513839722726e+01,3.998476065730464768e+01
1.491000000000000000e+03,2.812050887903802021e+01,-2.895755146836064142e+01,4.036462320719483188e+01
1.492000000000000000e+03,2.894331735352624690e+01,-2.871276278307343688e+01,4.076933119471033251e+01
1.493000000000000000e+03,2.981829536236503486e+01,-2.842311938874701482e+01,4.119471390972640990e+01
1.494000000000000000e+03,3.074374358786937123e+01,-2.807941397867576683e+01,4.163689780930504725e+01
1.495000000000000000e+03,3.172515029094041950e+01,-2.767535358660396128e+01,4.210000424140488917e+01
1.496000000000000000e+03,3.277312514394940735e+01,-2.719384484565540561e+01,4.258618237398778206e+01
1.497000000000000000e+03,3.389044264744759261e+01,-2.660720633515514422e+01,4.308718523878595619e+01
1.498000000000000000e+03,3.507174970469699105e+01,-2.588647360723328106e+01,4.359056254703418176e+01
1.499000000000000000e+03,3.630996665777605159e+01,-2.499768332884201172e+01,4.408285211392151126e+01
1.500000000000000000e+03,3.758764891296794275e+01,-2.389146741773696192e+01,4.453800137160767036e+01
1.501000000000000000e+03,3.885717937801624089e+01,-2.250738560404983346e+01,4.490504198800753954e+01
1.502000000000000000e+03,4.002738387796235031e+01,-2.079451892883514930e+01,4.510657909435655455e+01
1.503000000000000000e+03,4.096208361148688937e+01,-1.874207576213328963e+01,4.504617295251603082e+01
1.504000000000000000e+03,4.150270125006225896e+01,-1.641979661001268909e+01,4.463276746703147779e+01
1.505000000000000000e+03,4.153533619632921159e+01,-1.399823457503323176e+01,4.383075089659943302e+01
1.506000000000000000e+03,4.106587188177775261e+01,-1.169530917264206238e+01,4.269878323856864455e+01
1.507000000000000000e+03,4.021768696991561853e+01,-9.674868330396291682e+00,4.136502656134317135e+01
1.508000000000000000e+03,3.915337101365044248e+01,-7.995484414649288496e+00,3.996140929393585139e+01
1.509000000000000000e+03,3.800436080591355648e+01,-6.634751107442815155e+00,3.857915709970568940e+01
1.510000000000000000e+03,3.685014834076499568e+01,-5.538613175867783234e+00,3.726405330406611682e+01
1.511000000000000000e+03,3.573217985875002967e+01,-4.654025409753047349e+00,3.603399270095791707e+01
1.512000000000000000e+03,3.467261561740978948e+01,-3.935815589617441379e+00,3.489528504122190355e+01
1.513000000000000000e+03,3.368008735622876770e+01,-3.344113169820541742e+00,3.384569953798810360e+01
1.514000000000000000e+03,3.275139801390697869e+01,-2.848652533819217236e+00,3.287504970526713066e+01
1.515000000000000000e+03,3.188124378721587959e+01,-2.431507923339564670e+00,3.197383205374598703e+01
1.516000000000000000e+03,3.106850193139713667e+01,-2.078491224347152055e+00,3.113795012570538034e+01
1.517000000000000000e+03,3.030968496081929331e+01,-1.773854580677641790e+00,3.036154743252566846e+01
1.518000000000000000e+03,2.959620004644683888e+01,-1.507274324271280719e+00,2.963455640089635423e+01
1.519000000000000000e+03,2.892290082842234611e+01,-1.275464729984429724e+00,2.895101039010880939e+01
1.520000000000000000e+03,2.828957219401929990e+01,-1.073104561551939229e+00,2.830991784376375620e+01
1.521000000000000000e+03,2.769241318710499300e+01,-8.920763894787868686e-01,2.770677802289562663e+01
1.522000000000000000e+03,2.712467472303225335e+01,-7.294291614968475557e-01,2.713448075294507689e+01
1.523000000000000000e+03,2.658436381555636174e+01,-5.855858397313018493e-01,2.659081251585886463e+01
1.524000000000000000e+03,2.607182032767901347e+01,-4.571084099165759751e-01,2.607582718337413041e+01
1.525000000000000000e+03,2.558339271570743279e+01,-3.396111866901779797e-01,2.558564673023211355e+01
1.526000000000000000e+03,2.511483790682213169e+01,-2.330686161078514285e-01,2.511591933546857547e+01
1.527000000000000000e+03,2.466579531052593310e+01,-1.381633973669252891e-01,2.466618226287025095e+01
1.528000000000000000e+03,2.423620685668243624e+01,-5.253328728522393964e-02,2.423626379098423911e+01
1.529000000000000000e+03,2.382325351400466218e+01,2.588205810838513712e-02,2.382326757339276924e+01
1.530000000000000000e+03,2.342441912689390193e+01,9.629607354722088952e-02,2.342461705911482994e+01
1.531000000000000000e+03,2.303979464988228543e+01,1.578013407326896711e-01,2.304033504035653834e+01
1.532000000000000000e+03,2.266966482551465845e+01,2.115839239806890926e-01,2.267065219745703786e+01
1.533000000000000000e+03,2.231233977832235027e+01,2.586070957025753958e-01,2.231383839713046058e+01
1.534000000000000000e+03,2.196668519057604030e+01,2.973205274152181943e-01,2.196869722486736620e+01
1.535000000000000000e+03,2.163478108343093353e+01,3.265545970547281129e-01,2.163724544466874988e+01
1.536000000000000000e+03,2.131880814488910758e+01,3.485132614641762161e-01,2.132165664792504955e+01
1.537000000000000000e+03,2.101822244207390256e+01,3.656602723157452162e-01,2.102140295173585827e+01
1.538000000000000000e+03,2.073294567701511326e+01,3.787962694531296082e-01,2.073640574110689982e+01
1.539000000000000000e+03,2.046387678590792092e+01,3.907360011128873656e-01,2.046760679052113119e+01
1.540000000000000000e+03,2.020838337793855288e+01,4.054355009926783326e-01,2.021245004187291272e+01
1.541000000000000000e+03,1.996210089728184300e+01,4.227924897652355352e-01,1.996657771684127169e+01
1.542000000000000000e+03,1.972417496267681969e+01,4.409215662813379399e-01,1.972910260974632024e+01
1.543000000000000000e+03,1.949462411356829605e+01,4.606488300292874705e-01,1.950006581204088718e+01
1.544000000000000000e+03,1.927107951463734281e+01,4.823996756947697695e-01,1.927711635869290063e+01
1.545000000000000000e+03,1.905237645110544875e+01,5.041791290061927722e-01,1.905904627804767415e+01
1.546000000000000000e+03,1.883960216766210749e+01,5.253845247606556690e-01,1.884692650632024780e+01
1.547000000000000000e+03,1.863244949740271039e+01,5.471280858995850593e-01,1.864048077211643673e+01
1.548000000000000000e+03,1.842946619040866096e+01,5.690299708119046507e-01,1.843824880977307146e+01
1.549000000000000000e+03,1.823078844434323642e+01,5.898913379310356531e-01,1.824032946777455777e+01
1.550000000000000000e+03,1.803720605954639211e+01,6.100770829317628818e-01,1.804752050786078499e+01
1.551000000000000000e+03,1.784800236543627960e+01,6.304223255008498672e-01,1.785913269856935059e+01
1.552000000000000000e+03,1.766221971052869577e+01,6.502194891544962330e-01,1.767418429481442033e+01
1.553000000000000000e+03,1.748054159449587530e+01,6.687701595023478607e-01,1.749332981347865967e+01
1.554000000000000000e+03,1.730332998506473530e+01,6.870579528244334933e-01,1.731696501129974664e+01
1.555000000000000000e+03,1.712934371482691276e+01,7.053394313441965213e-01,1.714385953669970064e+01
1.556000000000000000e+03,1.695850387367013212e+01,7.224805470509210181e-01,1.697388676096762339e+01
1.557000000000000000e+03,1.679175393006450179e+01,7.388645035527821037e-01,1.680800168974428743e+01
1.558000000000000000e+03,1.662832188412196288e+01,7.553882812500353205e-01,1.664547085958878014e+01
1.559000000000000000e+03,1.646747715370702636e+01,7.712235224725761951e-01,1.648552666824684465e+01
1.560000000000000000e+03,1.631003210876037812e+01,7.860737214747467450e-01,1.632896381539219277e+01
1.561000000000000000e+03,1.615590781147218635e+01,8.008512721240087506e-01,1.617574480426946693e+01
1.562000000000000000e+03,1.600420933743961527e+01,8.153704923884923517e-01,1.602496631997856014e+01
1.563000000000000000e+03,1.585520577347186588e+01,8.289947912392663376e-01,1.587686311848273846e+01
1.564000000000000000e+03,1.570930715323494553e+01,8.422216033332691199e-01,1.573186792672122003e+01
1.565000000000000000e+03,1.556585846169296872e+01,8.554207243610599809e-01,1.558934553678007973e+01
1.566000000000000000e+03,1.542458078034312052e+01,8.679815937293445804e-01,1.544898327710866859e+01
1.567000000000000000e+03,1.528604364831602958e+01,8.799150809542485296e-01,1.531134811072864110e+01
1.568000000000000000e+03,1.514996117987416291e+01,8.918559704579340774e-01,1.517618960160078068e+01
1.569000000000000000e+03,1.501574817701994036e+01,9.034132131450353098e-01,1.504290027718599987e+01
1.570000000000000000e+03,1.488387828816378722e+01,9.142827956399922629e-01,1.491193300438533775e+01
1.571000000000000000e+03,1.475436165723062665e+01,9.250765654160882923e-01,1.478333367560373190e+01
1.572000000000000000e+03,1.462657883006002990e+01,9.356629255244895971e-01,1.465647547612185164e+01
1.573000000000000000e+03,1.450077641333840894e+01,9.456304590204879235e-01,1.453157711862889379e+01
1.574000000000000000e+03,1.437714549918873708e+01,9.554002011301414576e-01,1.440885499438322626e+01
1.575000000000000000e+03,1.425518269356809320e+01,9.650671932956647048e-01,1.428781257976807595e+01
1.576000000000000000e+03,1.413489977059560054e+01,9.742227153499085635e-01,1.416843327343878656e+01
1.577000000000000000e+03,1.401658585577728466e+01,9.830875882729289694e-01,1.405101918931833715e+01
1.578000000000000000e+03,1.389986112528366391e+01,9.919003008658946463e-01,1.393520740818126136e+01
1.579000000000000000e+03,1.378459659540227022e+01,1.000288736812250834e+00,1.382084226286406015e+01
1.580000000000000000e+03,1.367109765356578421e+01,1.008355201030421089e+00,1.370823443280632681e+01
1.581000000000000000e+03,1.355907755838925866e+01,1.016368558350447815e+00,1.359711694738331644e+01
1.582000000000000000e+03,1.344836588512974629e+01,1.024027636261126695e+00,1.348729689671537102e+01
1.583000000000000000e+03,1.333921588549668158e+01,1.031367222127917094e+00,1.337902831997775799e+01
1.584000000000000000e+03,1.323142685906453409e+01,1.038630184321069017e+00,1.327212904497832291e+01
1.585000000000000000e+03,1.312481604064345042e+01,1.045591394032139965e+00,1.316639880392530593e+01
1.586000000000000000e+03,1.301958782883180454e+01,1.052242080447788330e+00,1.306203968101958779e+01
1.587000000000000000e+03,1.291558893207225545e+01,1.058799052641044236e+00,1.295891557562363872e+01
1.588000000000000000e+03,1.281264938263656816e+01,1.065073661096182622e+00,1.285684121804178126e+01
1.589000000000000000e+03,1.271093672961773713e+01,1.071059706687877089e+00,1.275598218247562343e+01
1.590000000000000000e+03,1.261030749080200586e+01,1.076928775496982960e+00,1.265620917178878635e+01
1.591000000000000000e+03,1.251063048723021787e+01,1.082518347910345957e+00,1.255737716091926437e+01
1.592000000000000000e+03,1.241203089423454031e+01,1.087839387826951443e+00,1.245961096716668592e+01
1.593000000000000000e+03,1.231436693802283067e+01,1.093015111379477711e+00,1.236277942527381946e+01
1.594000000000000000e+03,1.221754732695428558e+01,1.097900124805731181e+00,1.226677819846826090e+01
1.595000000000000000e+03,1.212165868563581306e+01,1.102529977623286861e+00,1.217169592302601622e+01
1.596000000000000000e+03,1.202655222482414388e+01,1.106974023472030444e+00,1.207739002868849987e+01
1.597000000000000000e+03,1.193218125553160114e+01,1.111105668033063765e+00,1.198380178909826910e+01
1.598000000000000000e+03,1.183858368177723719e+01,1.114980480367121718e+00,1.189097325966390528e+01
1.599000000000000000e+03,1.174561285114609888e+01,1.118609412847738405e+00,1.179875875961195852e+01
1.600000000000000000e+03,1.165325723025210536e+01,1.121893262699553029e+00,1.170713665109080637e+01
1.601000000000000000e+03,1.156149826456857532e+01,1.124889613703822233e+00,1.161609309383498889e+01
1.602000000000000000e+03,1.147020673767795529e+01,1.127552301851379557e+00,1.152549421059605272e+01
1.603000000000000000e+03,1.137938486086933487e+01,1.129816821928700588e+00,1.143533496942242245e+01
1.604000000000000000e+03,1.128895754123908546e+01,1.131711103784998063e+00,1.134554240176859352e+01
1.605000000000000000e+03,1.119882782441618119e+01,1.133144531592342297e+00,1.125601000223417003e+01
1.606000000000000000e+03,1.110897821764342730e+01,1.134076338295069597e+00,1.116671510253381960e+01
1.607000000000000000e+03,1.101929521378212051e+01,1.134468269435037868e+00,1.107753967552526930e+01
1.608000000000000000e+03,1.092971241260592485e+01,1.134200936512103741e+00,1.098840412374139675e+01
1.609000000000000000e+03,1.084016448177152014e+01,1.133211232249582645e+00,1.089923546349730898e+01
1.610000000000000000e+03,1.075053450522687370e+01,1.131363316463086077e+00,1.080990171564533675e+01
1.611000000000000000e+03,1.066076455558576797e+01,1.128494868633341364e+00,1.072032656117180061e+01
1.612000000000000000e+03,1.057075381601437414e+01,1.124431569598500547e+00,1.063038957863220446e+01
1.613000000000000000e+03,1.048042763788302167e+01,1.118899241838995806e+00,1.053998572040257287e+01
1.614000000000000000e+03,1.038974766365879532e+01,1.111594174153156978e+00,1.044904292854205075e+01
1.615000000000000000e+03,1.029869519952025492e+01,1.102099950136159912e+00,1.035749714519447195e+01
1.616000000000000000e+03,1.020737599460640865e+01,1.089895496066931813e+00,1.026539803844031162e+01
1.617000000000000000e+03,1.011603222869022289e+01,1.074355641597521505e+00,1.017292229875622667e+01
1.618000000000000000e+03,1.002518985039157151e+01,1.054740040096825648e+00,1.008052122107669746e+01
1.619000000000000000e+03,9.935785502465467545e+00,1.030334518472449945e+00,9.989065160011660893e+00
1.620000000000000000e+03,9.849286301419985179e+00,1.000653054420959531e+00,9.899987231439309809e+00
1.621000000000000000e+03,9.767671377754949091e+00,9.658795679746872143e-01,9.815310870453579639e+00
1.622000000000000000e+03,9.692988345687423291e+00,9.272955192371897803e-01,9.737242938821520255e+00
1.623000000000000000e+03,9.626556593741302237e+00,8.873270765901555279e-01,9.667364749162731030e+00
1.624000000000000000e+03,9.568236771593195300e+00,8.488561674352140818e-01,9.605816556142480422e+00
1.625000000000000000e+03,9.516515217996371234e+00,8.141603293337901226e-01,9.551278392771170189e+00
1.626000000000000000e+03,9.469272655389229243e+00,7.843418115432227999e-01,9.501700726682413389e+00
1.627000000000000000e+03,9.424563205218630557e+00,7.594541837092522174e-01,9.455113022397688027e+00
1.628000000000000000e+03,9.380960857989313340e+00,7.389679503996999799e-01,9.410021267289756963e+00
1.629000000000000000e+03,9.337558301783628778e+00,7.221512764535374940e-01,9.365441660983846006e+00
1.630000000000000000e+03,9.293835061681745557e+00,7.082892505656566140e-01,9.320785579349617933e+00
1.631000000000000000e+03,9.249518531812698896e+00,6.967626989670860915e-01,9.275724841165699175e+00
1.632000000000000000e+03,9.204484352618703014e+00,6.870671762983198150e-01,9.230091738566258641e+00
1.633000000000000000e+03,9.158689749101107225e+00,6.787992015108484933e-01,9.183810008719770934e+00
1.634000000000000000e+03,9.112135119705447650e+00,6.716392133516431162e-01,9.136854254757542648e+00
1.635000000000000000e+03,9.064840368477261379e+00,6.653317096505818595e-01,9.089224234765117316e+00
1.636000000000000000e+03,9.016832224729908418e+00,6.596706470335664818e-01,9.040930744756614956e+00
1.637000000000000000e+03,8.968136741661128397e+00,6.544861727571684717e-01,8.991986919889429331e+00
1.638000000000000000e+03,8.918775296443175904e+00,6.496353818556122039e-01,8.942403419540170262e+00
1.639000000000000000e+03,8.868762518664940586e+00,6.449942531640442400e-01,8.892185681770863326e+00
1.640000000000000000e+03,8.818105045503616068e+00,6.404516892207200440e-01,8.841332193722958976e+00
1.641000000000000000e+03,8.766801084215844142e+00,6.359042890873434217e-01,8.789833645472921120e+00
1.642000000000000000e+03,8.714840051915880181e+00,6.312518885364293286e-01,8.737672234483163436e+00
1.643000000000000000e+03,8.662202531975749409e+00,6.263933967873225317e-01,8.684821321852616904e+00
1.644000000000000000e+03,8.608860273138624564e+00,6.212225901302376174e-01,8.631245142441070328e+00
1.645000000000000000e+03,8.554776370061439650e+00,6.156236397605626687e-01,8.576898694026509062e+00
1.646000000000000000e+03,8.499905720242852070e+00,6.094659759226099816e-01,8.521727878125684441e+00
1.647000000000000000e+03,8.444195976521921665e+00,6.025981459709632837e-01,8.465670098429104229e+00
1.648000000000000000e+03,8.387589423967540370e+00,5.948402068294664780e-01,8.408655731846383929e+00
1.649000000000000000e+03,8.330026479984720567e+00,5.859741145794229444e-01,8.350611164471963832e+00
1.650000000000000000e+03,8.271452017042987492e+00,5.757315226411305886e-01,8.291464602614377455e+00
1.651000000000000000e+03,8.211826519300739591e+00,5.637784622050311389e-01,8.231156719291474744e+00
1.652000000000000000e+03,8.151145393776078052e+00,5.496968114915735670e-01,8.169659589911990594e+00
1.653000000000000000e+03,8.089471749043809723e+00,5.329638034524231127e-01,8.107009534616842927e+00
1.654000000000000000e+03,8.026990580861388835e+00,5.129342290632479262e-01,8.043362437972204404e+00
1.655000000000000000e+03,7.964094500432048029e+00,4.888376094146314466e-01,7.979082868362140424e+00
1.656000000000000000e+03,7.901508728890108024e+00,4.598173918608971511e-01,7.914876640010526820e+00
1.657000000000000000e+03,7.840444835603198825e+00,4.250615638534055440e-01,7.851958517032700868e+00
1.658000000000000000e+03,7.782718735215232719e+00,3.840888353424488644e-01,7.792190651216441388e+00
1.659000000000000000e+03,7.730672453540093692e+00,3.372067474078161431e-01,7.738023324752967724e+00
1.660000000000000000e+03,7.686688126637204910e+00,2.859669040142814311e-01,7.692005682939716316e+00
1.661000000000000000e+03,7.652303449563639504e+00,2.331836617632593034e-01,7.655855452156662189e+00
1.662000000000000000e+03,7.627453705301492803e+00,1.821923355192079375e-01,7.629629353621276699e+00
1.663000000000000000e+03,7.610509999099887679e+00,1.357249406919808221e-01,7.611720154204646427e+00
1.664000000000000000e+03,7.599075840608444210e+00,9.522794515684600281e-02,7.599672492473457552e+00
1.665000000000000000e+03,7.590850481891671109e+00,6.093404503891843710e-02,7.591095045925839280e+00
1.666000000000000000e+03,7.584076009112364680e+00,3.232980146639112540e-02,7.584144917395539309e+00
1.667000000000000000e+03,7.577591893495200459e+00,8.601454179665643171e-03,7.577596775322515299e+00
1.668000000000000000e+03,7.570710482958712184e+00,-1.109405263582742898e-02,7.570718611517985863e+00
1.669000000000000000e+03,7.563065089974498001e+00,-2.750823886406914345e-02,7.563115116034951235e+00
1.670000000000000000e+03,7.554488831143157945e+00,-4.126652128186769630e-02,7.554601539832885848e+00
1.671000000000000000e+03,7.544932258591908081e+00,-5.287262404370247221e-02,7.545117514069217712e+00
1.672000000000000000e+03,7.534411564790475246e+00,-6.272651313383190153e-02,7.534672669937187095e+00
1.673000000000000000e+03,7.522977385432922048e+00,-7.114444264097272153e-02,7.523313782732570232e+00
1.674000000000000000e+03,7.510696527050083837e+00,-7.837684088135669913e-02,7.511105461290551233e+00
1.675000000000000000e+03,7.497641521007654575e+00,-8.462292950774981393e-02,7.498119058653073488e+00
1.676000000000000000e+03,7.483884826881110897e+00,-9.004220076793155447e-02,7.484426477689553714e+00
1.677000000000000000e+03,7.469495764645670555e+00,-9.476326154521773348e-02,7.470096857056025108e+00
1.678000000000000000e+03,7.454539031166124374e+00,-9.889059798149411884e-02,7.455194934912722893e+00
1.679000000000000000e+03,7.439074123444253672e+00,-1.025097437646382281e-01,7.439780377246669296e+00
1.680000000000000000e+03,7.423155268958400832e+00,-1.056912387217108368e-01,7.423907649277932563e+00
1.681000000000000000e+03,7.406831628188457195e+00,-1.084936749672943679e-01,7.407626181567262158e+00
1.682000000000000000e+03,7.390147632103668762e+00,-1.109660547176042483e-01,7.390980685239751047e+00
1.683000000000000000e+03,7.373143375370335484e+00,-1.131496272799087377e-01,7.374011531854358203e+00
1.684000000000000000e+03,7.355855020467358507e+00,-1.150793301063431084e-01,7.356755149816566863e+00
1.685000000000000000e+03,7.338315188312982684e+00,-1.167849271316561272e-01,7.339244410852532319e+00
1.686000000000000000e+03,7.320553323049703742e+00,-1.182919142111474031e-01,7.321508992863547505e+00
