wavelength_nm,chi2_real,chi2_imag,chi2_magnitude
1.400000000000000000e+03,1.007579690090543600e+00,-3.034744092792525549e+01,3.036416288498327987e+01
1.401000000000000000e+03,1.169744402921396143e+00,-3.026995848029428871e+01,3.029255169784985213e+01
1.402000000000000000e+03,1.284826527657056294e+00,-3.025677119351247768e+01,3.028403840743070319e+01
1.403000000000000000e+03,1.453683510655721989e+00,-3.026551709205721963e+01,3.030040792792664561e+01
1.404000000000000000e+03,1.610192736054147922e+00,-3.023834664572091313e+01,3.028118769985785619e+01
1.405000000000000000e+03,1.748076763235227205e+00,-3.024945822075016721e+01,3.029992566028954570e+01
1.406000000000000000e+03,1.930133586766751064e+00,-3.025842120190617734e+01,3.031991868878823837e+01
1.407000000000000000e+03,2.083160192429174717e+00,-3.023263661676557135e+01,3.030432103164028490e+01
1.408000000000000000e+03,2.215702890033062200e+00,-3.025920929714101248e+01,3.034022225668569206e+01
1.409000000000000000e+03,2.407990181275352359e+00,-3.029008849522637092e+01,3.038565249853561312e+01
1.410000000000000000e+03,2.585053454018950259e+00,-3.027072025013547218e+01,3.038089870004008120e+01
1.411000000000000000e+03,2.729413636535866328e+00,-3.028395754226393777e+01,3.040670622117681532e+01
1.412000000000000000e+03,2.911341558861555878e+00,-3.031053184238548326e+01,3.045002873956966383e+01
1.413000000000000000e+03,3.086103747931744135e+00,-3.030974416457970833e+01,3.046645085442792222e+01
1.414000000000000000e+03,3.251367926342563663e+00,-3.033381412505294961e+01,3.050756746719919477e+01
1.415000000000000000e+03,3.447736402101685194e+00,-3.034934701201358465e+01,3.054455353011391949e+01
1.416000000000000000e+03,3.619253119574583621e+00,-3.034217125908571688e+01,3.055726345501569341e+01
1.417000000000000000e+03,3.783978667124059392e+00,-3.037143352197888291e+01,3.060624885106360793e+01
1.418000000000000000e+03,3.985011779999557024e+00,-3.039267636214242785e+01,3.065281545536505092e+01
1.419000000000000000e+03,4.167127207613241069e+00,-3.039159786939913488e+01,3.067595426746650134e+01
1.420000000000000000e+03,4.346479806327102402e+00,-3.041460255504815891e+01,3.072360550600061302e+01
1.421000000000000000e+03,4.544674073906358025e+00,-3.042509430216890465e+01,3.076264659833265114e+01
1.422000000000000000e+03,4.721966533713945147e+00,-3.043276259750441426e+01,3.079691554785280871e+01
1.423000000000000000e+03,4.914065411515380788e+00,-3.046315555906672046e+01,3.085695846133492992e+01
1.424000000000000000e+03,5.121873630732064697e+00,-3.046928748054584446e+01,3.089678088509118936e+01
1.425000000000000000e+03,5.305247080733990650e+00,-3.047457091519065386e+01,3.093291320022445490e+01
1.426000000000000000e+03,5.500928977338923609e+00,-3.049825083886030441e+01,3.099037792353895426e+01
1.427000000000000000e+03,5.703080923879059405e+00,-3.050726448708687855e+01,3.103575870684307247e+01
1.428000000000000000e+03,5.897652193765306805e+00,-3.052525184855202056e+01,3.108976200964158920e+01
1.429000000000000000e+03,6.110920568511634343e+00,-3.054092371735272238e+01,3.114628985455276577e+01
1.430000000000000000e+03,6.311797053045539840e+00,-3.054069351282055322e+01,3.118609854218500743e+01
1.431000000000000000e+03,6.506847890210312180e+00,-3.056124218628631084e+01,3.124625727083454052e+01
1.432000000000000000e+03,6.723056444646068108e+00,-3.058004435317650760e+01,3.131035931764660418e+01
1.433000000000000000e+03,6.934938972725848139e+00,-3.058814521080669024e+01,3.136443855695217309e+01
1.434000000000000000e+03,7.148777270868566625e+00,-3.059974900600894543e+01,3.142371167922771846e+01
1.435000000000000000e+03,7.359935470512374067e+00,-3.060498574707264297e+01,3.147751265123446629e+01
1.436000000000000000e+03,7.567878765171925259e+00,-3.062426147445408731e+01,3.154549381227171523e+01
1.437000000000000000e+03,7.797334348256158343e+00,-3.064271453998066619e+01,3.161920899259242645e+01
