wavelength_nm,demo21_chi_real_pm_per_V,demo21_chi_imag_pm_per_V,demo21_chi_abs_pm_per_V,demo21_phase_rad,demo21_phase_deg,hybrid_chi_real_pm_per_V,hybrid_chi_imag_pm_per_V,hybrid_chi_abs_pm_per_V,hybrid_phase_rad,hybrid_phase_deg
400.0,0.42727350631488875,0.0021384445759973806,0.4272788575904779,0.00500481937124926,0.2867550271979009,2.7322168992397398,0.01747650201765658,2.7322727924960186,0.006396367609079397,0.3664848682144347
401.0,0.4313605599561167,0.0021707433607835902,0.4313660218566049,0.005032275174055482,0.2883281288218409,2.7646979822488618,0.017821985891034293,2.764755424306466,0.0064461793480138935,0.3693388706255888
402.0,0.4354872316945953,0.0022035443118667776,0.43549280657268785,0.005059908410445484,0.2899113966412753,2.797636826620717,0.018175429042616913,2.797695866223725,0.0064966164173810605,0.37222870183133605
403.0,0.43965397930887523,0.0022368560747363765,0.4396596695709398,0.0050877209799181046,0.29150493948947087,2.8310422521986145,0.01853705891081142,2.8311029398958394,0.0065476924574403425,0.375155143360974
404.0,0.4438612673385118,0.002270687467469455,0.44386707544593207,0.00511571481034921,0.2931088678255781,2.864923312989608,0.018907111080677063,2.8649857012140165,0.006599421531119096,0.37811900096088785
405.0,0.4481095672086547,0.002305047484762034,0.448115495679222,0.005143891858535971,0.29472329376581624,2.89928930529942,0.01928582964238761,2.8993534484516696,0.006651818140957542,0.3811211055654245
406.0,0.45239935735741654,0.002339945302069576,0.45240540876676105,0.005172254110753872,0.2963483311153875,2.934149776220345,0.01967346756857469,2.9342157307566996,0.00670489724688775,0.38416231431555325
407.0,0.456731123366098,0.0023753902798600833,0.45673730034916077,0.005200803583326865,0.2979840954011445,2.9695145324906402,0.020070287111716534,2.96958235701552,0.006758674284895421,0.3872435116281074
408.0,0.46110535809233344,0.002411391967983258,0.4611116633448804,0.005229542323211045,0.2996307039050323,3.0053936497449345,0.020476560222817974,3.0054634051083933,0.006813165186616503,0.3903656103185875
409.0,0.465522561806252,0.0024479601101594075,0.4655289980864314,0.005258472408592159,0.3012882756983233,3.0417974821765728,0.020892568992717808,3.041869231577001,0.0068683863999242445,0.3935295527807128
410.0,0.46998324232971517,0.0024851046485917963,0.4699898124596598,0.00528759594949742,0.30295693167667137,3.0787366726338976,0.0213186061174545,3.078810481726284,0.0069243549105661335,0.39673631222612604
411.0,0.47448791517873135,0.0025228357287063953,0.4744946220462072,0.0053169150884219635,0.3046367945960054,3.116222163174104,0.02175497538922684,3.1162981001842036,0.006981088264914276,0.3999868939878948
412.0,0.47903710370911584,0.0025611637040229957,0.47904395026921803,0.005346432000970422,0.3063279891092888,3.1542652060995717,0.022201992214597385,3.154343341944353,0.007038604593897273,0.4032823368917065
413.0,0.48363133926550034,0.002600099141161928,0.48363832854239885,0.005376148896513994,0.3080306418041666,3.1928773755033815,0.022659984161710126,3.1929577839181604,0.00709692263818648,0.40662371469893505
414.0,0.4882711613337654,0.0026396528249906363,0.4882782964225017,0.005406068018863499,0.3097448812415288,3.232070579352281,0.023129291538424614,3.2321533370249718,0.007156061774714698,0.41001213762604993
415.0,0.4929571176970086,0.002679835763914678,0.4929644017653445,0.005436191646958841,0.31147083799501357,3.271857072137386,0.02361026800341391,3.2719422588503333,0.007216042044611048,0.4134487539451664
416.0,0.4976897645951238,0.00272065919531769,0.49769720088544483,0.0054665220955753815,0.3132086446914798,3.312249468124709,0.02410328121242792,3.3123371669046047,0.007276884182641845,0.41693475167088345
417.0,0.5024696668881091,0.002762134591155229,0.5024772587193842,0.005497061716047708,0.3149584360524754,3.353260755239954,0.024608713502094495,3.3533510525163712,0.007338609648253896,0.42047136033893384
418.0,0.5072973982231921,0.002804273663707398,0.5073051489929911,0.005527812897011303,0.31672034893673245,3.394904309624141,0.025126962613813284,3.3949972953972676,0.0074012406583238415,0.4240598528825831
419.0,0.5121735412058906,0.002847088371495495,0.5121814543924617,0.00555877806516263,0.3184945223837164,3.437193910899281,0.02565844246049892,3.437289678917474,0.007464800221724944,0.4277015476131604
420.0,0.5170986875751057,0.0028905909253679816,0.5171067667395145,0.005589959686038195,0.32028109765826335,3.4801437581858403,0.02620358393914655,3.480242406133676,0.007529312175831095,0.43139781031158453
421.0,0.5220734383823692,0.0029347937947613863,0.5220816871707025,0.005621360264813138,0.3220802182963356,3.523768486916793,0.026762835792431803,3.523870116614334,0.007594801225087077,0.4351500564382767
422.0,0.5270984041753561,0.00297970971414188,0.5271068263209913,0.00565298234711995,0.32389203015193124,3.568083186496068,0.027336665522815076,3.56818790411013,0.007661292981784007,0.43895975346942145
423.0,0.5321742051857877,0.0030253516896335173,0.5321828045117306,0.0056848285198878665,0.32571668144517735,3.6131034188526345,0.02792556036290365,3.613211335120903,0.007728814009189825,0.442828423368162
424.0,0.5373014715218404,0.0030717330058393348,0.5373102519431341,0.005716901412203636,0.3275543228116485,3.6588452379451075,0.028530028306133232,3.6589564684140123,0.007797391867196382,0.4467576451999852
425.0,0.5424808433651986,0.0031188672328617845,0.5424898088914053,0.005749203696194257,0.3294051073529441,3.7053252102757517,0.029150599202169274,3.705439875553089,0.007867055160657735,0.450749057902302
426.0,0.5477129711728781,0.003166768233529134,0.5477221259106363,0.00578173808793232,0.33126919068856037,3.752560436476945,0.029787825921796587,3.7526786625003195,0.007937833590608144,0.4548043632190228
427.0,0.5529985158839539,0.003215450170834825,0.5530078640396144,0.005814507348364758,0.33314673100910414,3.800568574037983,0.030442285596472007,3.80069049236023,0.008009758008563666,0.45892532881180914
