cutoff_pi_over_a,actual_kmax_per_nm,k_points,dominant_abs_Re_nm,dominant_abs_Im_nm,Re1550_pm_per_V,Im1550_pm_per_V
0.050000000000000003,0.27785721961600002,121,1506,1496,12.153630884056774,-0.92853038268709431
0.10000000000000001,0.55571443923200003,241,1505,1496,26.470173408539644,0.79733972869960645
0.1125,0.62517874413600005,271,1505,1496,29.107299865702579,0.73400928383191344
0.125,0.69464304903999996,301,1505,1353,31.573912427372449,0.67907019935589208
