cutoff_pi_over_a,kmax_nm_minus1,Nk,Re_540_pm_per_V,Im_540_pm_per_V,Re_760_pm_per_V,Im_760_pm_per_V,Re_1080_pm_per_V,Im_1080_pm_per_V,Re_1520_pm_per_V,Im_1520_pm_per_V,Re_1550_pm_per_V,Im_1550_pm_per_V
0.050000000000000003,0.27785721961600002,121,0.33386277632434758,0.003236459737025822,-13.400026443397454,2.6387176143085229,-1.8499256689237176,0.0026405125344917402,25.229177433041293,-4.266677928796387,12.153630884056774,-0.92853038268709431
0.10000000000000001,0.55571443923200003,241,1.5225377353343803,0.01631831588169981,-26.010480311632527,1.6340718959143175,-7.4051644469908258,-0.0028108792815697671,45.737568254025263,-3.052317942047754,26.470173408539644,0.79733972869960645
0.1125,0.62517874413600005,271,2.0249598501479245,0.022598823202750147,-28.135553770625769,1.6639793965744296,-9.4347067554816064,-0.0097049069231673439,48.762792179644364,-3.1237607541925421,29.107299865702579,0.73400928383191344
0.125,0.69464304903999996,301,2.6469882373268758,0.031003064093700794,-30.256277299607575,1.6966948792837568,-11.777900984345273,-0.020879133593984849,51.575215043593616,-3.1912709054859612,31.573912427372449,0.67907019935589208
