|kp8_i>     |kp8_j>     |<kp8_i|eps.p|kp8_j>|[hbar/nm]     |<kp8_i|eps.p|kp8_j>|^2[hbar^2/nm^2]     Re<kp8_i|eps.p|kp8_j>[hbar/nm]     Im<kp8_i|eps.p|kp8_j>[hbar/nm]
9           14          0.00122102                         4.11552e-07                              -0.00121945                        -1.7097e-05
10          1           8.29905e-15                        1.90122e-29                              -7.59881e-15                       9.21025e-16
10          2           4.66812e-15                        6.01536e-30                              -1.07778e-15                       1.25379e-15
10          3           0.00471854                         6.14598e-06                              -0.00218222                        0.00115485
10          4           0.00147172                         5.97901e-07                              -0.00075337                        0.000348996
10          5           2.85776e-15                        2.25438e-30                              1.84714e-15                        -6.01928e-16
10          6           3.09766e-15                        2.64877e-30                              8.95038e-16                        -8.18615e-16
10          7           2.59908e-06                        1.86473e-12                              2.59908e-06                        2.27577e-10
10          8           3.16671e-07                        2.76818e-14                              -3.03359e-07                       -2.50788e-08
10          9           1.45577e-15                        5.8501e-31                               -9.65051e-16                       -3.00868e-16
10          10          1.72833e-15                        8.24578e-31                              1.72766e-15                        -1.33539e-17
10          11          0.00665449                         1.22238e-05                              0.00182994                         0.00176611
10          12          0.00194556                         1.04488e-06                              0.000469537                        0.000521183
10          13          0.00122102                         4.11552e-07                              0.00106124                         -0.000166695
10          14          0.0787656                          0.00171258                               0.0353993                          0.0194231
11          1           5.00134e-16                        6.90477e-32                              3.24822e-16                        -1.04978e-16
11          2           4.84419e-16                        6.47766e-32                              4.04496e-16                        7.35768e-17
11          3           0.00278606                         2.14268e-06                              0.00205163                         -0.000520323
11          4           0.0016622                          7.62679e-07                              0.000708283                        -0.000415097
11          5           2.18324e-16                        1.31576e-32                              -2.5596e-17                        5.9851e-17
11          6           1.06477e-15                        3.12961e-31                              -1.05634e-15                       3.69169e-17
11          7           0.0410738                          0.0004657                                0.0391282                          0.00344824
11          8           0.0102107                          2.87797e-05                              -0.00456696                        0.00252093
11          9           0.00194556                         1.04488e-06                              -6.30385e-05                       0.000536775
11          10          0.00665449                         1.22238e-05                              0.00182994                         -0.00176611
11          11          1.08642e-14                        3.25813e-29                              1.08641e-14                        -1.02097e-17
11          12          1.02285e-15                        2.888e-31                                6.4292e-16                         -2.19601e-16
11          13          0.0477453                          0.00062927                               -0.00094707                        -0.0131771
11          14          0.165634                           0.00757316                               -0.0315909                         -0.0448829
12          1           2.18372e-15                        1.31634e-30                              2.10495e-15                        1.60433e-16
12          2           1.33747e-15                        4.93794e-31                              1.33118e-15                        -3.57654e-17
12          3           0.0016622                          7.62679e-07                              0.000526419                        -0.000435219
12          4           0.00278606                         2.14268e-06                              0.000181736                        0.000767435
12          5           1.37501e-15                        5.219e-31                                1.32772e-15                        -9.86821e-17
12          6           6.21052e-16                        1.06471e-31                              -1.72122e-16                       -1.64721e-16
12          7           0.0102107                          2.87797e-05                              0.0100398                          -0.00051355
12          8           0.0410738                          0.0004657                                -0.00117182                        -0.0113335
12          9           0.00665449                         1.22238e-05                              -1.61748e-05                       -0.00183692
12          10          0.00194556                         1.04488e-06                              0.000469537                        -0.000521183
12          11          1.0228e-15                         2.88773e-31                              6.42943e-16                        2.19578e-16
12          12          5.92492e-15                        9.69039e-30                              5.92336e-15                        3.74967e-17
12          13          0.165634                           0.00757316                               -0.000243005                       0.0457221
12          14          0.0477453                          0.00062927                               -0.0081058                         -0.0129884
13          1           1.02816e-15                        2.91806e-31                              2.28468e-16                        -2.76719e-16
13          2           1.40701e-15                        5.46474e-31                              -3.69518e-16                       3.74761e-16
13          3           0.000358113                        3.54011e-08                              2.66164e-05                        9.85811e-05
13          4           0.00109582                         3.31476e-07                              9.18877e-06                        -0.000302481
13          5           1.33634e-15                        4.92959e-31                              1.20693e-15                        -1.58366e-16
13          6           3.63529e-16                        3.64799e-32                              -2.67983e-16                       -6.78069e-17
13          7           0.00465886                         5.99151e-06                              -0.000935622                       -0.00125984
13          8           0.0349657                          0.00033749                               0.000109204                        -0.00965198
13          9           0.0787656                          0.00171258                               -3.65582e-05                       0.0217427
