x[nm]                    E_10_real[eV]            Psi_10_lh2_real[nm^-1/2] E_10_imag[eV]            Psi_10_lh2_imag[nm^-1/2]
7.1142317671146          2.3390988947366          2.3397969582913          2.3390988947366          2.3383206058712
7.260978922993           2.3390988947366          2.3277651313579          2.3390988947366          2.351735196665
7.4003918486039          2.3390988947366          2.331334823582           2.3390988947366          2.3477552557374
7.532837099151           2.3390988947366          2.3321717037109          2.3390988947366          2.3468221967319
7.6586629098899          2.3390988947366          2.3331484938201          2.3390988947366          2.3457331485201
7.7782001117354          2.3390988947366          2.3339367231827          2.3390988947366          2.3448543314951
7.891763001107           2.3390988947366          2.3345981830376          2.3390988947366          2.3441168530283
7.9996501663019          2.3390988947366          2.335153533589           2.3390988947366          2.3434976785309
8.1021452725658          2.3390988947366          2.3356219814269          2.3390988947366          2.3429753940857
8.1995178079279          2.3390988947366          2.3360191196885          2.3390988947366          2.3425326145064
8.2920237917592          2.3390988947366          2.3363575802             2.3390988947366          2.3421552562476
8.3799064479186          2.3390988947366          2.3366475446642          2.3390988947366          2.3418319674691
8.4633968442558          2.3390988947366          2.3368970967486          2.3390988947366          2.3415537354839
8.5427145001525          2.3390988947366          2.3371120913391          2.3390988947366          2.3413140325302
8.6180679636999          2.3390988947366          2.3372943976966          2.3390988947366          2.3411107745214
8.6896553600291          2.3390988947366          2.3374467400606          2.3390988947366          2.3409409241333
8.7576649122373          2.3390988947366          2.3375758177224          2.3390988947366          2.3407970121553
8.8222754362784          2.3390988947366          2.3376865159668          2.3390988947366          2.3406735918585
8.8836568111193          2.3390988947366          2.3377821704722          2.3390988947366          2.3405669442103
8.9419704253995          2.3390988947366          2.3378653158137          2.3390988947366          2.3404742433478
8.9973696017656          2.3390988947366          2.3379379493929          2.3390988947366          2.3403932623175
9.05                     2.3390988947366          2.3380016756401          2.3390988947366          2.3403222122987
9.1                      2.3390988947366          2.3380578012338          2.3390988947366          2.3402596364425
9.15                     2.3390988947366          2.3381099447063          2.3390988947366          2.3402015003548
9.2                      2.3390988947366          2.338158349639           2.3390988947366          2.3401475324604
9.25                     2.3390988947366          2.3382032490495          2.3390988947366          2.3400974729622
9.3                      2.3390988947366          2.3382448674244          2.3390988947366          2.3400510715743
9.35                     2.3390988947366          2.3382834257201          2.3390988947366          2.3400080819468
9.4                      2.3390988947366          2.3383191485928          2.3390988947366          2.3399682536047
9.45                     2.3390988947366          2.3383522738156          2.3390988947366          2.3399313214486
9.5                      2.3390988947366          2.3383830642554          2.3390988947366          2.3398969924019
9.55                     2.3390988947366          2.338411823084           2.3390988947366          2.3398649284502
9.6                      2.3390988947366          2.3384389131953          2.3390988947366          2.339834724994
9.65                     2.3390988947366          2.3384645317746          2.3390988947366          2.3398061621864
9.7                      2.3390988947366          2.3384887873177          2.3390988947366          2.3397791190626
