x[nm]                  E_3_real[eV]           Psi_3_z1_real[nm^-1/2] E_3_imag[eV]           Psi_3_z1_imag[nm^-1/2]
7.1142317671146        1.4167478423565        1.4167171612386        1.4167478423565        1.4167600627579
7.260978922993         1.4167478423565        1.4160795304819        1.4167478423565        1.4170140334187
7.4003918486039        1.4167478423565        1.414871584868         1.4167478423565        1.4174951625715
7.532837099151         1.4167478423565        1.4133811113592        1.4167478423565        1.4180888236175
7.6586629098899        1.4167478423565        1.4116795527712        1.4167478423565        1.4187665606219
7.7782001117354        1.4167478423565        1.4098194532352        1.4167478423565        1.4195074450655
7.891763001107         1.4167478423565        1.4078287176506        1.4167478423565        1.4203003623246
7.9996501663019        1.4167478423565        1.4057213432709        1.4167478423565        1.4211397372421
8.1021452725658        1.4167478423565        1.4035028050774        1.4167478423565        1.4220233891129
8.1995178079279        1.4167478423565        1.4011735169318        1.4167478423565        1.4229511530945
8.2920237917592        1.4167478423565        1.3987310388268        1.4167478423565        1.4239240010505
8.3799064479186        1.4167478423565        1.3961715119825        1.4167478423565        1.4249434699472
8.4633968442558        1.4167478423565        1.3934906112574        1.4167478423565        1.4260112825042
8.5427145001525        1.4167478423565        1.3906841985841        1.4167478423565        1.4271290869289
8.6180679636999        1.4167478423565        1.3877488206685        1.4167478423565        1.428298258681
8.6896553600291        1.4167478423565        1.3847216066266        1.4167478423565        1.4295040090977
8.7576649122373        1.4167478423565        1.3816387227959        1.4167478423565        1.4307319329949
8.8222754362784        1.4167478423565        1.3785283545758        1.4167478423565        1.4319708040248
8.8836568111193        1.4167478423565        1.375415671441         1.4167478423565        1.4332105970937
8.9419704253995        1.4167478423565        1.3723229865128        1.4167478423565        1.4344424248038
8.9973696017656        1.4167478423565        1.3692698539367        1.4167478423565        1.4356584986675
9.05                   1.4167478423565        1.366273158404         1.4167478423565        1.4368520934505
9.1                    1.4167478423565        1.3633472202328        1.4167478423565        1.4380175053179
9.15                   1.4167478423565        1.3603531065012        1.4167478423565        1.4392100717601
9.2                    1.4167478423565        1.3573003277936        1.4167478423565        1.4404260046767
9.25                   1.4167478423565        1.3541996405778        1.4167478423565        1.4416610197272
