x[nm]                   E_6_real[eV]            Psi_6_hh2_real[nm^-1/2] E_6_imag[eV]            Psi_6_hh2_imag[nm^-1/2]
7.1142317671146         1.4437721218703         1.4437099250614         1.4437721218703         1.4437778141857
7.260978922993          1.4437721218703         1.4423711067464         1.4437721218703         1.4439003442043
7.4003918486039         1.4437721218703         1.4410201873677         1.4437721218703         1.4440239817246
7.532837099151          1.4437721218703         1.4395967094122         1.4437721218703         1.4441542598798
7.6586629098899         1.4437721218703         1.4380525563114         1.4437721218703         1.4442955823476
7.7782001117354         1.4437721218703         1.4363484289484         1.4437721218703         1.4444515458231
7.891763001107          1.4437721218703         1.4344516634958         1.4437721218703         1.4446251397331
7.9996501663019         1.4437721218703         1.4323349000884         1.4437721218703         1.4448188680805
8.1021452725658         1.4437721218703         1.429975288383          1.4437721218703         1.445034822152
8.1995178079279         1.4437721218703         1.4273540259635         1.4437721218703         1.4452747227639
8.2920237917592         1.4437721218703         1.4244560953684         1.4437721218703         1.4455399443296
8.3799064479186         1.4437721218703         1.4212701108506         1.4437721218703         1.4458315288843
8.4633968442558         1.4437721218703         1.4177882161156         1.4437721218703         1.4461501954441
8.5427145001525         1.4437721218703         1.4140059947854         1.4437721218703         1.4464963482003
8.6180679636999         1.4437721218703         1.4099223695779         1.4437721218703         1.4468700857471
8.6896553600291         1.4437721218703         1.4055921768839         1.4437721218703         1.4472663894018
8.7576649122373         1.4437721218703         1.4010697391906         1.4437721218703         1.4476802875151
8.8222754362784         1.4437721218703         1.3964006101372         1.4437721218703         1.4481076109714
8.8836568111193         1.4437721218703         1.391628573019          1.4437721218703         1.4485443526788
8.9419704253995         1.4437721218703         1.3867950031387         1.4437721218703         1.4489867259274
8.9973696017656         1.4437721218703         1.3819383248942         1.4437721218703         1.449431214077
9.05                    1.4437721218703         1.3770935971806         1.4437721218703         1.4498746085019
9.1                     1.4437721218703         1.3722922373725         1.4437721218703         1.4503140338518
9.15                    1.4437721218703         1.367309116674          1.4437721218703         1.4507700941439
9.2                     1.4437721218703         1.3621580315721         1.4437721218703         1.4512415267096
9.25                    1.4437721218703         1.3568554592568         1.4437721218703         1.4517268235397
9.3                     1.4437721218703         1.3514206799683         1.4437721218703         1.4522242200869
9.35                    1.4437721218703         1.3458758773321         1.4437721218703         1.4527316860832
9.4                     1.4437721218703         1.340246213129          1.4437721218703         1.4532469186967
9.45                    1.4437721218703         1.3345598729061         1.4437721218703         1.4537673383574
9.5                     1.4437721218703         1.3288480788508         1.4437721218703         1.4542900875788
9.55                    1.4437721218703         1.323145066435          1.4437721218703         1.4548120330955
9.6                     1.4437721218703         1.3174880214848         1.4437721218703         1.455329771623
9.65                    1.4437721218703         1.3118870089621         1.4437721218703         1.4558423820054
9.7                     1.4437721218703         1.3063340908834         1.4437721218703         1.4563505907353
