x[nm]                   E_3_real[eV]            Psi_3_so2_real[nm^-1/2] E_3_imag[eV]            Psi_3_so2_imag[nm^-1/2]
7.1142317671146         1.4167478423565         1.417824428336          1.4167478423565         1.4164352104811
7.260978922993          1.4167478423565         1.4021981932299         1.4167478423565         1.4209729429785
7.4003918486039         1.4167478423565         1.4094535662207         1.4167478423565         1.4188660412471
7.532837099151          1.4167478423565         1.4121366096537         1.4167478423565         1.418086907099
7.6586629098899         1.4167478423565         1.4148351572179         1.4167478423565         1.4173032706763
7.7782001117354         1.4167478423565         1.4171010571792         1.4167478423565         1.4166452716241
7.891763001107          1.4167478423565         1.4190689694859         1.4167478423565         1.4160738057805
7.9996501663019         1.4167478423565         1.420785906463          1.4167478423565         1.4155752211462
8.1021452725658         1.4167478423565         1.4222843319143         1.4167478423565         1.4151400904945
8.1995178079279         1.4167478423565         1.4235837323829         1.4167478423565         1.4147627550907
8.2920237917592         1.4167478423565         1.4246948192583         1.4167478423565         1.4144401044338
8.3799064479186         1.4167478423565         1.4256224949475         1.4167478423565         1.4141707149043
8.4633968442558         1.4167478423565         1.4263687024022         1.4167478423565         1.4139540222849
8.5427145001525         1.4167478423565         1.4269376876037         1.4167478423565         1.4137887935768
8.6180679636999         1.4167478423565         1.4273521455204         1.4167478423565         1.4136684383444
8.6896553600291         1.4167478423565         1.4275430007859         1.4167478423565         1.4136130155164
8.7576649122373         1.4167478423565         1.4275251922927         1.4167478423565         1.413618186959
8.8222754362784         1.4167478423565         1.4273331672514         1.4167478423565         1.4136739494805
8.8836568111193         1.4167478423565         1.4269927046761         1.4167478423565         1.4137728170632
8.9419704253995         1.4167478423565         1.4265263832571         1.4167478423565         1.4139082330379
8.9973696017656         1.4167478423565         1.4259547667075         1.4167478423565         1.4140742258682
9.05                    1.4167478423565         1.4252967607175         1.4167478423565         1.4142653054945
9.1                     1.4167478423565         1.4245697499191         1.4167478423565         1.41447642356
9.15                    1.4167478423565         1.4237467323333         1.4167478423565         1.4147154212213
9.2                     1.4167478423565         1.4228318108062         1.4167478423565         1.414981107045
9.25                    1.4167478423565         1.4218305772261         1.4167478423565         1.415271857192
9.3                     1.4167478423565         1.4207504827036         1.4167478423565         1.4155855079199
9.35                    1.4167478423565         1.4196012736239         1.4167478423565         1.4159192289571
9.4                     1.4167478423565         1.418395523227          1.4167478423565         1.4162693691362
9.45                    1.4167478423565         1.4171492925154         1.4167478423565         1.4166312644719
9.5                     1.4167478423565         1.4158829623453         1.4167478423565         1.4169989965281
9.55                    1.4167478423565         1.4146222902231         1.4167478423565         1.4173650855328
9.6                     1.4167478423565         1.4133997610216         1.4167478423565         1.4177200981413
9.65                    1.4167478423565         1.4122397956463         1.4167478423565         1.4180569427199
9.7                     1.4167478423565         1.4111451943974         1.4167478423565         1.418374806084
9.75                    1.4167478423565         1.4101092852664         1.4167478423565         1.418675625731
9.8                     1.4167478423565         1.4091266804618         1.4167478423565         1.418960966232
9.85                    1.4167478423565         1.4081929269339         1.4167478423565         1.4192321207167
9.9                     1.4167478423565         1.4073042637729         1.4167478423565         1.4194901813229
9.95                    1.4167478423565         1.4064574528658         1.4167478423565         1.4197360883726
10                      1.4167478423565         1.4056496598349         1.4167478423565         1.4199706649461
10.05                   1.4167478423565         1.4048783695484         1.4167478423565         1.4201946414173
10.1                    1.4167478423565         1.4041413254562         1.4167478423565         1.4204086730703
10.15                   1.4167478423565         1.4034364853995         1.4167478423565         1.4206133529314
10.2                    1.4167478423565         1.4027619888567         1.4167478423565         1.420809221281
10.25                   1.4167478423565         1.4021161321747         1.4167478423565         1.4209967728464
10.3                    1.4167478423565         1.4014973494145         1.4167478423565         1.4211764623634
10.35                   1.4167478423565         1.400904197185          1.4167478423565         1.4213487089813
10.4                    1.4167478423565         1.4003353423381         1.4167478423565         1.4215138998355
10.45                   1.4167478423565         1.3997895517531         1.4167478423565         1.4216723930143
10.5                    1.4167478423565         1.3992656836671         1.4167478423565         1.4218245200764
10.55                   1.4167478423565         1.3987626801788         1.4167478423565         1.4219705882278
10.6                    1.4167478423565         1.3982795606582         1.4167478423565         1.4221108822355
10.65                   1.4167478423565         1.3978154158757         1.4167478423565         1.4222456661325
10.7                    1.4167478423565         1.3973694027153         1.4167478423565         1.4223751847529
10.75                   1.4167478423565         1.3969407393732         1.4167478423565         1.4224996651261
10.8                    1.4167478423565         1.3965287009695         1.4167478423565         1.4226193177514
10.85                   1.4167478423565         1.3961326155168         1.4167478423565         1.4227343377686
10.9                    1.4167478423565         1.3957518602037         1.4167478423565         1.422844906037
10.95                   1.4167478423565         1.3953858579594         1.4167478423565         1.4229511901334
11                      1.4167478423565         1.3950340742715         1.4167478423565         1.4230533452758
11.05                   1.4167478423565         1.3946960142343         1.4167478423565         1.4231515151809
11.1                    1.4167478423565         1.3943712198085         1.4167478423565         1.4232458328595
11.15                   1.4167478423565         1.3940592672756         1.4167478423565         1.4233364213561
