x[nm]                   E_12_real[eV]           Psi_12_s1_real[nm^-1/2] E_12_imag[eV]           Psi_12_s1_imag[nm^-1/2]
7.1142317671146         2.9525116792099         2.9550756097943         2.9525116792099         2.9525116792099
7.260978922993          2.9525116792099         2.9008457005017         2.9525116792099         2.9525116792099
7.4003918486039         2.9525116792099         2.9251465670527         2.9525116792099         2.9525116792099
7.532837099151          2.9525116792099         2.9356874717619         2.9525116792099         2.9525116792099
7.6586629098899         2.9525116792099         2.9470317218704         2.9525116792099         2.9525116792099
7.7782001117354         2.9525116792099         2.9575914087058         2.9525116792099         2.9525116792099
7.891763001107          2.9525116792099         2.9676955255241         2.9525116792099         2.9525116792099
7.9996501663019         2.9525116792099         2.9774514565702         2.9525116792099         2.9525116792099
8.1021452725658         2.9525116792099         2.9869503913098         2.9525116792099         2.9525116792099
8.1995178079279         2.9525116792099         2.9962605401162         2.9525116792099         2.9525116792099
8.2920237917592         2.9525116792099         3.0054322977531         2.9525116792099         2.9525116792099
8.3799064479186         2.9525116792099         3.0145018326418         2.9525116792099         2.9525116792099
8.4633968442558         2.9525116792099         3.0234936474189         2.9525116792099         2.9525116792099
8.5427145001525         2.9525116792099         3.0324213359252         2.9525116792099         2.9525116792099
8.6180679636999         2.9525116792099         3.0412831441252         2.9525116792099         2.9525116792099
8.6896553600291         2.9525116792099         3.0496609104142         2.9525116792099         2.9525116792099
8.7576649122373         2.9525116792099         3.0576548801464         2.9525116792099         2.9525116792098
8.8222754362784         2.9525116792099         3.0653588942594         2.9525116792099         2.9525116792098
8.8836568111193         2.9525116792099         3.0727752271617         2.9525116792099         2.9525116792098
8.9419704253995         2.9525116792099         3.0798920649076         2.9525116792099         2.9525116792098
8.9973696017656         2.9525116792099         3.0866976958681         2.9525116792099         2.9525116792098
9.05                    2.9525116792099         3.0931836751876         2.9525116792099         2.9525116792098
9.1                     2.9525116792099         3.0993455372303         2.9525116792099         2.9525116792098
9.15                    2.9525116792099         3.1054901790307         2.9525116792099         2.9525116792098
9.2                     2.9525116792099         3.1115998382893         2.9525116792099         2.9525116792098
9.25                    2.9525116792099         3.1176574416587         2.9525116792099         2.9525116792098
9.3                     2.9525116792099         3.1236479452112         2.9525116792099         2.9525116792098
9.35                    2.9525116792099         3.1295601937027         2.9525116792099         2.9525116792098
9.4                     2.9525116792099         3.1353894893795         2.9525116792099         2.9525116792098
9.45                    2.9525116792099         3.1411411121398         2.9525116792099         2.9525116792098
9.5                     2.9525116792099         3.1468351050768         2.9525116792099         2.9525116792098
9.55                    2.9525116792099         3.1525127369374         2.9525116792099         2.9525116792098
9.6                     2.9525116792099         3.1582451827831         2.9525116792099         2.9525116792098
9.65                    2.9525116792099         3.1641536371298         2.9525116792099         2.9525116792098
9.7                     2.9525116792099         3.1702645835172         2.9525116792099         2.9525116792098
9.75                    2.9525116792099         3.1764896406515         2.9525116792099         2.9525116792098
9.8                     2.9525116792099         3.1827685375215         2.9525116792099         2.9525116792098
9.85                    2.9525116792099         3.1890599847761         2.9525116792099         2.9525116792098
9.9                     2.9525116792099         3.1953355120447         2.9525116792099         2.9525116792098
9.95                    2.9525116792099         3.2015753077766         2.9525116792099         2.9525116792098
10                      2.9525116792099         3.2077654110914         2.9525116792099         2.9525116792098
10.05                   2.9525116792099         3.2138958164228         2.9525116792099         2.9525116792098
10.1                    2.9525116792099         3.2199591943996         2.9525116792099         2.9525116792098
10.15                   2.9525116792099         3.2259500287398         2.9525116792099         2.9525116792098
10.2                    2.9525116792099         3.231864033973          2.9525116792099         2.9525116792098
10.25                   2.9525116792099         3.2376977627247         2.9525116792099         2.9525116792098
10.3                    2.9525116792099         3.2434483409451         2.9525116792099         2.9525116792098
10.35                   2.9525116792099         3.2491132894851         2.9525116792099         2.9525116792098
10.4                    2.9525116792099         3.254690403942          2.9525116792099         2.9525116792098
10.45                   2.9525116792099         3.2601776738162         2.9525116792099         2.9525116792098
10.5                    2.9525116792099         3.2655732281899         2.9525116792099         2.9525116792098
10.55                   2.9525116792099         3.2708752992888         2.9525116792099         2.9525116792098
10.6                    2.9525116792099         3.2760821981026         2.9525116792099         2.9525116792098
10.65                   2.9525116792099         3.2811922981314         2.9525116792099         2.9525116792098
10.7                    2.9525116792099         3.2862040246054         2.9525116792099         2.9525116792098
10.75                   2.9525116792099         3.2911158473889         2.9525116792099         2.9525116792098
10.8                    2.9525116792099         3.2959262763615         2.9525116792099         2.9525116792098
10.85                   2.9525116792099         3.3006338584637         2.9525116792099         2.9525116792098
10.9                    2.9525116792099         3.3052371758579         2.9525116792099         2.9525116792098
10.95                   2.9525116792099         3.3097348448358         2.9525116792099         2.9525116792098
11                      2.9525116792099         3.3141255152231         2.9525116792099         2.9525116792098
11.05                   2.9525116792099         3.3184078701149         2.9525116792099         2.9525116792098
11.1                    2.9525116792099         3.3225806258279         2.9525116792099         2.9525116792098
11.15                   2.9525116792099         3.3266425319949         2.9525116792099         2.9525116792098
11.2                    2.9525116792099         3.3305923717501         2.9525116792099         2.9525116792098
11.25                   2.9525116792099         3.3344289619716         2.9525116792099         2.9525116792098
11.3                    2.9525116792099         3.3381511535574         2.9525116792099         2.9525116792098
11.35                   2.9525116792099         3.3417578317215         2.9525116792099         2.9525116792098
11.4                    2.9525116792099         3.3452479162971         2.9525116792099         2.9525116792098
11.45                   2.9525116792099         3.3486203620429         2.9525116792099         2.9525116792098
11.5                    2.9525116792099         3.351874158946          2.9525116792099         2.9525116792098
11.55                   2.9525116792099         3.3550083325195         2.9525116792099         2.9525116792098
11.6                    2.9525116792099         3.3580219440928         2.9525116792099         2.9525116792098
11.65                   2.9525116792099         3.3609140910918         2.9525116792099         2.9525116792098
11.7                    2.9525116792099         3.3636839073107         2.9525116792099         2.9525116792098
11.75                   2.9525116792099         3.3663305631724         2.9525116792099         2.9525116792098
11.8                    2.9525116792099         3.3688532659787         2.9525116792099         2.9525116792098
11.85                   2.9525116792099         3.371251260149          2.9525116792099         2.9525116792098
11.9                    2.9525116792099         3.3735238274484         2.9525116792099         2.9525116792098
11.95                   2.9525116792099         3.3756702872038         2.9525116792099         2.9525116792098
12                      2.9525116792099         3.3776899965093         2.9525116792099         2.9525116792098
12.05                   2.9525116792099         3.3795823504196         2.9525116792099         2.9525116792098
12.1                    2.9525116792099         3.381346782132          2.9525116792099         2.9525116792098
12.15                   2.9525116792099         3.3829827631571         2.9525116792099         2.9525116792098
12.2                    2.9525116792099         3.3844898034778         2.9525116792099         2.9525116792098
12.25                   2.9525116792099         3.3858674516962         2.9525116792099         2.9525116792098
12.3                    2.9525116792099         3.3871152951696         2.9525116792099         2.9525116792098
12.35                   2.9525116792099         3.3882329601347         2.9525116792099         2.9525116792098
12.4                    2.9525116792099         3.3892201118189         2.9525116792099         2.9525116792098
12.45                   2.9525116792099         3.3900764545419         2.9525116792099         2.9525116792098
12.5                    2.9525116792099         3.3908017318039         2.9525116792099         2.9525116792098
12.55                   2.9525116792099         3.3913957263624         2.9525116792099         2.9525116792098
12.6                    2.9525116792099         3.3918582602978         2.9525116792099         2.9525116792098
12.65                   2.9525116792099         3.3921891950666         2.9525116792099         2.9525116792098
12.7                    2.9525116792099         3.3923884315429         2.9525116792099         2.9525116792098
12.75                   2.9525116792099         3.3924559100481         2.9525116792099         2.9525116792098
12.8                    2.9525116792099         3.3923916103687         2.9525116792099         2.9525116792098
12.85                   2.9525116792099         3.3921955517625         2.9525116792099         2.9525116792098
12.9                    2.9525116792099         3.3918677929526         2.9525116792099         2.9525116792098
12.95                   2.9525116792099         3.3914084321097         2.9525116792099         2.9525116792098
13                      2.9525116792099         3.3908176068226         2.9525116792099         2.9525116792098
13.05                   2.9525116792099         3.3900954940565         2.9525116792099         2.9525116792098
13.1                    2.9525116792099         3.3892423101004         2.9525116792099         2.9525116792098
13.15                   2.9525116792099         3.3882583105011         2.9525116792099         2.9525116792098
