x[nm]                    E_10_real[eV]            Psi_10_cb2_real[nm^-1/2] E_10_imag[eV]            Psi_10_cb2_imag[nm^-1/2]
7.1142317671146          2.3390988947366          2.3384399652359          2.3390988947366          2.339833552047
7.260978922993           2.3390988947366          2.3543445834575          2.3390988947366          2.3221010874465
7.4003918486039          2.3390988947366          2.3493708472342          2.3390988947366          2.3276464328477
7.532837099151           2.3390988947366          2.3481905723164          2.3390988947366          2.3289623514637
7.6586629098899          2.3390988947366          2.3468698452256          2.3390988947366          2.3304348637905
7.7782001117354          2.3390988947366          2.3458280106391          2.3390988947366          2.3315964317495
7.891763001107           2.3390988947366          2.3449685789414          2.3390988947366          2.3325546340743
7.9996501663019          2.3390988947366          2.3442570700026          2.3390988947366          2.3333479135417
8.1021452725658          2.3390988947366          2.3436642364089          2.3390988947366          2.334008878839
8.1995178079279          2.3390988947366          2.3431674180457          2.3390988947366          2.3345627943067
8.2920237917592          2.3390988947366          2.3427488276012          2.3390988947366          2.3350294914719
8.3799064479186          2.3390988947366          2.3423943674004          2.3390988947366          2.3354246881925
8.4633968442558          2.3390988947366          2.3420926175728          2.3390988947366          2.3357611167733
8.5427145001525          2.3390988947366          2.3418334893067          2.3390988947366          2.3360500254878
8.6180679636999          2.3390988947366          2.3416049216637          2.3390988947366          2.336304861384
8.6896553600291          2.3390988947366          2.3414099634252          2.3390988947366          2.3365222252977
8.7576649122373          2.3390988947366          2.3412433845961          2.3390988947366          2.3367079482839
8.8222754362784          2.3390988947366          2.3410993953351          2.3390988947366          2.3368684855843
8.8836568111193          2.3390988947366          2.3409740156848          2.3390988947366          2.337008274555
8.9419704253995          2.3390988947366          2.3408641698435          2.3390988947366          2.3371307444858
8.9973696017656          2.3390988947366          2.340767397803           2.3390988947366          2.3372386381025
9.05                     2.3390988947366          2.3406817041051          2.3390988947366          2.3373341801924
9.1                      2.3390988947366          2.3406054567036          2.3390988947366          2.3374191903655
9.15                     2.3390988947366          2.3405338056637          2.3390988947366          2.3374990759378
9.2                      2.3390988947366          2.3404664168995          2.3390988947366          2.3375742093902
9.25                     2.3390988947366          2.3404029804937          2.3390988947366          2.3376449362573
9.3                      2.3390988947366          2.3403432190228          2.3390988947366          2.3377115658459
9.35                     2.3390988947366          2.3402868945991          2.3390988947366          2.3377743633828
9.4                      2.3390988947366          2.3402338167225          2.3390988947366          2.3378335412615
9.45                     2.3390988947366          2.3401838523738          2.3390988947366          2.3378892477885
9.5                      2.3390988947366          2.3401369396165          2.3390988947366          2.3379415520184
9.55                     2.3390988947366          2.3400931060784          2.3390988947366          2.3379904231483
9.6                      2.3390988947366          2.3400524939666          2.3390988947366          2.3380357026277
9.65                     2.3390988947366          2.3400146068397          2.3390988947366          2.3380779439521
9.7                      2.3390988947366          2.3399787364197          2.3390988947366          2.3381179367984
9.75                     2.3390988947366          2.3399446113169          2.3390988947366          2.3381559837461
9.8                      2.3390988947366          2.3399120328253          2.3390988947366          2.3381923063375
9.85                     2.3390988947366          2.3398808521763          2.3390988947366          2.3382270704385
9.9                      2.3390988947366          2.3398509550573          2.3390988947366          2.3382604034993
9.95                     2.3390988947366          2.3398222510686          2.3390988947366          2.3382924063085
10                       2.3390988947366          2.3397946665385          2.3390988947366          2.3383231610048
10.05                    2.3390988947366          2.3397681396199          2.3390988947366          2.3383527365431
10.1                     2.3390988947366          2.3397426169406          2.3390988947366          2.3383811924294
10.15                    2.3390988947366          2.3397180513084          2.3390988947366          2.3384085812795
10.2                     2.3390988947366          2.339694400135           2.3390988947366          2.3384349505761
10.25                    2.3390988947366          2.3396716243489          2.3390988947366          2.3384603438809
10.3                     2.3390988947366          2.3396496876413          2.3390988947366          2.3384848016759
10.35                    2.3390988947366          2.3396285559384          2.3390988947366          2.3385083619506
10.4                     2.3390988947366          2.339608197029           2.3390988947366          2.338531060618
10.45                    2.3390988947366          2.3395885802981          2.3390988947366          2.3385529318118
10.5                     2.3390988947366          2.3395696765322          2.3390988947366          2.3385740081026
10.55                    2.3390988947366          2.3395514577753          2.3390988947366          2.3385943206595
10.6                     2.3390988947366          2.3395338972181          2.3390988947366          2.3386138993727
10.65                    2.3390988947366          2.339516969112           2.3390988947366          2.3386327729501
10.7                     2.3390988947366          2.3395006486989          2.3390988947366          2.338650968995
10.75                    2.3390988947366          2.3394849121532          2.3390988947366          2.3386685140712
10.8                     2.3390988947366          2.3394697365321          2.3390988947366          2.3386854337584
10.85                    2.3390988947366          2.3394550997314          2.3390988947366          2.3387017527008
10.9                     2.3390988947366          2.3394409804466          2.3390988947366          2.3387174946516
10.95                    2.3390988947366          2.3394273581369          2.3390988947366          2.3387326825123
11                       2.3390988947366          2.3394142129915          2.3390988947366          2.3387473383702
11.05                    2.3390988947366          2.3394015258992          2.3390988947366          2.3387614835331
11.1                     2.3390988947366          2.3393892784183          2.3390988947366          2.338775138562
11.15                    2.3390988947366          2.3393774527488          2.3390988947366          2.3387883233026
11.2                     2.3390988947366          2.3393660317061          2.3390988947366          2.3388010569145
11.25                    2.3390988947366          2.3393549986947          2.3390988947366          2.3388133579004
11.3                     2.3390988947366          2.3393443376843          2.3390988947366          2.3388252441328
11.35                    2.3390988947366          2.3393340331861          2.3390988947366          2.3388367328808
11.4                     2.3390988947366          2.3393240702296          2.3390988947366          2.3388478408351
11.45                    2.3390988947366          2.3393144343413          2.3390988947366          2.3388585841328
11.5                     2.3390988947366          2.3393051115233          2.3390988947366          2.3388689783805
11.55                    2.3390988947366          2.3392960882325          2.3390988947366          2.3388790386776
11.6                     2.3390988947366          2.3392873513616          2.3390988947366          2.3388887796379
11.65                    2.3390988947366          2.3392788882193          2.3390988947366          2.3388982154111
11.7                     2.3390988947366          2.3392706865123          2.3390988947366          2.3389073597035
11.75                    2.3390988947366          2.3392627343271          2.3390988947366          2.3389162257977
11.8                     2.3390988947366          2.3392550201127          2.3390988947366          2.3389248265721
11.85                    2.3390988947366          2.3392475326641          2.3390988947366          2.3389331745195
11.9                     2.3390988947366          2.3392402611056          2.3390988947366          2.3389412817656
11.95                    2.3390988947366          2.3392331948753          2.3390988947366          2.3389491600861
12                       2.3390988947366          2.3392263237093          2.3390988947366          2.3389568209243
12.05                    2.3390988947366          2.3392196376276          2.3390988947366          2.3389642754074
12.1                     2.3390988947366          2.3392131269185          2.3390988947366          2.338971534363
12.15                    2.3390988947366          2.3392067821255          2.3390988947366          2.3389786083346
12.2                     2.3390988947366          2.339200594033           2.3390988947366          2.3389855075968
12.25                    2.3390988947366          2.339194553653           2.3390988947366          2.3389922421706
12.3                     2.3390988947366          2.339188652212           2.3390988947366          2.3389988218378
12.35                    2.3390988947366          2.3391828811384          2.3390988947366          2.3390052561549
12.4                     2.3390988947366          2.3391772320501          2.3390988947366          2.3390115544676
12.45                    2.3390988947366          2.3391716967419          2.3390988947366          2.3390177259239
12.5                     2.3390988947366          2.3391662671742          2.3390988947366          2.3390237794875
12.55                    2.3390988947366          2.3391609354607          2.3390988947366          2.3390297239508
12.6                     2.3390988947366          2.3391556938575          2.3390988947366          2.339035567948
12.65                    2.3390988947366          2.3391505347514          2.3390988947366          2.3390413199671
12.7                     2.3390988947366          2.339145450649           2.3390988947366          2.3390469883625
12.75                    2.3390988947366          2.339140434166           2.3390988947366          2.3390525813674
12.8                     2.3390988947366          2.3391354780163          2.3390988947366          2.3390581071052
12.85                    2.3390988947366          2.3391305750012          2.3390988947366          2.3390635736017
12.9                     2.3390988947366          2.3391257179995          2.3390988947366          2.3390689887968
12.95                    2.3390988947366          2.3391208999567          2.3390988947366          2.3390743605557
13                       2.3390988947366          2.3391161138747          2.3390988947366          2.3390796966806
