x[nm]                   E_12_real[eV]           Psi_12_x2_real[nm^-1/2] E_12_imag[eV]           Psi_12_x2_imag[nm^-1/2]
7.1142317671146         2.9525116792099         2.9521638156382         2.9525116792099         2.9532715560871
7.260978922993          2.9525116792099         2.9586886358375         2.9525116792099         2.9390186696065
7.4003918486039         2.9525116792099         2.9573615028743         2.9525116792099         2.9419176729339
7.532837099151          2.9525116792099         2.9573721846099         2.9525116792099         2.9418943396375
7.6586629098899         2.9525116792099         2.9572959250221         2.9525116792099         2.9420609218903
7.7782001117354         2.9525116792099         2.957297548742          2.9525116792099         2.9420573750193
7.891763001107          2.9525116792099         2.9573513273928         2.9525116792099         2.9419399003637
7.9996501663019         2.9525116792099         2.9574511215381         2.9525116792099         2.9417219089739
8.1021452725658         2.9525116792099         2.9575907730544         2.9525116792099         2.9414168527198
8.1995178079279         2.9525116792099         2.9577650843519         2.9525116792099         2.9410360852718
8.2920237917592         2.9525116792099         2.9579695702061         2.9525116792099         2.940589404202
8.3799064479186         2.9525116792099         2.9582003035314         2.9525116792099         2.9400853878778
8.4633968442558         2.9525116792099         2.9584537717591         2.9525116792099         2.9395317091915
8.5427145001525         2.9525116792099         2.9587266454155         2.9525116792099         2.9389356410809
8.6180679636999         2.9525116792099         2.9590151206732         2.9525116792099         2.938305492667
8.6896553600291         2.9525116792099         2.9593235439638         2.9525116792099         2.9376317695581
8.7576649122373         2.9525116792099         2.9596283236892         2.9525116792099         2.9369660054919
8.8222754362784         2.9525116792099         2.9599166402757         2.9525116792099         2.936336203681
8.8836568111193         2.9525116792099         2.960185106994          2.9525116792099         2.9357497621327
8.9419704253995         2.9525116792099         2.9604324104734         2.9525116792099         2.935209549788
8.9973696017656         2.9525116792099         2.9606579577434         2.9525116792099         2.934716861938
9.05                    2.9525116792099         2.9608615621942         2.9525116792099         2.9342721062151
9.1                     2.9525116792099         2.9610433540064         2.9525116792099         2.9338749982516
9.15                    2.9525116792099         2.9612119595321         2.9525116792099         2.9335066945521
9.2                     2.9525116792099         2.9613653744954         2.9525116792099         2.9331715732784
9.25                    2.9525116792099         2.9615016253657         2.9525116792099         2.9328739454315
9.3                     2.9525116792099         2.9616188755552         2.9525116792099         2.9326178228733
