x[nm]                    E_10_real[eV]            Psi_10_so1_real[nm^-1/2] E_10_imag[eV]            Psi_10_so1_imag[nm^-1/2]
7.1142317671146          2.3390988947366          2.3386332572144          2.3390988947366          2.3396763056844
7.260978922993           2.3390988947366          2.3457938450294          2.3390988947366          2.3307968627708
7.4003918486039          2.3390988947366          2.3433729765749          2.3390988947366          2.33379884582
7.532837099151           2.3390988947366          2.3428023480442          2.3390988947366          2.3345064502227
7.6586629098899          2.3390988947366          2.3422014199175          2.3390988947366          2.3352516274531
7.7782001117354          2.3390988947366          2.3417452240357          2.3390988947366          2.3358173303527
7.891763001107           2.3390988947366          2.3413782287725          2.3390988947366          2.3362724205734
7.9996501663019          2.3390988947366          2.3410793240615          2.3390988947366          2.3366430755234
8.1021452725658          2.3390988947366          2.3408325895372          2.3390988947366          2.3369490371539
8.1995178079279          2.3390988947366          2.3406265713274          2.3390988947366          2.3372045087688
8.2920237917592          2.3390988947366          2.3404527819915          2.3390988947366          2.3374200151668
8.3799064479186          2.3390988947366          2.3403048094077          2.3390988947366          2.3376035076599
8.4633968442558          2.3390988947366          2.3401777984011          2.3390988947366          2.3377610068781
8.5427145001525          2.3390988947366          2.3400683842687          2.3390988947366          2.3378966852005
8.6180679636999          2.3390988947366          2.339975743524           2.3390988947366          2.3380115637867
8.6896553600291          2.3390988947366          2.3398984975799          2.3390988947366          2.338107352145
8.7576649122373          2.3390988947366          2.3398330384592          2.3390988947366          2.3381885243253
8.8222754362784          2.3390988947366          2.3397768552237          2.3390988947366          2.3382581940011
8.8836568111193          2.3390988947366          2.3397282789391          2.3390988947366          2.3383184307243
8.9419704253995          2.3390988947366          2.3396860464569          2.3390988947366          2.3383708008544
8.9973696017656          2.3390988947366          2.3396491605277          2.3390988947366          2.3384165410241
9.05                     2.3390988947366          2.3396168176712          2.3390988947366          2.3384566475846
9.1                      2.3390988947366          2.3395883614664          2.3390988947366          2.3384919345264
9.15                     2.3390988947366          2.3395619614077          2.3390988947366          2.338524671757
9.2                      2.3390988947366          2.339537504516           2.3390988947366          2.3385549993753
9.25                     2.3390988947366          2.339514881861           2.3390988947366          2.3385830524596
9.3                      2.3390988947366          2.339493988081           2.3390988947366          2.338608961663
9.35                     2.3390988947366          2.3394747189015          2.3390988947366          2.3386328562907
9.4                      2.3390988947366          2.339456967127           2.3390988947366          2.3386548692696
9.45                     2.3390988947366          2.3394406171218          2.3390988947366          2.3386751439931
9.5                      2.3390988947366          2.3394255375138          2.3390988947366          2.3386938433682
9.55                     2.3390988947366          2.3394115716481          2.3390988947366          2.3387111616542
9.6                      2.3390988947366          2.3393985251056          2.3390988947366          2.3387273399391
9.65                     2.3390988947366          2.3393863104917          2.3390988947366          2.3387424865959
9.7                      2.3390988947366          2.3393748728195          2.3390988947366          2.338756669811
9.75                     2.3390988947366          2.3393640873617          2.3390988947366          2.3387700442517
9.8                      2.3390988947366          2.3393538639337          2.3390988947366          2.3387827217507
9.85                     2.3390988947366          2.3393441361539          2.3390988947366          2.3387947846243
