x[nm]                   E_8_real[eV]            Psi_8_cb2_real[nm^-1/2] E_8_imag[eV]            Psi_8_cb2_imag[nm^-1/2]
7.1142317671146         2.3390669310193         2.3053659349429         2.3390669310193         2.3418793150906
7.260978922993          2.3390669310193         3.1188141471511         2.3390669310193         2.2739961940818
7.4003918486039         2.3390669310193         2.8644351188768         2.3390669310193         2.2952243953357
7.532837099151          2.3390669310193         2.8040735583133         2.3390669310193         2.3002616319521
7.6586629098899         2.3390669310193         2.7365286953408         2.3390669310193         2.3058983228168
7.7782001117354         2.3390669310193         2.6832480430327         2.3390669310193         2.310344650086
7.891763001107          2.3390669310193         2.6392966459516         2.3390669310193         2.3140124410551
7.9996501663019         2.3390669310193         2.6029110313371         2.3390669310193         2.317048859407
8.1021452725658         2.3390669310193         2.5725953482687         2.3390669310193         2.3195787354966
8.1995178079279         2.3390669310193         2.5471906488224         2.3390669310193         2.3216987847644
8.2920237917592         2.3390669310193         2.5257872004823         2.3390669310193         2.3234849253593
8.3799064479186         2.3390669310193         2.5076639738622         2.3390669310193         2.3249973279527
8.4633968442558         2.3390669310193         2.4922368955769         2.3390669310193         2.3262847340916
8.5427145001525         2.3390669310193         2.4789899816069         2.3390669310193         2.3273902031928
8.6180679636999         2.3390669310193         2.4673064456628         2.3390669310193         2.3283652067301
8.6896553600291         2.3390669310193         2.4573418986029         2.3390669310193         2.3291967588113
8.7576649122373         2.3390669310193         2.4488288127825         2.3390669310193         2.3299071849039
8.8222754362784         2.3390669310193         2.4414710779625         2.3390669310193         2.3305211957231
8.8836568111193         2.3390669310193         2.4350651111224         2.3390669310193         2.3310557804891
8.9419704253995         2.3390669310193         2.429453567437          2.3390669310193         2.3315240697954
8.9973696017656         2.3390669310193         2.4245105984831         2.3390669310193         2.3319365658273
9.05                    2.3390669310193         2.4201341185175         2.3390669310193         2.3323017877488
9.1                     2.3390669310193         2.4162406322405         2.3390669310193         2.3326267033317
9.15                    2.3390669310193         2.4125823956207         2.3390669310193         2.3329319870799
9.2                     2.3390669310193         2.4091423122588         2.3390669310193         2.3332190657059
9.25                    2.3390669310193         2.4059045217538         2.3390669310193         2.3334892627773
9.3                     2.3390669310193         2.4028548263725         2.3390669310193         2.33374376311
9.35                    2.3390669310193         2.3999810525608         2.3390669310193         2.3339835826
9.4                     2.3390669310193         2.3972734543851         2.3390669310193         2.3342095345559
9.45                    2.3390669310193         2.394725232346          2.3390669310193         2.3344221864033
9.5                     2.3390669310193         2.3923332326133         2.3390669310193         2.3346218013325
9.55                    2.3390669310193         2.3900988970575         2.3390669310193         2.334808259018
9.6                     2.3390669310193         2.3880295491105         2.3390669310193         2.3349809483115
9.65                    2.3390669310193         2.386099942591          2.3390669310193         2.3351419760339
9.7                     2.3390669310193         2.3842739428735         2.3390669310193         2.3352943576581
9.75                    2.3390669310193         2.3825376267943         2.3390669310193         2.335439255087
9.8                     2.3390669310193         2.3808808069965         2.3390669310193         2.3355775184665
9.85                    2.3390669310193         2.379295862828          2.3390669310193         2.335709783748
9.9                     2.3390669310193         2.3777769446489         2.3390669310193         2.3358365390902
9.95                    2.3390669310193         2.3763194319773         2.3390669310193         2.3359581700774
10                      2.3390669310193         2.3749195642044         2.3390669310193         2.3360749905363
10.05                   2.3390669310193         2.3735741886434         2.3390669310193         2.3361872635619
10.1                    2.3390669310193         2.3722805883658         2.3390669310193         2.336295215885
10.15                   2.3390669310193         2.3710363643077         2.3390669310193         2.3363990477098
10.2                    2.3390669310193         2.3698393542983         2.3390669310193         2.336498939472
10.25                   2.3390669310193         2.3686875772184         2.3390669310193         2.3365950564979
10.3                    2.3390669310193         2.3675791942745         2.3390669310193         2.3366875522369
10.35                   2.3390669310193         2.3665124819362         2.3390669310193         2.3367765705193
10.4                    2.3390669310193         2.3654858128323         2.3390669310193         2.3368622471512
10.45                   2.3390669310193         2.3644976420852         2.3390669310193         2.3369447110541
10.5                    2.3390669310193         2.3635464973689         2.3390669310193         2.3370240850953
10.55                   2.3390669310193         2.3626309715245         2.3390669310193         2.3371004867036
10.6                    2.3390669310193         2.3617497169381         2.3390669310193         2.3371740283388
10.65                   2.3390669310193         2.3609014411421         2.3390669310193         2.3372448178589
10.7                    2.3390669310193         2.360084903269          2.3390669310193         2.3373129588154
10.75                   2.3390669310193         2.3592989111078         2.3390669310193         2.3373785506996
10.8                    2.3390669310193         2.3585423185898         2.3390669310193         2.3374416891523
10.85                   2.3390669310193         2.3578140235871         2.3390669310193         2.3375024661472
10.9                    2.3390669310193         2.3571129659419         2.3390669310193         2.3375609701555
10.95                   2.3390669310193         2.3564381256714         2.3390669310193         2.3376172862959
11                      2.3390669310193         2.3557885213093         2.3390669310193         2.3376714964728
11.05                   2.3390669310193         2.3551632083575         2.3390669310193         2.3377236795057
11.1                    2.3390669310193         2.3545612778274         2.3390669310193         2.3377739112505
11.15                   2.3390669310193         2.3539818548597         2.3390669310193         2.3378222647152
11.2                    2.3390669310193         2.3534240974102         2.3390669310193         2.3378688101693
11.25                   2.3390669310193         2.3528871949961         2.3390669310193         2.3379136152485
11.3                    2.3390669310193         2.3523703674966         2.3390669310193         2.3379567450546
11.35                   2.3390669310193         2.3518728640037         2.3390669310193         2.3379982622518
11.4                    2.3390669310193         2.3513939617194         2.3390669310193         2.3380382271583
11.45                   2.3390669310193         2.3509329648967         2.3390669310193         2.3380766978349
11.5                    2.3390669310193         2.350489203823          2.3390669310193         2.3381137301698
11.55                   2.3390669310193         2.3500620338414         2.3390669310193         2.3381493779604
11.6                    2.3390669310193         2.3496508344106         2.3390669310193         2.3381836929916
11.65                   2.3390669310193         2.3492550082007         2.3390669310193         2.338216725111
11.7                    2.3390669310193         2.3488739802228         2.3390669310193         2.3382485223022
11.75                   2.3390669310193         2.3485071969916         2.3390669310193         2.3382791307541
11.8                    2.3390669310193         2.3481541257204         2.3390669310193         2.3383085949283
11.85                   2.3390669310193         2.3478142535456         2.3390669310193         2.3383369576238
11.9                    2.3390669310193         2.3474870867806         2.3390669310193         2.3383642600393
11.95                   2.3390669310193         2.3471721501979         2.3390669310193         2.3383905418331
12                      2.3390669310193         2.3468689863382         2.3390669310193         2.3384158411806
12.05                   2.3390669310193         2.3465771548451         2.3390669310193         2.33844019483
12.1                    2.3390669310193         2.3462962318254         2.3390669310193         2.3384636381556
12.15                   2.3390669310193         2.3460258092322         2.3390669310193         2.3384862052095
12.2                    2.3390669310193         2.3457654942725         2.3390669310193         2.3385079287705
12.25                   2.3390669310193         2.3455149088363         2.3390669310193         2.3385288403925
12.3                    2.3390669310193         2.3452736889468         2.3390669310193         2.3385489704496
12.35                   2.3390669310193         2.3450414842317         2.3390669310193         2.3385683481808
12.4                    2.3390669310193         2.3448179574141         2.3390669310193         2.3385870017321
12.45                   2.3390669310193         2.3446027838225         2.3390669310193         2.3386049581979
12.5                    2.3390669310193         2.344395650919          2.3390669310193         2.3386222436596
12.55                   2.3390669310193         2.3441962578451         2.3390669310193         2.3386388832243
12.6                    2.3390669310193         2.344004314985          2.3390669310193         2.3386549010607
12.65                   2.3390669310193         2.3438195435444         2.3390669310193         2.3386703204346
12.7                    2.3390669310193         2.3436416751457         2.3390669310193         2.3386851637421
12.75                   2.3390669310193         2.3434704514384         2.3390669310193         2.3386994525432
12.8                    2.3390669310193         2.3433056237231         2.3390669310193         2.3387132075918
12.85                   2.3390669310193         2.343146952591          2.3390669310193         2.3387264488671
12.9                    2.3390669310193         2.3429942075756         2.3390669310193         2.3387391956015
12.95                   2.3390669310193         2.3428471668179         2.3390669310193         2.3387514663096
13                      2.3390669310193         2.3427056167448         2.3390669310193         2.3387632788142
13.05                   2.3390669310193         2.3425693517578         2.3390669310193         2.3387746502727
13.1                    2.3390669310193         2.3424381739354         2.3390669310193         2.3387855972019
13.15                   2.3390669310193         2.3423118927449         2.3390669310193         2.338796135502
13.2                    2.3390669310193         2.3421903247658         2.3390669310193         2.3388062804795
13.25                   2.3390669310193         2.3420732934235         2.3390669310193         2.3388160468698
13.3                    2.3390669310193         2.3419606287329         2.3390669310193         2.3388254488585
13.35                   2.3390669310193         2.3418521670511         2.3390669310193         2.3388345001015
13.4                    2.3390669310193         2.34174775084           2.3390669310193         2.3388432137457
13.45                   2.3390669310193         2.3416472284374         2.3390669310193         2.3388516024474
13.5                    2.3390669310193         2.3415504538367         2.3390669310193         2.3388596783911
13.55                   2.3390669310193         2.3414572864748         2.3390669310193         2.3388674533068
13.6                    2.3390669310193         2.3413675910279         2.3390669310193         2.3388749384875
13.65                   2.3390669310193         2.3412812372147         2.3390669310193         2.3388821448054
13.7                    2.3390669310193         2.3411980996078         2.3390669310193         2.3388890827273
13.75                   2.3390669310193         2.3411180574507         2.3390669310193         2.3388957623307
13.8                    2.3390669310193         2.3410409944829         2.3390669310193         2.3389021933176
