wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
533,-7.51407,0.271961,7.51407,7.51899
534,-7.77333,0.297495,7.77333,7.77902
535,-8.05577,0.32764,8.05577,8.06243
536,-8.36561,0.36376,8.36561,8.37351
537,-8.70832,0.407818,8.70832,8.71787
538,-9.09121,0.462759,9.09121,9.10298
539,-9.52421,0.533231,9.52421,9.53913
540,-10.0213,0.627133,10.0213,10.0409
541,-10.6023,0.759327,10.6023,10.6295
542,-11.2907,0.959084,11.2907,11.3313
543,-12.1111,1.26253,12.1111,12.1767
544,-13.1414,1.74906,13.1414,13.2573
545,-14.4538,2.70167,14.4538,14.7041
546,-15.6544,4.77511,15.6544,16.3665
547,-15.1619,7.47709,15.1619,16.9053
548,-13.6873,8.9452,13.6873,16.3511
549,-12.41,9.58091,12.41,15.6781
550,-11.4432,9.88754,11.4432,15.1232
551,-10.6816,10.0842,10.6816,14.6897
552,-10.0401,10.2198,10.0401,14.3265
553,-9.48776,10.3032,9.48776,14.0062
554,-9.02716,10.3533,9.02716,13.7361
555,-8.63348,10.4063,8.63348,13.5214
556,-8.27786,10.4608,8.27786,13.3398
557,-7.95131,10.5122,7.95131,13.1806
558,-7.64927,10.5596,7.64927,13.039
559,-7.36828,10.6034,7.36828,12.9122
560,-7.1055,10.6441,7.1055,12.7978
561,-6.85856,10.6821,6.85856,12.6944
562,-6.62551,10.718,6.62551,12.6005
563,-6.40471,10.7519,6.40471,12.515
564,-6.19479,10.7843,6.19479,12.4369
565,-5.99458,10.8154,5.99458,12.3656
566,-5.80307,10.8453,5.80307,12.3002
567,-5.6194,10.8742,5.6194,12.2404
568,-5.44283,10.9023,5.44283,12.1854
569,-5.27271,10.9296,5.27271,12.135
570,-5.10848,10.9562,5.10848,12.0886
571,-4.94962,10.9823,4.94962,12.0461
572,-4.79571,11.0078,4.79571,12.0071
573,-4.64634,11.0329,4.64634,11.9714
574,-4.50117,11.0576,4.50117,11.9386
575,-4.35988,11.0818,4.35988,11.9086
576,-4.22218,11.1058,4.22218,11.8813
577,-4.08783,11.1294,4.08783,11.8564
578,-3.95658,11.1528,3.95658,11.8338
579,-3.82823,11.1759,3.82823,11.8134
580,-3.70259,11.1988,3.70259,11.795
581,-3.57947,11.2215,3.57947,11.7786
582,-3.45873,11.244,3.45873,11.7639
583,-3.3402,11.2663,3.3402,11.751
584,-3.22376,11.2884,3.22376,11.7397
585,-3.10928,11.3104,3.10928,11.73
586,-2.99664,11.3323,2.99664,11.7218
587,-2.88574,11.354,2.88574,11.715
588,-2.77647,11.3756,2.77647,11.7095
589,-2.66874,11.397,2.66874,11.7053
590,-2.56246,11.4184,2.56246,11.7024
591,-2.45755,11.4397,2.45755,11.7007
592,-2.35393,11.4608,2.35393,11.7001
593,-2.25154,11.4819,2.25154,11.7006
594,-2.15031,11.5029,2.15031,11.7022
595,-2.05016,11.5238,2.05016,11.7048
596,-1.95105,11.5447,1.95105,11.7084
597,-1.85292,11.5654,1.85292,11.7129
598,-1.75571,11.5861,1.75571,11.7184
599,-1.65938,11.6068,1.65938,11.7248
600,-1.56387,11.6274,1.56387,11.7321
601,-1.46913,11.6479,1.46913,11.7402
602,-1.37514,11.6683,1.37514,11.7491
603,-1.28184,11.6887,1.28184,11.7588
604,-1.1892,11.7091,1.1892,11.7693
605,-1.09719,11.7294,1.09719,11.7806
606,-1.00575,11.7497,1.00575,11.7926
607,-0.914867,11.7699,0.914867,11.8054
608,-0.824501,11.7901,0.824501,11.8189
609,-0.734623,11.8102,0.734623,11.833
610,-0.645201,11.8303,0.645201,11.8479
611,-0.556208,11.8503,0.556208,11.8634
612,-0.467615,11.8703,0.467615,11.8795
613,-0.379397,11.8903,0.379397,11.8964
614,-0.291527,11.9103,0.291527,11.9138
615,-0.20398,11.9302,0.20398,11.9319
616,-0.116734,11.95,0.116734,11.9506
617,-0.0297631,11.9699,0.0297631,11.9699
618,0.0569535,11.9897,0.0569535,11.9898
619,0.143438,12.0095,0.143438,12.0103
620,0.229712,12.0292,0.229712,12.0314
621,0.315795,12.0489,0.315795,12.0531
622,0.401708,12.0686,0.401708,12.0753
623,0.48747,12.0883,0.48747,12.0981
624,0.573101,12.1079,0.573101,12.1214
625,0.658619,12.1275,0.658619,12.1454
626,0.744041,12.1471,0.744041,12.1698
627,0.829387,12.1666,0.829387,12.1949
628,0.914673,12.1861,0.914673,12.2204
629,0.999917,12.2056,0.999917,12.2465
630,1.08514,12.2251,1.08514,12.2732
631,1.17034,12.2445,1.17034,12.3003
632,1.25556,12.2639,1.25556,12.328
633,1.3408,12.2833,1.3408,12.3563
634,1.42608,12.3027,1.42608,12.3851
635,1.51142,12.322,1.51142,12.4144
636,1.59682,12.3413,1.59682,12.4442
637,1.68231,12.3606,1.68231,12.4746
638,1.76791,12.3799,1.76791,12.5055
639,1.85361,12.3991,1.85361,12.5369
640,1.93946,12.4183,1.93946,12.5689
641,2.02544,12.4375,2.02544,12.6014
642,2.11159,12.4567,2.11159,12.6344
643,2.19792,12.4758,2.19792,12.6679
644,2.28443,12.4949,2.28443,12.702
645,2.37116,12.514,2.37116,12.7366
646,2.4581,12.533,2.4581,12.7718
