k_per_nm,E11_eV,E12_eV,E21_eV,E22_eV
0,1.4933526957039993,1.5283667159019991,1.6132174157740005,1.6482314359720003
0.0037047629282133,1.4933635117239492,1.5283714336173997,1.6132271369967996,1.6482350588902501
0.0074095258564266997,1.4933958505488001,1.5283855586344499,1.6132559360254504,1.6482456441111002
0.01111428878464,1.4934497416669992,1.5284091540446489,1.61330392998195,1.6482633423595998
0.014819051712853,1.4935251734360986,1.5284422991120987,1.6133711079812503,1.6482882336572504
0.018523814641067001,1.4936221295420486,1.5284851032488991,1.6134574547692997,1.6483204284761501
0.022228577569280001,1.4937406001553495,1.5285377115425991,1.6135629902889501,1.6483601016761997
0.025933340497493001,1.4938805489686493,1.5286002822666998,1.6136876529483499,1.6484073862464004
0.029638103425707,1.4940419449689488,1.5286730046350989,1.6138314122153001,1.6484624718814502
0.033342866353920003,1.4942247529747503,1.5287560905708002,1.6139942351703505,1.6485255727664003
0.037047629282133003,1.4944289330234997,1.5288497718411502,1.6141760844122499,1.6485969232299005
0.040752392210347002,1.4946544403373496,1.52895429746845,1.6143769180229002,1.6486767751540006
0.044457155138560002,1.4949012252849496,1.5290699311138498,1.6145966895278006,1.6487653953567007
0.048161918066773002,1.4951692333382993,1.5291969484933494,1.6148353478520001,1.6488630630070502
0.051866680994987001,1.4954584050265487,1.5293356348763991,1.6150928372723496,1.6489700671222001
0.055571443923200001,1.4957686758847502,1.5294862827102502,1.6153690973649499,1.64908670419045
0.059276206851413001,1.4960999763987497,1.5296491894036004,1.6156640629483492,1.6492132759531999
0.062980969779627,1.4964522319455498,1.5298246552963501,1.6159776640223995,1.6493500873731999
0.066685732707840006,1.4968253627299994,1.5300129818313994,1.6163098257033501,1.6494974448047501
0.070390495636052999,1.4972192837170486,1.5302144699385485,1.6166604681538999,1.6496556543753997
0.074095258564267005,1.4976339045600995,1.5304294186328495,1.6170295065098503,1.6498250205826004
0.077800021492479998,1.4980691295254494,1.5306581238246997,1.61741685080245,1.6500058451017003
0.081504784420693005,1.4985248574134495,1.5309008773338499,1.6178224058771995,1.6501984257975999
0.085209547348906997,1.4990009814758498,1.5311579660960497,1.6182460713090501,1.65040305592925
0.088914310277120004,1.4994973893302499,1.5314296715478504,1.6186877413149998,1.6506200235326003
0.092619073205332997,1.5000139628721485,1.5317162691754493,1.6191473046624993,1.6508496109658002
0.096323836133547003,1.5005505781849495,1.5320180282099995,1.6196246445782003,1.6510920946032503
0.10002859906176,1.5011071054478997,1.5323352114527999,1.6201196386523999,1.6513477446573002
0.10373336198997,1.5016834088447004,1.5326680752137003,1.6206321587453505,1.6516168251143504
0.10743812491819001,1.5022793464708502,1.5330168693469504,1.6211620708914498,1.65189959376755
0.1111428878464,1.5028947702438995,1.5333818373684496,1.6217092352069995,1.6521963023315496
0.11484765077461,1.5035295137529989,1.5337632080126493,1.6222734625756494,1.6525071568352998
0.11855241370283,1.5041834223834496,1.5341612168380001,1.6228546226037499,1.6528324170583004
0.12225717663103999,1.5048563351261997,1.5345760939827997,1.6234525789850001,1.6531723378416001
0.12596193955925,1.5055480783693487,1.5350080599384492,1.6240671673182001,1.6535271488873007
0.12966670248747,1.506258471949,1.5354573301977004,1.6246982168936996,1.6538970751424
0.13337146541568001,1.5069873291045994,1.53592411559175,1.6253455506455994,1.65428233713275
0.13707622834388999,1.5077344564509494,1.5364086226267499,1.6260089851205002,1.6546831512963007
0.14078099127211,1.5084996539700992,1.5369110538111497,1.6266883304658497,1.6550997303069002
0.14448575420032,1.5092827150272996,1.5374316079675499,1.6273833904418005,1.6555322833820507
0.14819051712853001,1.510083426414399,1.5379704805179495,1.62809396246155,1.6559810165651005
0.15189528005674999,1.5109015684253493,1.5385278637387998,1.628819837662699,1.6564461329761495
0.15560004298496,1.5117369149685487,1.5391039469756986,1.6295608010161502,1.6569278330233002
0.15930480591317001,1.5125892337218494,1.5396989168133497,1.6303166314769999,1.6574263145685002
0.16300956884139001,1.5134582863330996,1.5403129571925001,1.6310871021815998,1.6579417730410002
0.16671433176959999,1.5143438286740987,1.5409462494690986,1.63187198069685,1.65847440149185
0.17041909469781,1.515245611150599,1.541598972408599,1.6326710293269,1.6590243905849
0.17412385762603,1.5161633790748488,1.5422713021116992,1.6334840054812501,1.6595919285181004
0.17782862055424001,1.5170968731031993,1.5429634118645996,1.63431066210875,1.6601772008701503
0.18153338348244999,1.5180458297454493,1.5436754719133994,1.635150748202,1.6607803903699501
0.18523814641066999,1.5190099819445992,1.5444076491561489,1.6360040093738009,1.6614016765853505
0.18894290933888,1.5199890597331989,1.5451601067539493,1.6368701885085997,1.6620412355293501
0.19264767226709001,1.5209827909628497,1.5459330036583001,1.6377490264883499,1.6626992391838002
0.19635243519531001,1.52199090210865,1.5467264940586496,1.6386402629923003,1.6633758549422999
0.20005719812351999,1.523013119144949,1.5475407267512988,1.63954363736845,1.6640712449747999
0.20376196105173,1.5240491684870501,1.5483758444346503,1.6404588895710501,1.6647855655186503
0.20746672397995,1.5250987779940497,1.5492319829386503,1.6413857611593003,1.6655189661039009
0.21117148690816001,1.5261616780248499,1.5501092703953008,1.6423239963486995,1.6662715887191504
0.21487624983636999,1.5272376025372998,1.5510078263608502,1.6432733431054494,1.6670435669289998
0.21858101276458999,1.5283262902187993,1.5519277609001501,1.6442335542736,1.6678350249549507
0.2222857756928,1.5294274856403993,1.5528691736467488,1.6452043887240497,1.6686460767303992
0.22599053862101001,1.5305409404175496,1.5538321528491497,1.6461856125107006,1.6694768249423007
0.22969530154923001,1.5316664143681502,1.5548167744177999,1.6471770000247499,1.6703273600743995
0.23340006447743999,1.5328036766550499,1.5558231009849002,1.6481783351321997,1.67119775946205
0.23710482740565,1.5339525069007001,1.5568511809880006,1.6491894122841499,1.6720880863714505
0.24080959033387001,1.5351126962637995,1.55790104779045,1.6502100375892492,1.6729983891158997
0.24451435326207999,1.5362840484683,1.5589727188477003,1.6512400298378,1.6739287002172003
