wavelength_nm,term_number,term,reference_real,reference_imag,current_real,current_imag,absolute_difference,status
600,1,C_m1_n1_l1,33.06003350878388,0.4807883798171732,33.06003350878388,0.48078837981717326,5.551115123125783e-17,pass
600,2,C_m1_n1_l2,-0.3258979454365676,-0.0067700554091902985,-0.32589794543656764,-0.0067700554091902985,5.551115123125783e-17,pass
600,3,V_m1_n1_l1,-32.870018980043234,-0.47802501971983213,-32.870018980043234,-0.47802501971983213,0.0,pass
600,4,V_m1_n1_l2,-0.06398785166116668,-0.0010146177026539133,-0.06398785166116668,-0.0010146177026539133,0.0,pass
600,5,C_m1_n2_l1,-0.2380120055973453,-0.003486778139954874,-0.2380120055973453,-0.003486778139954874,0.0,pass
600,6,C_m1_n2_l2,0.5301780787585441,0.011072836811145273,0.5301780787585441,0.011072836811145275,1.734723475976807e-18,pass
600,7,V_m1_n2_l1,-0.35943531818701113,-0.007506852474486077,-0.35943531818701113,-0.007506852474486077,0.0,pass
600,8,V_m1_n2_l2,0.21523072000707602,0.0052314021171082775,0.21523072000707597,0.005231402117108278,5.551792708129603e-17,pass
600,9,C_m2_n1_l1,0.009041674020535451,0.00014364286102536532,0.009041674020535453,0.00014364286102536532,1.734723475976807e-18,pass
600,10,C_m2_n1_l2,0.027416079433005128,0.000664117907289682,0.027416079433005124,0.000664117907289682,3.469446951953614e-18,pass
600,11,V_m2_n1_l1,-0.05919391973876759,-0.000862631232909663,-0.05919391973876759,-0.0008626312329096632,2.168404344971009e-19,pass
600,12,V_m2_n1_l2,-0.009045666159604721,-0.0001437062831611577,-0.009045666159604721,-0.0001437062831611577,0.0,pass
600,13,C_m2_n2_l1,0.019055003361040133,0.0003048341345373057,0.019055003361040133,0.0003048341345373057,0.0,pass
600,14,C_m2_n2_l2,13.05653633581554,0.3178192222853188,13.05653633581554,0.3178192222853188,0.0,pass
600,15,V_m2_n2_l1,0.18948173188966388,0.003963940823967146,0.18948173188966388,0.003963940823967148,1.734723475976807e-18,pass
600,16,V_m2_n2_l2,-8.906806311760304,-0.21680744281962075,-8.906806311760304,-0.21680744281962078,2.7755575615628914e-17,pass
600,17,TOTAL,4.274575133485287,0.10537127297575619,4.274575133485275,0.10537127297575626,1.2434691481825325e-14,pass
1000,1,C_m1_n1_l1,-106.18601260681291,0.8203717089101834,-106.18601260681291,0.8203717089101835,1.1102230246251565e-16,pass
1000,2,C_m1_n1_l2,0.5499571605554091,-0.0022907461680443776,0.5499571605554091,-0.002290746168044377,4.336808689942018e-19,pass
1000,3,V_m1_n1_l1,105.5757021200141,-0.8156565732277195,105.57570212001409,-0.8156565732277197,1.4212589332811784e-14,pass
1000,4,V_m1_n1_l2,0.17117794574663622,-0.0011016895789877062,0.17117794574663622,-0.0011016895789877062,0.0,pass
1000,5,C_m1_n2_l1,0.8475574492924229,-0.005663845276932113,0.8475574492924229,-0.0056638452769321125,8.673617379884035e-19,pass
1000,6,C_m1_n2_l2,-0.9926013085960419,0.003108209376013655,-0.9926013085960417,0.003108209376013654,2.220462989844635e-16,pass
1000,7,V_m1_n2_l1,0.6729360972892021,-0.002107216934874667,0.6729360972892021,-0.0021072169348746676,4.336808689942018e-19,pass
1000,8,V_m1_n2_l2,-0.3264897911878466,0.000793110045862922,-0.3264897911878466,0.000793110045862922,0.0,pass
1000,9,C_m2_n1_l1,-0.024875973675706417,0.00015337263062202452,-0.02487597367570642,0.00015337263062202452,3.469446951953614e-18,pass
1000,10,C_m2_n1_l2,-0.03855313143327768,0.00012311463649611099,-0.03855313143327768,0.00012311463649611096,2.710505431213761e-20,pass
1000,11,V_m2_n1_l1,0.19552063779464413,-0.0014574597759610586,0.19552063779464418,-0.0014574597759610584,5.551157474611588e-17,pass
1000,12,V_m2_n1_l2,0.024886957078356343,-0.00015344034870934685,0.024886957078356343,-0.0001534403487093469,5.421010862427522e-20,pass
1000,13,C_m2_n2_l1,-0.05852441580264701,0.00029387014496587525,-0.058524415802647035,0.0002938701449658752,2.775562855513763e-17,pass
1000,14,C_m2_n2_l2,-20.508652190495937,0.042161229348887955,-20.508652190495944,0.04216122934888796,7.105430745731983e-15,pass
1000,15,V_m2_n2_l1,-0.36732186736370886,0.0010129360716404894,-0.3673218673637088,0.0010129360716404899,5.551284527130373e-17,pass
1000,16,V_m2_n2_l2,13.990432690401288,-0.02876121920988727,13.99043269040129,-0.02876121920988727,1.7763568394002505e-15,pass
1000,17,TOTAL,-6.474860227196018,0.01082536064355646,-6.47486022719602,0.01082536064355643,1.776631256878701e-15,pass
1100,1,C_m1_n1_l1,-111.29599524616752,0.22520285328632908,-111.29599524616751,0.22520285328632908,1.4210854715202004e-14,pass
1100,2,C_m1_n1_l2,0.6134519908047684,5.061486485704007e-05,0.6134519908047684,5.061486485704007e-05,0.0,pass
1100,3,V_m1_n1_l1,110.65631482715638,-0.22390848635754546,110.65631482715641,-0.2239084863575454,2.842176364046093e-14,pass
1100,4,V_m1_n1_l2,0.18339674024125158,-0.00023847577554762705,0.18339674024125155,-0.00023847577554762705,2.7755575615628914e-17,pass
1100,5,C_m1_n2_l1,0.9491818544983792,0.00012600320401429406,0.9491818544983794,0.00012600320401429403,2.2204460657939253e-16,pass
1100,6,C_m1_n2_l2,-1.1832719567001102,-0.002649290232404488,-1.1832719567001102,-0.002649290232404488,0.0,pass
1100,7,V_m1_n2_l1,0.8022016550630864,0.0017960917582330383,0.8022016550630864,0.0017960917582330383,0.0,pass
1100,8,V_m1_n2_l2,-0.3942937271403817,-0.0010637646249946275,-0.3942937271403817,-0.0010637646249946275,0.0,pass
1100,9,C_m2_n1_l1,-0.02710219920570277,2.090695247598818e-05,-0.02710219920570277,2.0906952475988166e-05,1.3552527156068805e-20,pass
1100,10,C_m2_n1_l2,-0.04430219428447276,-4.7388207990633344e-05,-0.04430219428447275,-4.7388207990633344e-05,1.3877787807814457e-17,pass
1100,11,V_m2_n1_l1,0.20839189821208662,-0.0003113978865324141,0.20839189821208665,-0.0003113978865324141,2.7755575615628914e-17,pass
1100,12,V_m2_n1_l2,0.027114165546013917,-2.0916183450430432e-05,0.027114165546013917,-2.0916183450430432e-05,0.0,pass
1100,13,C_m2_n2_l1,-0.06871657994414325,-0.00011860454474991424,-0.06871657994414325,-0.00011860454474991424,0.0,pass
1100,14,C_m2_n2_l2,-25.40511953674672,-0.09069911408447122,-25.405119536746724,-0.09069911408447122,3.552713678800501e-15,pass
1100,15,V_m2_n2_l1,-0.44913567545703115,-0.0013970892791425255,-0.44913567545703126,-0.0013970892791425255,1.1102230246251565e-16,pass
1100,16,V_m2_n2_l2,17.330666665416732,0.06187241554888046,17.33066666541673,0.06187241554888046,3.552713678800501e-15,pass
