|k|[1/nm]            Band_1[eV]           Band_2[eV]           Band_3[eV]           Band_4[eV]           Band_5[eV]           Band_6[eV]           Band_7[eV]           Band_8[eV]           Band_9[eV]           Band_10[eV]          Band_11[eV]          Band_12[eV]          Band_13[eV]          Band_14[eV]         
0                    1.3976942530797      1.3976942530798      1.4167478423565      1.4167478423565      1.4437721218703      1.4437721218703      2.3390669310193      2.3390669310193      2.3390988947366      2.3390988947366      2.9525116792099      2.9525116792099      3.0911484520154      3.0911484520155
0.0018523814641067   1.3976925903202      1.3976925925091      1.4167270162326      1.4167701667967      1.4437713298095      1.4437713308021      2.3389973704232      2.3390292990035      2.339171760087       2.3392036746874      2.9525099569034      2.9525172805499      3.091144042146       3.0911563227881
0.0037047629282133   1.397687597067       1.3976876145655      1.4167076351575      1.4167939134415      1.4437689515383      1.4437689594792      2.3389122198445      2.3389441542096      2.3392609858259      2.3392928922337      2.9525120053114      2.9525266524252      3.091142726354       3.0911672873994
0.00555714439232     1.3976792704984      1.397679329484       1.4166897289004      1.4168190892792      1.4437649845202      1.4437650113227      2.3388286241992      2.338860561931       2.3393517665848      2.3393836623858      2.9525178609995      2.9525398312231      3.0911446284419      3.0911814694137
0.0074095258564267   1.3976676093882      1.3976677489674      1.4166733036549      1.4168456778514      1.4437594263854      1.4437594899238      2.3387465847994      2.3387785242534      2.339444100186       2.3394759837424      2.9525275239405      2.9525568167375      3.0911497484594      3.091198868643
0.0092619073205333   1.3976526146779      1.397652886697       1.41665836349        1.4168736607683      1.4437522750058      1.443752399121       2.3386661024213      2.338698042045       2.3395379856342      2.3395698554021      2.9525409940607      2.9525776087164      3.091158086429       3.0912194848716
0.01111428878464     1.3976342894852      1.3976347582798      1.4166449103442      1.4169030177639      1.4437435284943      1.4437437430007      2.3385871777247      2.3386191159877      2.3396334220852      2.3396652765453      2.9525582712396      2.9526022068606      3.091169642345       3.0912433178562
0.012966670248747    1.3976126391055      1.3976133811925      1.4166329440277      1.4169337267572      1.4437331852045      1.4437335258992      2.3385098113211      2.3385417467012      2.3397304087221      2.3397622463651      2.9525793553104      2.9526306108249      3.0911844161744      3.0912703673257
0.014819051712853    1.3975876710058      1.3975887747196      1.4166224622316      1.4169657639182      1.4437212437302      1.4437217524032      2.3384340037927      2.3384659347711      2.3398289447268      2.339860764049       2.9526042460595      2.9526628202173      3.0912024078564      3.0913006329818
0.01667143317696     1.3975593948129      1.3975609598897      1.4166134605457      1.4169991037388      1.4437077029043      1.4437084273517      2.3383597556982      2.3383916807582      2.3399290292706      2.3399608287729      2.9526329432266      2.9526988345994      3.0912236173023      3.0913341144981
0.018523814641067    1.3975278222937      1.3975299594077      1.4166059324837      1.4170337191073      1.4436925617992      1.4436935558371      2.3382870675757      2.3383189852025      2.3400306615109      2.3400624396979      2.9526654465052      2.9527386534864      3.0912480443961      3.0913708115211
0.020376196105173    1.3974929673702      1.3974957976247      1.4165998715209      1.417069583333       1.4436758197298      1.4436771432101      2.3382180060363      2.3382499149852      2.3401359044048      2.3401676600556      2.9527017608289      2.9527822816586      3.0912757077287      3.0914107424667
0.02222857756928     1.3974548459895      1.3974585003692      1.4165952653291      1.4171066645814      1.4436574762438      1.4436591950728      2.3381507326758      2.3381826314639      2.3402429197643      2.3402746514206      2.9527418810876      2.9528297138109      3.0913065904414      3.0914538901954
0.024080959033387    1.3974134761645      1.397418094952       1.4165921011934      1.4171449311919      1.4436375311287      1.4436397172865      2.3380850207622      2.3381169078788      2.3403514797134      2.340383185891       2.9527858062531      2.9528809487348      3.0913406902735      3.091500252203
0.025933340497493    1.3973688779188      1.3973746100807      1.4165903647149      1.4171843504412      1.4436159844109      1.4436187159729      2.3380208707621      2.3380527446984      2.3404615833481      2.3404932625666      2.9528335358325      2.9529359857598      3.0913780069975      3.0915498280253
0.0277857219616      1.3973210732383      1.3973280757851      1.4165900396479      1.4172248884146      1.4435928363544      1.4435961975149      2.3379582831236      2.3379901423727      2.3405732297474      2.3406048805306      2.9528850692865      2.9529948241692      3.0914185403585      3.0916026171706
0.029638103425707    1.3972700860228      1.3972785233486      1.4165911079647      1.4172665100915      1.4435680874616      1.4435721685585      2.3378972582765      2.3379291013337      2.3406864179733      2.3407180388494      2.9529404060292      2.9530574632         3.0914622900737      3.0916586191193
0.031490484889813    1.3972159420352      1.3972259852412      1.4165935499237      1.4173091794319      1.4435417384726      1.4435466360151      2.3378377966325      2.3378696219957      2.340801147071       2.3408327365727      2.9529995454286      2.953123902043       3.0915092558329      3.091717833325
