wavelength_nm,min_detuning_eV,near_mask,off_mask,abs_Im_over_Re,ratio_valid
400,1.2952018094796496,0,1,0.0047837033040359937,1
401,1.2874721213000986,0,1,0.0048085038925005184,1
402,1.2797808892806448,0,1,0.0048334466919563541,1
403,1.2721278271471435,0,1,0.0048585330365172822,1
404,1.2645126514598477,0,1,0.0048837642775827325,1
405,1.256935081578415,0,1,0.0049091417841227959,1
406,1.249394839627433,0,1,0.0049346669429684202,1
407,1.2418916504624504,0,1,0.0049603411591083654,1
408,1.2344252416365125,0,1,0.004986165855991067,1
409,1.2269953433671801,0,1,0.0050121424758332129,1
410,1.2196016885040399,0,1,0.0050382724799345668,1
411,1.2122440124966811,0,1,0.0050645573489988627,1
412,1.2049220533631448,0,1,0.0050909985834617887,1
413,1.1976355516588262,0,1,0.0051175977038251663,1
414,1.1903842504458333,0,1,0.0051443562509980835,1
415,1.1831678952627822,0,1,0.005171275786645722,1
416,1.1759862340950344,0,1,0.005198357893544378,1
417,1.1688390173453569,0,1,0.0052256041759446365,1
418,1.1617259978050085,0,1,0.0052530162599418798,1
419,1.1546469306252343,0,1,0.0052805957938546234,1
420,1.1476015732891733,0,1,0.0053083444486105927,1
421,1.1405896855841626,0,1,0.0053362639181411672,1
422,1.1336110295744364,0,1,0.00536435591978423,1
423,1.1266653695742121,0,1,0.005392622194695342,1
424,1.1197524721211591,0,1,0.0054210645082677618,1
425,1.1128721059502378,0,1,0.0054496846505619088,1
426,1.1060240419679124,0,1,0.0054784844367431014,1
427,1.0992080532267221,0,1,0.0055074657075297974,1
428,1.0924239149002104,0,1,0.0055366303296507987,1
429,1.0856714042582043,0,1,0.0055659801963128521,1
430,1.0789503006424401,0,1,0.0055955172276780469,1
431,1.0722603854425268,0,1,0.0056252433713519685,1
432,1.0656014420722424,0,1,0.0056551606028828723,1
433,1.0589732559461624,0,1,0.0056852709262710582,1
434,1.0523756144566083,0,1,0.0057155763744900136,1
435,1.0458083069509141,0,1,0.0057460790100194439,1
436,1.0392711247090074,0,1,0.00577678092538997,1
437,1.032763860921297,0,1,0.0058076842437395099,1
438,1.026286310666864,0,1,0.0058387911193830567,1
439,1.0198382708919502,0,1,0.0058701037383949864,1
440,1.0134195403887407,0,1,0.0059016243192040905,1
441,1.0070299197744341,0,1,0.0059333551132032432,1
442,1.0006692114706,0,1,0.0059652984053718593,1
443,0.99433721968280997,0,1,0.0059974565149135631,1
444,0.98803375038055075,0,1,0.0060298317959077532,1
445,0.9817586112774026,0,1,0.0060624266379772241,1
446,0.97551161181148816,0,1,0.0060952434669701988,1
447,0.96929256312618195,0,1,0.0061282847456594035,1
448,0.96310127805107815,0,1,0.0061615529744563765,1
449,0.95693757108321309,0,1,0.0061950506921436884,1
450,0.95080125836853835,0,1,0.0062287804766239328,1
451,0.94469215768364068,0,1,0.0062627449456860509,1
452,0.93861008841770266,0,1,0.006296946757790964,1
453,0.93255487155470496,0,1,0.0063313886128751485,1
454,0.92652632965586124,0,1,0.0063660732531737197,1
455,0.92052428684228715,0,1,0.0064010034640637672,1
456,0.91454856877789537,0,1,0.0064361820749277059,1
457,0.90859900265251614,0,1,0.0064716119600376314,1
458,0.90267541716523914,0,1,0.0065072960394615608,1
459,0.89677764250797187,0,1,0.0065432372799917992,1
460,0.89090551034921495,0,1,0.0065794386960962101,1
461,0.88505885381804461,0,1,0.0066159033508929668,1
462,0.87923750748830765,0,1,0.0066526343571496347,1
463,0.87344130736301917,0,1,0.0066896348783070554,1
464,0.86767009085895985,0,1,0.0067269081295293779,1
465,0.8619236967914774,0,1,0.0067644573787797348,1
466,0.85620196535947812,0,1,0.0068022859479241757,1
467,0.85050473813061345,0,1,0.0068403972138625551,1
468,0.84483185802665828,0,1,0.0068787946096895885,1
469,0.83918316930907411,0,1,0.0069174816258842026,1
470,0.83355851756475596,0,1,0.0069564618115309099,1
471,0.82795774969196367,0,1,0.0069957387755719795,1
472,0.82238071388642942,0,1,0.0070353161880924997,1
473,0.81682725962764113,0,1,0.0070751977816389446,1
474,0.81129723766530359,0,1,0.0071153873525721459,1
475,0.80579050000596553,0,1,0.0071558887624564417,1
476,0.80030689989981774,0,1,0.007196705939485265,1
477,0.7948462918276582,0,1,0.0072378428799446705,1
478,0.78940853148801793,0,1,0.0072793036497159763,1
479,0.78399347578445111,0,1,0.0073210923858190733,1
480,0.77860098281298296,0,1,0.0073632132979974127,1
481,0.77323091184971204,0,1,0.0074056706703453127,1
482,0.76788312333857078,0,1,0.007448468862980573,1
483,0.76255747887923553,0,1,0.0074916123137620683,1
484,0.7572538412151868,0,1,0.0075351055400553913,1
485,0.75197207422191781,0,1,0.0075789531405466726,1
486,0.74671204289528736,0,1,0.0076231597971071667,1
487,0.74147361334001927,0,1,0.0076677302767097803,1
