k_per_nm,e1_eV,e2_eV,h1_eV,h2_eV
0,2.9525116792099002,3.09114845201545,1.4437721218702999,1.4167478423565001
0.0023154768301333001,2.9525146893417,3.0911510869128001,1.4437708850173498,1.4167490008815
0.0046309536602667,2.9525236116083002,3.09115862570075,1.44376717453145,1.4167524104670002
0.0069464304904000001,2.95253848238535,3.0911711920028,1.44376099138305,1.41675808505015
0.0092619073205332993,2.9525593013885501,3.0911887856503002,1.4437523370634,1.4167660121291501
0.011577384150666999,2.9525860682197003,3.0912114064071003,1.44374121366065,1.41677617429645
0.0138928609808,2.9526187823671002,3.0912390539694501,1.4437276238615,1.4167885493318499
0.016208337810933001,2.95265744320545,3.0912717279661504,1.4437115709518,1.4168031103208001
0.018523814641067001,2.9527020499957999,3.0913094279586,1.44369305881815,1.4168198257954998
0.020839291471199999,2.9527526086550999,3.09135217741315,1.4436720919544501,1.41683866241945
0.023154768301332999,2.9528091120269497,3.0913999538369001,1.4436486754515501,1.4168595777964001
0.025470245131466999,2.9528715584488001,3.09145275452375,1.4436228150088501,1.4168825276265999
0.0277857219616,2.9529399467278497,3.09151057876455,1.4435945169347,1.41690746403125
0.030101198791733001,2.9530142755584001,3.0915734257829,1.4435637881486998,1.4169343355602499
0.032416675621867001,2.9530945435214999,3.0916412947351501,1.4435306361847502,1.4169630874274999
0.034732152452000002,2.9531807490858499,3.0917141847106002,1.4434950691938502,1.4169936617538998
0.037047629282133003,2.9532728906071499,3.0917920947314501,1.4434570959480499,1.4170259978146
0.039363106112267003,2.9533709663289001,3.0918750237529498,1.4434167258435,1.4170600322891
0.041678582942399997,2.9534749743823001,3.0919629706634,1.4433739689045999,1.4170956995115001
0.043994059772532998,2.9535849127863498,3.0920559342843501,1.44332883578835,1.4171329317185002
0.046309536602666998,2.9537007794481998,3.0921539133704998,1.4432813377887501,1.4171716592939501
0.048625013432799999,2.9538225721635998,3.0922569066100003,1.4432314868411,1.4172118110074501
0.050940490262933,2.9539502886165501,3.0923649126243999,1.4431792955275999,1.4172533142454999
0.053255967093067,2.9540839263800001,3.0924779299687,1.4431247770821001,1.41729609523475
0.055571443923200001,2.9542234829160003,3.0925959571317501,1.4430679453956501,1.41734007925435
0.057886920753333002,2.95436895557595,3.09271899253595,1.4430088150225,1.4173851908385
0.060202397583467002,2.95452034160065,3.0928470345377503,1.4429474011859,1.4174313539668999
0.062517874413600003,2.9546776381209998,3.09298008142735,1.44288371978435,1.4174784922431001
0.064833351243733003,2.95484084215795,3.0931181314293497,1.4428177873983499,1.41752652906065
