x[nm]                    E_14_real[eV]            Psi_14_lh2_real[nm^-1/2] E_14_imag[eV]            Psi_14_lh2_imag[nm^-1/2]
7.1142317671146          3.0911484520155          3.0907692549507          3.0911484520155          3.0925304537503
7.260978922993           3.0911484520155          3.098346815116           3.0911484520155          3.0649136753889
7.4003918486039          3.0911484520155          3.0970257234671          3.0911484520155          3.0697284567258
7.532837099151           3.0911484520155          3.0971381045362          3.0911484520155          3.0693188785754
7.6586629098899          3.0911484520155          3.0971155817233          3.0911484520155          3.0694009640379
7.7782001117354          3.0911484520155          3.0971532716497          3.0911484520155          3.0692636013088
7.891763001107           3.0911484520155          3.09722921891            3.0911484520155          3.068986807907
7.9996501663019          3.0911484520155          3.097340610719           3.0911484520155          3.0685808351622
8.1021452725658          3.0911484520155          3.0974832128598          3.0911484520155          3.0680611148789
8.1995178079279          3.0911484520155          3.097653061288           3.0911484520155          3.0674420942051
8.2920237917592          3.0911484520155          3.0978465095976          3.0911484520155          3.0667370626419
8.3799064479186          3.0911484520155          3.0980602091096          3.0911484520155          3.0659582246083
8.4633968442558          3.0911484520155          3.0982908759101          3.0911484520155          3.0651175484847
8.5427145001525          3.0911484520155          3.0985342546875          3.0911484520155          3.0642305429571
8.6180679636999          3.0911484520155          3.0987810152166          3.0911484520155          3.0633312124744
8.6896553600291          3.0911484520155          3.0990444373061          3.0911484520155          3.0623711581425
8.7576649122373          3.0911484520155          3.0992962323548          3.0911484520155          3.0614534791138
8.8222754362784          3.0911484520155          3.0995204482516          3.0911484520155          3.0606363136156
8.8836568111193          3.0911484520155          3.0997140469471          3.0911484520155          3.0599307339636
8.9419704253995          3.0911484520155          3.0998767682001          3.0911484520155          3.0593376886191
8.9973696017656          3.0911484520155          3.1000092422805          3.0911484520155          3.0588548805335
9.05                     3.0911484520155          3.1001125373326          3.0911484520155          3.0584784168041
9.1                      3.0911484520155          3.1001880226093          3.0911484520155          3.0582033071236
9.15                     3.0911484520155          3.100239237997           3.0911484520155          3.0580166502079
9.2                      3.0911484520155          3.100264018868           3.0911484520155          3.0579263351451
9.25                     3.0911484520155          3.100260325112           3.0911484520155          3.0579397972143
9.3                      3.0911484520155          3.100226378319           3.0911484520155          3.0580635179159
9.35                     3.0911484520155          3.1001608559104          3.0911484520155          3.0583023174496
9.4                      3.0911484520155          3.1000631584505          3.0911484520155          3.0586583804881
9.45                     3.0911484520155          3.0999337719589          3.0911484520155          3.0591299357094
9.5                      3.0911484520155          3.0997747540159          3.0911484520155          3.0597094841648
9.55                     3.0911484520155          3.0995903814005          3.0911484520155          3.0603814389291
9.6                      3.0911484520155          3.0993880086485          3.0911484520155          3.0611189960473
