x[nm]                   E_10_real[eV]           Psi_10_y2_real[nm^-1/2] E_10_imag[eV]           Psi_10_y2_imag[nm^-1/2]
7.1142317671146         2.3390988947366         2.3390767859583         2.3390988947366         2.3390800653092
7.260978922993          2.3390988947366         2.3385819031266         2.3390988947366         2.3386585874584
7.4003918486039         2.3390988947366         2.3384286141985         2.3390988947366         2.3385280355705
7.532837099151          2.3390988947366         2.3383895594914         2.3390988947366         2.3384947737701
7.6586629098899         2.3390988947366         2.3384098871094         2.3390988947366         2.3385120862331
7.7782001117354         2.3390988947366         2.3384553778723         2.3390988947366         2.3385508294421
7.891763001107          2.3390988947366         2.3385095816547         2.3390988947366         2.3385969932858
7.9996501663019         2.3390988947366         2.3385644237183         2.3390988947366         2.3386437007358
8.1021452725658         2.3390988947366         2.3386161481583         2.3390988947366         2.338687752993
8.1995178079279         2.3390988947366         2.3386631953677         2.3390988947366         2.3387278217839
8.2920237917592         2.3390988947366         2.338705103023          2.3390988947366         2.3387635133605
8.3799064479186         2.3390988947366         2.3387419328931         2.3390988947366         2.3387948803296
8.4633968442558         2.3390988947366         2.3387739726317         2.3390988947366         2.3388221676778
8.5427145001525         2.3390988947366         2.3388015843103         2.3390988947366         2.3388456837714
8.6180679636999         2.3390988947366         2.3388251374036         2.3390988947366         2.3388657432814
8.6896553600291         2.3390988947366         2.3388449897039         2.3390988947366         2.3388826509297
8.7576649122373         2.3390988947366         2.3388618005155         2.3390988947366         2.3388969682273
8.8222754362784         2.3390988947366         2.338876172205          2.3390988947366         2.3389092081928
8.8836568111193         2.3390988947366         2.3388885621749         2.3390988947366         2.3389197603833
8.9419704253995         2.3390988947366         2.3388993230107         2.3390988947366         2.3389289250858
8.9973696017656         2.3390988947366         2.3389087307382         2.3390988947366         2.3389369373839
9.05                    2.3390988947366         2.3389170046162         2.3390988947366         2.3389439840141
9.1                     2.3390988947366         2.3389243211363         2.3390988947366         2.3389502152894
9.15                    2.3390988947366         2.3389311561853         2.3390988947366         2.3389560365093
9.2                     2.3390988947366         2.3389375521671         2.3390988947366         2.3389614837878
9.25                    2.3390988947366         2.3389435487845         2.3390988947366         2.338966590939
9.3                     2.3390988947366         2.3389491838623         2.3390988947366         2.3389713901769
9.35                    2.3390988947366         2.3389544940535         2.3390988947366         2.3389759127181
9.4                     2.3390988947366         2.3389595154356         2.3390988947366         2.3389801892886
9.45                    2.3390988947366         2.3389642839834         2.3390988947366         2.3389842505273
9.5                     2.3390988947366         2.3389688358919         2.3390988947366         2.3389881272603
9.55                    2.3390988947366         2.3389732077018         2.3390988947366         2.3389918506084
9.6                     2.3390988947366         2.3389774361611         2.3390988947366         2.3389954518687
9.65                    2.3390988947366         2.3389815597123         2.3390988947366         2.3389989637818
9.7                     2.3390988947366         2.3389855925204         2.3390988947366         2.3390023984116
