x[nm]                   E_2_real[eV]            Psi_2_hh2_real[nm^-1/2] E_2_imag[eV]            Psi_2_hh2_imag[nm^-1/2]
7.1142317671146         1.3976942530798         1.3976061512907         1.3976942530798         1.3976521589642
7.260978922993          1.3976942530798         1.3957101826446         1.3976942530798         1.3967462849277
7.4003918486039         1.3976942530798         1.3938165882593         1.3976942530798         1.3958415452882
7.532837099151          1.3976942530798         1.391854675295          1.3976942530798         1.3949041637444
7.6586629098899         1.3976942530798         1.3897693265311         1.3976942530798         1.3939078058636
7.7782001117354         1.3976942530798         1.3875169106893         1.3976942530798         1.3928316250761
7.891763001107          1.3976942530798         1.3850626262235         1.3976942530798         1.3916589935664
7.9996501663019         1.3976942530798         1.3823787696244         1.3976942530798         1.3903766748867
8.1021452725658         1.3976942530798         1.3794435974088         1.3976942530798         1.3889742802278
8.1995178079279         1.3976942530798         1.3762405645734         1.3976942530798         1.3874439045595
8.2920237917592         1.3976942530798         1.3727577959928         1.3976942530798         1.3857798740709
8.3799064479186         1.3976942530798         1.3689876958718         1.3976942530798         1.3839785595704
8.4633968442558         1.3976942530798         1.364926632979          1.3976942530798         1.3820382260934
8.5427145001525         1.3976942530798         1.3605746615851         1.3976942530798         1.3799588995699
8.6180679636999         1.3976942530798         1.3559352532952         1.3976942530798         1.3777422386967
8.6896553600291         1.3976942530798         1.3510757285546         1.3976942530798         1.3754204084799
8.7576649122373         1.3976942530798         1.3460623915509         1.3976942530798         1.3730250883688
8.8222754362784         1.3976942530798         1.3409500798673         1.3976942530798         1.3705824791883
8.8836568111193         1.3976942530798         1.3357897192852         1.3976942530798         1.3681169127454
8.9419704253995         1.3976942530798         1.3306277999915         1.3976942530798         1.3656506015664
8.9973696017656         1.3976942530798         1.3255059897823         1.3976942530798         1.3632034540895
9.05                    1.3976942530798         1.3204609079378         1.3976942530798         1.3607929666246
9.1                     1.3976942530798         1.3155240585418         1.3976942530798         1.3584341914944
9.15                    1.3976942530798         1.3104669839989         1.3976942530798         1.3560179740434
9.2                     1.3976942530798         1.3053116966356         1.3976942530798         1.3535548315315
9.25                    1.3976942530798         1.3000830266685         1.3976942530798         1.3510566275773
9.3                     1.3976942530798         1.294808658936          1.3976942530798         1.3485365897075
9.35                    1.3976942530798         1.2895191365571         1.3976942530798         1.3460093111058
9.4                     1.3976942530798         1.2842478282383         1.3976942530798         1.343490734992
9.45                    1.3976942530798         1.2790308561134         1.3976942530798         1.3409981201447
9.5                     1.3976942530798         1.2739069812456         1.3976942530798         1.3385499861954
9.55                    1.3976942530798         1.2689174442341         1.3976942530798         1.3361660374722
