x[nm]                E_2[eV]              Psi^2_2_hh2[nm^-1/2]
7.1142317671146      1.3976942530798      1.3976942626136
7.260978922993       1.3976942530798      1.3976990882589
7.4003918486039      1.3976942530798      1.3977127218904
7.532837099151       1.3976942530798      1.397736138347
7.6586629098899      1.3976942530798      1.3977713947231
7.7782001117354      1.3976942530798      1.397821476529
7.891763001107       1.3976942530798      1.3978902354342
7.9996501663019      1.3976942530798      1.3979823640639
8.1021452725658      1.3976942530798      1.3981033774387
8.1995178079279      1.3976942530798      1.3982595834751
8.2920237917592      1.3976942530798      1.398458032399
8.3799064479186      1.3976942530798      1.3987064397549
8.4633968442558      1.3976942530798      1.3990130811878
8.5427145001525      1.3976942530798      1.3993866599166
8.6180679636999      1.3976942530798      1.3998361500207
8.6896553600291      1.3976942530798      1.4003636640619
8.7576649122373      1.3976942530798      1.4009686698922
8.8222754362784      1.3976942530798      1.4016492025569
8.8836568111193      1.3976942530798      1.4024012434454
8.9419704253995      1.3976942530798      1.4032189578119
8.9973696017656      1.3976942530798      1.4040950136527
9.05                 1.3976942530798      1.4050209476236
9.1                  1.3976942530798      1.4059875463859
9.15                 1.3976942530798      1.4070397617854
9.2                  1.3976942530798      1.4081770783495
9.25                 1.3976942530798      1.4093972727138
9.3                  1.3976942530798      1.4106961744303
9.35                 1.3976942530798      1.4120674421413
9.4                  1.3976942530798      1.4135023657622
9.45                 1.3976942530798      1.4149897063492
9.5                  1.3976942530798      1.4165155860532
9.55                 1.3976942530798      1.4180634408921
9.6                  1.3976942530798      1.4196140489104
9.65                 1.3976942530798      1.4211548303958
9.7                  1.3976942530798      1.4226790458087
9.75                 1.3976942530798      1.4241780294941
9.8                  1.3976942530798      1.4256432592476
9.85                 1.3976942530798      1.427066404767
9.9                  1.3976942530798      1.428439375012
9.95                 1.3976942530798      1.4297543642054
10                   1.3976942530798      1.4310038962106
10.05                1.3976942530798      1.4321808670362
10.1                 1.3976942530798      1.4332785852246
10.15                1.3976942530798      1.4342908098948
10.2                 1.3976942530798      1.4352117862239
10.25                1.3976942530798      1.4360362781654
10.3                 1.3976942530798      1.4367595982173
10.35                1.3976942530798      1.4373776340726
10.4                 1.3976942530798      1.4378868719985
10.45                1.3976942530798      1.4382844168137
10.5                 1.3976942530798      1.4385680083481
10.55                1.3976942530798      1.4387360342925
10.6                 1.3976942530798      1.4387875393655
10.65                1.3976942530798      1.438722230744
10.7                 1.3976942530798      1.4385404797288
10.75                1.3976942530798      1.4382433196326
10.8                 1.3976942530798      1.4378324399063
10.85                1.3976942530798      1.4373101765333
10.9                 1.3976942530798      1.4366794987487
10.95                1.3976942530798      1.4359439921587
