x[nm]                  E_4_real[eV]           Psi_4_y2_real[nm^-1/2] E_4_imag[eV]           Psi_4_y2_imag[nm^-1/2]
7.1142317671146        1.4167478423565        1.416743623505         1.4167478423565        1.4167372503083
7.260978922993         1.4167478423565        1.4166559451648        1.4167478423565        1.4165171209191
7.4003918486039        1.4167478423565        1.4164898448545        1.4167478423565        1.4161001016218
7.532837099151         1.4167478423565        1.4162848951371        1.4167478423565        1.4155855451648
7.6586629098899        1.4167478423565        1.4160509198603        1.4167478423565        1.4149981157652
7.7782001117354        1.4167478423565        1.4157951441809        1.4167478423565        1.4143559532435
7.891763001107         1.4167478423565        1.4155214052025        1.4167478423565        1.4136686912136
7.9996501663019        1.4167478423565        1.4152316276378        1.4167478423565        1.41294116195
8.1021452725658        1.4167478423565        1.414926564332         1.4167478423565        1.4121752555814
8.1995178079279        1.4167478423565        1.4146062721937        1.4167478423565        1.4113711149855
8.2920237917592        1.4167478423565        1.4142704157061        1.4167478423565        1.4105278977982
8.3799064479186        1.4167478423565        1.4139184642622        1.4167478423565        1.4096442718519
8.4633968442558        1.4167478423565        1.4135498231272        1.4167478423565        1.4087187439774
8.5427145001525        1.4167478423565        1.41316392329          1.4167478423565        1.4077498855888
8.6180679636999        1.4167478423565        1.4127602899004        1.4167478423565        1.4067365045047
8.6896553600291        1.4167478423565        1.4123440284514        1.4167478423565        1.405691418817
8.7576649122373        1.4167478423565        1.4119201120475        1.4167478423565        1.4046271142374
8.8222754362784        1.4167478423565        1.4114924163629        1.4167478423565        1.4035533212167
8.8836568111193        1.4167478423565        1.4110644023625        1.4167478423565        1.4024787290176
8.9419704253995        1.4167478423565        1.4106391382445        1.4167478423565        1.4014110408032
8.9973696017656        1.4167478423565        1.4102193128299        1.4167478423565        1.4003570072549
9.05                   1.4167478423565        1.4098072478727        1.4167478423565        1.399322457478
9.1                    1.4167478423565        1.4094049125089        1.4167478423565        1.3983123352787
9.15                   1.4167478423565        1.408993202566         1.4167478423565        1.3972786768175
9.2                    1.4167478423565        1.4085734258106        1.4167478423565        1.3962247654354
9.25                   1.4167478423565        1.4081470613264        1.4167478423565        1.3951543145897
9.3                    1.4167478423565        1.4077157672322        1.4167478423565        1.3940714872315
