x[nm]                   E_9_real[eV]            Psi_9_so1_real[nm^-1/2] E_9_imag[eV]            Psi_9_so1_imag[nm^-1/2]
7.1142317671146         2.3390988947366         2.3398742784001         2.3390988947366         2.3390790038047
7.260978922993          2.3390988947366         2.3279504051138         2.3390988947366         2.3393848871545
7.4003918486039         2.3390988947366         2.3319816563798         2.3390988947366         2.3392814733886
7.532837099151          2.3390988947366         2.3329318719864         2.3390988947366         2.3392570974894
7.6586629098899         2.3390988947366         2.3339325427443         2.3390988947366         2.3392314272633
7.7782001117354         2.3390988947366         2.3346922041058         2.3390988947366         2.3392119396558
7.891763001107          2.3390988947366         2.3353033278191         2.3390988947366         2.3391962624875
7.9996501663019         2.3390988947366         2.3358010665511         2.3390988947366         2.3391834939863
8.1021452725658         2.3390988947366         2.336211931033          2.3390988947366         2.3391729540718
8.1995178079279         2.3390988947366         2.3365549943529         2.3390988947366         2.3391641534619
8.2920237917592         2.3390988947366         2.3368443898709         2.3390988947366         2.3391567295932
8.3799064479186         2.3390988947366         2.3370907951081         2.3390988947366         2.3391504085549
8.4633968442558         2.3390988947366         2.3373022949441         2.3390988947366         2.3391449829455
8.5427145001525         2.3390988947366         2.3374844923116         2.3390988947366         2.339140309033
8.6180679636999         2.3390988947366         2.3376387584878         2.3390988947366         2.3391363516398
8.6896553600291         2.3390988947366         2.3377673891078         2.3390988947366         2.339133051876
8.7576649122373         2.3390988947366         2.3378763922065         2.3390988947366         2.3391302556175
8.8222754362784         2.3390988947366         2.3379699490201         2.3390988947366         2.3391278556027
8.8836568111193         2.3390988947366         2.338050838673          2.3390988947366         2.3391257805389
8.9419704253995         2.3390988947366         2.3381211645708         2.3390988947366         2.3391239764673
8.9973696017656         2.3390988947366         2.3381825873417         2.3390988947366         2.3391224007878
9.05                    2.3390988947366         2.3382364449486         2.3390988947366         2.3391210191776
9.1                     2.3390988947366         2.3382838304689         2.3390988947366         2.3391198035959
9.15                    2.3390988947366         2.338327792077          2.3390988947366         2.3391186758479
9.2                     2.3390988947366         2.3383685179064         2.3390988947366         2.3391176311075
9.25                    2.3390988947366         2.3384061893488         2.3390988947366         2.3391166647212
9.3                     2.3390988947366         2.3384409818534         2.3390988947366         2.3391157721884
9.35                    2.3390988947366         2.3384730690593         2.3390988947366         2.3391149490547
9.4                     2.3390988947366         2.338502629469          2.3390988947366         2.339114190741
9.45                    2.3390988947366         2.3385298556403         2.3390988947366         2.3391134923075
9.5                     2.3390988947366         2.338554966335          2.3390988947366         2.3391128481424
9.55                    2.3390988947366         2.3385782224164         2.3390988947366         2.3391122515536
9.6                     2.3390988947366         2.3385999476328         2.3390988947366         2.3391116942363
9.65                    2.3390988947366         2.3386202875143         2.3390988947366         2.3391111724569
9.7                     2.3390988947366         2.3386393336258         2.3390988947366         2.3391106838666
9.75                    2.3390988947366         2.3386572936643         2.3390988947366         2.3391102231374
9.8                     2.3390988947366         2.3386743178057         2.3390988947366         2.3391097864168
9.85                    2.3390988947366         2.3386905165896         2.3390988947366         2.3391093708691
9.9                     2.3390988947366         2.3387059731245         2.3390988947366         2.3391089743623
9.95                    2.3390988947366         2.3387207514268         2.3390988947366         2.3391085952542
10                      2.3390988947366         2.338734902126          2.3390988947366         2.3391082322461
10.05                   2.3390988947366         2.3387484663769         2.3390988947366         2.3391078842821
10.1                    2.3390988947366         2.3387614785471         2.3390988947366         2.3391075504806
10.15                   2.3390988947366         2.3387739680707         2.3390988947366         2.3391072300866
10.2                    2.3390988947366         2.3387859607308         2.3390988947366         2.3391069224387
10.25                   2.3390988947366         2.3387974795524         2.3390988947366         2.3391066269461
10.3                    2.3390988947366         2.3388085454271         2.3390988947366         2.339106343073
10.35                   2.3390988947366         2.3388191775549         2.3390988947366         2.3391060703269
10.4                    2.3390988947366         2.3388293937592         2.3390988947366         2.3391058082504
10.45                   2.3390988947366         2.3388392107138         2.3390988947366         2.3391055564159
10.5                    2.3390988947366         2.3388486441101         2.3390988947366         2.3391053144208
10.55                   2.3390988947366         2.3388577087816         2.3390988947366         2.3391050818846
10.6                    2.3390988947366         2.3388664187982         2.3390988947366         2.3391048584463
10.65                   2.3390988947366         2.3388747875398         2.3390988947366         2.3391046437629
10.7                    2.3390988947366         2.3388828277552         2.3390988947366         2.3391044375071
10.75                   2.3390988947366         2.3388905516091         2.3390988947366         2.3391042393669
