x[nm]                 E_14[eV]              Psi^2_14_lh2[nm^-1/2]
7.1142317671146       3.0911484520155       3.0911505057347
7.260978922993        3.0911484520155       3.0918885319515
7.4003918486039       3.0911484520155       3.0916418105334
7.532837099151        3.0911484520155       3.0916608582294
7.6586629098899       3.0911484520155       3.0916570118858
7.7782001117354       3.0911484520155       3.0916634565648
7.891763001107        3.0911484520155       3.0916765662111
7.9996501663019       3.0911484520155       3.0916960921753
8.1021452725658       3.0911484520155       3.0917216063465
8.1995178079279       3.0911484520155       3.0917527533579
8.2920237917592       3.0911484520155       3.091789231922
8.3799064479186       3.0911484520155       3.0918307719584
8.4633968442558       3.0911484520155       3.0918770741732
8.5427145001525       3.0911484520155       3.0919275759247
8.6180679636999       3.0911484520155       3.0919805068522
8.6896553600291       3.0911484520155       3.0920389312419
8.7576649122373       3.0911484520155       3.0920966297556
8.8222754362784       3.0911484520155       3.0921495329262
8.8836568111193       3.0911484520155       3.0921963673524
8.9419704253995       3.0911484520155       3.0922365601868
8.9973696017656       3.0911484520155       3.0922698403787
9.05                  3.0911484520155       3.0922961380418
9.1                   3.0911484520155       3.092315548424
9.15                  3.0911484520155       3.0923288106963
9.2                   3.0911484520155       3.0923352546239
9.25                  3.0911484520155       3.0923342930005
9.3                   3.0911484520155       3.0923254736258
9.35                  3.0911484520155       3.0923085439954
9.4                   3.0911484520155       3.0922835287542
9.45                  3.0911484520155       3.0922508192484
9.5                   3.0911484520155       3.0922112738012
9.55                  3.0911484520155       3.0921663272815
9.6                   3.0911484520155       3.0921181105347
9.65                  3.0911484520155       3.0920647658393
9.7                   3.0911484520155       3.0920048596555
9.75                  3.0911484520155       3.0919412129972
9.8                   3.0911484520155       3.0918758229271
9.85                  3.0911484520155       3.0918101191738
9.9                   3.0911484520155       3.0917451438206
9.95                  3.0911484520155       3.0916816745884
10                    3.0911484520155       3.091620308261
10.05                 3.0911484520155       3.0915615165797
10.1                  3.0911484520155       3.0915056833999
10.15                 3.0911484520155       3.0914531292211
10.2                  3.0911484520155       3.091404127272
10.25                 3.0911484520155       3.0913589139782
10.3                  3.0911484520155       3.091317695713
10.35                 3.0911484520155       3.0912806531007
10.4                  3.0911484520155       3.0912479437178
10.45                 3.0911484520155       3.0912197037547
10.5                  3.0911484520155       3.0911960490102
10.55                 3.0911484520155       3.0911770754677
10.6                  3.0911484520155       3.0911628596146
10.65                 3.0911484520155       3.0911534586173
10.7                  3.0911484520155       3.0911489104204
10.75                 3.0911484520155       3.0911492338217
10.8                  3.0911484520155       3.0911544285521
10.85                 3.0911484520155       3.0911644753832
10.9                  3.0911484520155       3.0911793362769
10.95                 3.0911484520155       3.091198954584
11                    3.0911484520155       3.0912232553006
11.05                 3.0911484520155       3.0912521453834
11.1                  3.0911484520155       3.0912855141269
11.15                 3.0911484520155       3.0913232336026
11.2                  3.0911484520155       3.0913651591613
11.25                 3.0911484520155       3.0914111299955
11.3                  3.0911484520155       3.0914609697629
11.35                 3.0911484520155       3.0915144872667
11.4                  3.0911484520155       3.0915714771928
11.45                 3.0911484520155       3.0916317208997
11.5                  3.0911484520155       3.0916949872593
11.55                 3.0911484520155       3.0917610335445
11.6                  3.0911484520155       3.0918296063618
11.65                 3.0911484520155       3.091900442624
11.7                  3.0911484520155       3.0919732705596
11.75                 3.0911484520155       3.0920478107562
11.8                  3.0911484520155       3.0921237772327
11.85                 3.0911484520155       3.0922008785363
11.9                  3.0911484520155       3.0922788188608
11.95                 3.0911484520155       3.0923572991817
12                    3.0911484520155       3.0924360184032
12.05                 3.0911484520155       3.0925146745136
12.1                  3.0911484520155       3.0925929657436
12.15                 3.0911484520155       3.0926705917242
12.2                  3.0911484520155       3.0927472546391
12.25                 3.0911484520155       3.0928226603673
12.3                  3.0911484520155       3.0928965196111
12.35                 3.0911484520155       3.0929685490065
12.4                  3.0911484520155       3.0930384722097
12.45                 3.0911484520155       3.0931060209579
12.5                  3.0911484520155       3.0931709360979
12.55                 3.0911484520155       3.0932329685809
12.6                  3.0911484520155       3.0932918804174
12.65                 3.0911484520155       3.0933474455909
12.7                  3.0911484520155       3.0933994509243
12.75                 3.0911484520155       3.0934476968983
12.8                  3.0911484520155       3.0934919984167
12.85                 3.0911484520155       3.0935321855166
12.9                  3.0911484520155       3.0935681040204
12.95                 3.0911484520155       3.0935996161274
13                    3.0911484520155       3.0936266009426
13.05                 3.0911484520155       3.0936489549407
13.1                  3.0911484520155       3.0936665923629
13.15                 3.0911484520155       3.0936794455467
13.2                  3.0911484520155       3.0936874651851
13.25                 3.0911484520155       3.093690620516
13.3                  3.0911484520155       3.0936888994409
13.35                 3.0911484520155       3.0936823085709
13.4                  3.0911484520155       3.0936708732021
13.45                 3.0911484520155       3.0936546372187
13.5                  3.0911484520155       3.0936336629252
13.55                 3.0911484520155       3.0936080308078
13.6                  3.0911484520155       3.0935778392262
13.65                 3.0911484520155       3.0935432040371
13.7                  3.0911484520155       3.0935042581504
13.75                 3.0911484520155       3.0934611510206
13.8                  3.0911484520155       3.0934140480746
13.85                 3.0911484520155       3.0933631300783
13.9                  3.0911484520155       3.0933085924454
13.95                 3.0911484520155       3.0932506444892
14                    3.0911484520155       3.0931895086229
14.05                 3.0911484520155       3.0931254195087
14.1                  3.0911484520155       3.0930586231621
14.15                 3.0911484520155       3.092989376012
14.2                  3.0911484520155       3.092917943923
