x[nm]                  E_9_real[eV]           Psi_9_s2_real[nm^-1/2] E_9_imag[eV]           Psi_9_s2_imag[nm^-1/2]
7.1142317671146        2.3390988947366        2.3391293766547        2.3390988947366        2.339063104059
7.260978922993         2.3390988947366        2.3383936328931        2.3390988947366        2.3399269856465
7.4003918486039        2.3390988947366        2.3386237167182        2.3390988947366        2.3396568302058
7.532837099151         2.3390988947366        2.3386783159482        2.3390988947366        2.3395927219226
7.6586629098899        2.3390988947366        2.3387394124614        2.3390988947366        2.3395209847831
7.7782001117354        2.3390988947366        2.3387876074754        2.3390988947366        2.3394643960802
7.891763001107         2.3390988947366        2.3388273645763        2.3390988947366        2.3394177148452
7.9996501663019        2.3390988947366        2.3388602788063        2.3390988947366        2.3393790682419
8.1021452725658        2.3390988947366        2.3388877031438        2.3390988947366        2.339346867656
8.1995178079279        2.3390988947366        2.3389106858402        2.3390988947366        2.3393198822716
8.2920237917592        2.3390988947366        2.3389300497321        2.3390988947366        2.339297145946
8.3799064479186        2.3390988947366        2.3389464469746        2.3390988947366        2.3392778929444
8.4633968442558        2.3390988947366        2.3389604058481        2.3390988947366        2.3392615029804
8.5427145001525        2.3390988947366        2.3389723930585        2.3390988947366        2.3392474280661
8.6180679636999        2.3390988947366        2.3389829665419        2.3390988947366        2.3392350130948
8.6896553600291        2.3390988947366        2.3389919852625        2.3390988947366        2.3392244236654
8.7576649122373        2.3390988947366        2.3389996911585        2.3390988947366        2.3392153757033
8.8222754362784        2.3390988947366        2.3390063520666        2.3390988947366        2.3392075547251
8.8836568111193        2.3390988947366        2.3390121520987        2.3390988947366        2.339200744554
8.9419704253995        2.3390988947366        2.3390172335405        2.3390988947366        2.3391947781235
8.9973696017656        2.3390988947366        2.3390217101915        2.3390988947366        2.3391895218147
9.05                   2.3390988947366        2.3390256743611        2.3390988947366        2.3391848672417
9.1                    2.3390988947366        2.3390292015473        2.3390988947366        2.3391807257574
9.15                   2.3390988947366        2.339032516107         2.3390988947366        2.3391768339309
9.2                    2.3390988947366        2.3390356334948        2.3390988947366        2.3391731736159
9.25                   2.3390988947366        2.3390385680474        2.3390988947366        2.3391697279788
9.3                    2.3390988947366        2.3390413325985        2.3390988947366        2.3391664819509
9.35                   2.3390988947366        2.3390439381526        2.3390988947366        2.339163422611
9.4                    2.3390988947366        2.3390463935223        2.3390988947366        2.3391605396119
9.45                   2.3390988947366        2.3390487048608        2.3390988947366        2.3391578257284
9.5                    2.3390988947366        2.3390508750336        2.3390988947366        2.3391552775964
9.55                   2.3390988947366        2.3390529027623        2.3390988947366        2.3391528967165
9.6                    2.3390988947366        2.3390547814687        2.3390988947366        2.3391506908128
9.65                   2.3390988947366        2.339056534118         2.3390988947366        2.3391486329205
9.7                    2.3390988947366        2.3390581934749        2.3390988947366        2.3391466845685
9.75                   2.3390988947366        2.3390597720938        2.3390988947366        2.3391448310158
9.8                    2.3390988947366        2.3390612791669        2.3390988947366        2.3391430614694
9.85                   2.3390988947366        2.3390627215761        2.3390988947366        2.3391413678488
9.9                    2.3390988947366        2.3390641046096        2.3390988947366        2.339139743945
9.95                   2.3390988947366        2.3390654324491        2.3390988947366        2.3391381848477
10                     2.3390988947366        2.3390667085027        2.3390988947366        2.3391366865554
10.05                  2.3390988947366        2.3390679356315        2.3390988947366        2.3391352457087
10.1                   2.3390988947366        2.3390691163044        2.3390988947366        2.3391338594086
10.15                  2.3390988947366        2.3390702527046        2.3390988947366        2.339132525092
10.2                   2.3390988947366        2.3390713468021        2.3390988947366        2.3391312404454
10.25                  2.3390988947366        2.3390724004044        2.3390988947366        2.3391300033467
10.3                   2.3390988947366        2.3390734151911        2.3390988947366        2.3391288118238
10.35                  2.3390988947366        2.3390743927386        2.3390988947366        2.3391276640257
10.4                   2.3390988947366        2.3390753345368        2.3390988947366        2.3391265582031
10.45                  2.3390988947366        2.3390762420019        2.3390988947366        2.3391254926929
10.5                   2.3390988947366        2.3390771164855        2.3390988947366        2.3391244659084
10.55                  2.3390988947366        2.3390779592808        2.3390988947366        2.3391234763312
10.6                   2.3390988947366        2.3390787716279        2.3390988947366        2.3391225225049
10.65                  2.3390988947366        2.339079554718         2.3390988947366        2.3391216030312
10.7                   2.3390988947366        2.3390803096963        2.3390988947366        2.3391207165651
10.75                  2.3390988947366        2.3390810376651        2.3390988947366        2.3391198618126
10.8                   2.3390988947366        2.3390817396856        2.3390988947366        2.3391190375275
10.85                  2.3390988947366        2.3390824167804        2.3390988947366        2.3391182425092
10.9                   2.3390988947366        2.3390830699351        2.3390988947366        2.3391174756005
10.95                  2.3390988947366        2.3390837000998        2.3390988947366        2.3391167356857
11                     2.3390988947366        2.339084308191         2.3390988947366        2.3391160216887
11.05                  2.3390988947366        2.3390848950928        2.3390988947366        2.3391153325716
11.1                   2.3390988947366        2.3390854616583        2.3390988947366        2.3391146673325
11.15                  2.3390988947366        2.3390860087109        2.3390988947366        2.3391140250047
11.2                   2.3390988947366        2.3390865370456        2.3390988947366        2.3391134046548
11.25                  2.3390988947366        2.33908704743          2.3390988947366        2.3391128053814
11.3                   2.3390988947366        2.3390875406057        2.3390988947366        2.3391122263137
11.35                  2.3390988947366        2.3390880172893        2.3390988947366        2.3391116666105
11.4                   2.3390988947366        2.3390884781732        2.3390988947366        2.3391111254585
11.45                  2.3390988947366        2.3390889239271        2.3390988947366        2.3391106020718
11.5                   2.3390988947366        2.3390893551984        2.3390988947366        2.3391100956899
11.55                  2.3390988947366        2.3390897726136        2.3390988947366        2.3391096055772
11.6                   2.3390988947366        2.3390901767791        2.3390988947366        2.3391091310218
11.65                  2.3390988947366        2.339090568282         2.3390988947366        2.3391086713344
11.7                   2.3390988947366        2.339090947691         2.3390988947366        2.3391082258472
11.75                  2.3390988947366        2.3390913155571        2.3390988947366        2.3391077939132
11.8                   2.3390988947366        2.3390916724148        2.3390988947366        2.3391073749048
11.85                  2.3390988947366        2.3390920187824        2.3390988947366        2.3391069682136
11.9                   2.3390988947366        2.3390923551629        2.3390988947366        2.3391065732487
11.95                  2.3390988947366        2.339092682045         2.3390988947366        2.3391061894365
12                     2.3390988947366        2.3390929999034        2.3390988947366        2.3391058162195
12.05                  2.3390988947366        2.3390933091999        2.3390988947366        2.3391054530557
12.1                   2.3390988947366        2.3390936103838        2.3390988947366        2.3391050994174
12.15                  2.3390988947366        2.3390939038923        2.3390988947366        2.3391047547911
12.2                   2.3390988947366        2.339094190152         2.3390988947366        2.3391044186762
12.25                  2.3390988947366        2.3390944695785        2.3390988947366        2.3391040905845
