nk,kmax_per_nm,dk_per_nm,node1_nm,node1_depth,node2_nm,node2_depth,peak_nm,peak_norm,rmse
48,1.2,0.02553191489361702,559.0,0.10819418671678395,1206.0,0.23069564669975337,1054.0,1.0,0.18700722968342123
96,1.2,0.01263157894736842,585.0,0.21905053552413717,1214.0,0.44272981996985294,1048.0,1.0,0.19962851748096447
192,1.2,0.006282722513089005,579.0,0.25432211458326087,1272.0,0.5043772815000666,1046.0,1.0,0.20542841700911751
384,1.2,0.0031331592689295036,584.0,0.2537939909843712,1269.0,0.5015295584317044,1045.0,1.0,0.20311819896417574
768,1.2,0.0015645371577574967,584.0,0.25300954418650434,1269.0,0.49996583242421766,1045.0,1.0,0.20235844550589782
