wavelength_nm,min_detuning_eV,near_mask,off_mask,abs_Im_over_Re,ratio_valid
400,1.2952018094796496,0,1,0.00047836839549580035,1
401,1.2874721213000986,0,1,0.00048084842653315491,1
402,1.2797808892806448,0,1,0.00048334267826855546,1
403,1.2721278271471435,0,1,0.00048585128410717819,1
404,1.2645126514598477,0,1,0.00048837437918260195,1
405,1.256935081578415,0,1,0.00049091210038541399,1
406,1.249394839627433,0,1,0.00049346458639215162,1
407,1.2418916504624504,0,1,0.00049603197769501346,1
408,1.2344252416365125,0,1,0.00049861441663204948,1
409,1.2269953433671801,0,1,0.00050121204741803544,1
410,1.2196016885040399,0,1,0.000503825016175904,1
411,1.2122440124966811,0,1,0.00050645347096887287,1
412,1.2049220533631448,0,1,0.00050909756183322927,1
413,1.1976355516588262,0,1,0.00051175744081173363,1
414,1.1903842504458333,0,1,0.00051443326198776364,1
415,1.1831678952627822,0,1,0.00051712518152012901,1
416,1.1759862340950344,0,1,0.00051983335767865257,1
417,1.1688390173453569,0,1,0.00052255795088043428,1
418,1.1617259978050085,0,1,0.00052529912372690178,1
419,1.1546469306252343,0,1,0.00052805704104164932,1
420,1.1476015732891733,0,1,0.00053083186990905099,1
421,1.1405896855841626,0,1,0.00053362377971367535,1
422,1.1336110295744364,0,1,0.00053643294218061997,1
423,1.1266653695742121,0,1,0.00053925953141654439,1
424,1.1197524721211591,0,1,0.00054210372395176653,1
425,1.1128721059502378,0,1,0.00054496569878310019,1
426,1.1060240419679124,0,1,0.00054784563741771446,1
427,1.0992080532267221,0,1,0.00055074372391791891,1
428,1.0924239149002104,0,1,0.00055366014494687003,1
429,1.0856714042582043,0,1,0.00055659508981532597,1
430,1.0789503006424401,0,1,0.00055954875052942484,1
431,1.0722603854425268,0,1,0.00056252132183945945,1
432,1.0656014420722424,0,1,0.00056551300128976194,1
433,1.0589732559461624,0,1,0.00056852398926970612,1
434,1.0523756144566083,0,1,0.00057155448906578141,1
435,1.0458083069509141,0,1,0.00057460470691490665,1
436,1.0392711247090074,0,1,0.0005776748520588431,1
437,1.032763860921297,0,1,0.00058076513679989066,1
438,1.026286310666864,0,1,0.00058387577655785695,1
439,1.0198382708919502,0,1,0.00058700698992821985,1
440,1.0134195403887407,0,1,0.00059015899874172964,1
441,1.0070299197744341,0,1,0.00059333202812525692,1
442,1.0006692114706,0,1,0.00059652630656411296,1
443,0.99433721968280997,0,1,0.00059974206596579186,1
444,0.98803375038055075,0,1,0.00060297954172512072,1
445,0.9817586112774026,0,1,0.00060623897279097922,1
446,0.97551161181148816,0,1,0.00060952060173457526,1
447,0.96929256312618195,0,1,0.00061282467481926024,1
448,0.96310127805107815,0,1,0.00061615144207204575,1
449,0.95693757108321309,0,1,0.00061950115735672938,1
450,0.95080125836853835,0,1,0.00062287407844883785,1
451,0.94469215768364068,0,1,0.00062627046711223892,1
452,0.93861008841770266,0,1,0.00062969058917772009,1
453,0.93255487155470496,0,1,0.00063313471462330827,1
454,0.92652632965586124,0,1,0.00063660311765660507,1
455,0.92052428684228715,0,1,0.00064009607679905273,1
456,0.91454856877789537,0,1,0.00064361387497234525,1
457,0.90859900265251614,0,1,0.00064715679958680808,1
458,0.90267541716523914,0,1,0.00065072514263199758,1
459,0.89677764250797187,0,1,0.00065431920076958032,1
460,0.89090551034921495,0,1,0.00065793927542842753,1
461,0.88505885381804461,0,1,0.00066158567290204703,1
462,0.87923750748830765,0,1,0.00066525870444855044,1
463,0.87344130736301917,0,1,0.00066895868639299506,1
464,0.86767009085895985,0,1,0.00067268594023236496,1
465,0.8619236967914774,0,1,0.00067644079274318972,1
466,0.85620196535947812,0,1,0.00068022357609183438,1
467,0.85050473813061345,0,1,0.00068403462794767945,1
468,0.84483185802665828,0,1,0.00068787429159913567,1
469,0.83918316930907411,0,1,0.00069174291607263048,1
470,0.83355851756475596,0,1,0.00069564085625468681,1
471,0.82795774969196367,0,1,0.00069956847301717645,1
472,0.82238071388642942,0,1,0.0007035261333457716,1
473,0.81682725962764113,0,1,0.00070751421047179853,1
474,0.81129723766530359,0,1,0.00071153308400759578,1
475,0.80579050000596553,0,1,0.00071558314008529948,1
476,0.80030689989981774,0,1,0.00071966477149947158,1
477,0.7948462918276582,0,1,0.00072377837785340526,1
478,0.78940853148801793,0,1,0.00072792436570943086,1
479,0.78399347578445111,0,1,0.00073210314874316775,1
480,0.77860098281298296,0,1,0.00073631514790202415,1
481,0.77323091184971204,0,1,0.00074056079156797786,1
482,0.76788312333857078,0,1,0.00074484051572469719,1
483,0.76255747887923553,0,1,0.00074915476412946004,1
484,0.7572538412151868,0,1,0.00075350398848954498,1
485,0.75197207422191781,0,1,0.00075788864864369146,1
486,0.74671204289528736,0,1,0.00076230921274849099,1
487,0.74147361334001927,0,1,0.00076676615747010542,1
488,0.73625665275833807,0,1,0.00077125996818119347,1
489,0.73106102943875007,0,1,0.00077579113916357776,1
490,0.72588661274495569,0,1,0.00078036017381652933,1
491,0.72073327310490409,0,1,0.00078496758487101557,1
492,0.71560088199997507,0,1,0.00078961389461014854,1
493,0.71048931195429477,0,1,0.00079429963509588684,1
494,0.7053984365241841,0,1,0.00079902534840235089,1
495,0.70032813028773067,0,1,0.00080379158685594024,1
496,0.69527826883448851,0,1,0.00080859891328240998,1
497,0.69024872875530363,0,1,0.00081344790126122702,1
498,0.68523938763226022,0,1,0.00081833913538749653,1
499,0.68025012402874774,0,1,0.00082327321154161627,1
500,0.67528081747964963,0,1,0.0008282507371669721,1
501,0.67033134848164577,0,1,0.0008332723315559585,1
502,0.66540159848363389,0,1,0.00083833862614473469,1
503,0.66049144987726383,0,1,0.00084345026481675862,1
504,0.65560078598758631,0,1,0.00084860790421571091,1
505,0.65072949106380795,0,1,0.00085381221406796162,1
506,0.64587745027016341,0,1,0.00085906387751496225,1
507,0.6410445496768884,0,1,0.00086436359145598352,1
508,0.63623067625130325,0,1,0.00086971206690155116,1
509,0.63143571784900132,0,1,0.00087511002933785432,1
