kmax_pi_over_a,nRMSE_abs_real,nRMSE_magnitude,mean_nearest_peak_error_abs_real_nm,mean_nearest_min_error_abs_real_nm,mean_nearest_peak_error_magnitude_nm,mean_nearest_min_error_magnitude_nm
0.01,0.26231681725914746,0.29019903184262424,138.25,112.66666666666667,141,246.66666666666666
0.02,0.26216555184041218,0.28927040486926048,138.25,112.33333333333333,141.5,247
0.029999999999999999,0.2595939182878248,0.28323870183994665,138.5,111.33333333333333,142.25,247.66666666666666
0.040000000000000001,0.25466780820704121,0.27249596737997511,137.75,109.66666666666667,142.25,287.66666666666669
0.050000000000000003,0.24865204819494974,0.26233850339571374,136,135.66666666666666,141.75,286.66666666666669
0.059999999999999998,0.24397706545368486,0.2549609172289754,134,133.33333333333334,141.75,285
0.070000000000000007,0.24132901830122763,0.25124065743937463,131.75,130.66666666666666,141.75,283
0.080000000000000002,0.24027632682835634,0.25142353001346673,129.25,126.66666666666667,141.5,203
0.089999999999999997,0.23953927112285353,0.25536590916651791,124,117.33333333333333,139,196.33333333333334
0.10000000000000001,0.23787347931114972,0.26239111786930097,115.75,106.33333333333333,133.25,192
