extended_grid_cutoff_pi_over_a,nRMSE_abs_real,nRMSE_magnitude
0.050000000000000003,0.24865083771024438,0.26233760284394225
0.10000000000000001,0.23787116821013501,0.26238832090356046
0.1125,0.23457382184422618,0.27185002379006767
0.125,0.22630955249857912,0.27916061074762005
