k_per_nm,E11_eV,E12_eV,E21_eV,E22_eV
0,1.4933526957039993,1.5283667159019991,1.6132174157740005,1.6482314359720003
0.0023154768301333001,1.4933569426887499,1.5283685675088003,1.6132212875242995,1.64823291234435
0.0046309536602667,1.4933695754412499,1.5283740801899004,1.6132325367981497,1.6482370415468002
0.0069464304904000001,1.4933906293666992,1.5283832763837992,1.6132512862485997,1.6482439332656997
0.0092619073205332993,1.4934201026895495,1.5283961683079994,1.6132775342157502,1.6482535998342001
0.011577384150666999,1.4934579929234493,1.5284127729718495,1.6133112783753003,1.6482660584237006
0.0138928609808,1.4935042968699992,1.5284331120838495,1.6133525157368001,1.6482813309506503
0.016208337810933001,1.4935590106180492,1.5284572119332496,1.6134012426432001,1.6482994439584004
0.018523814641067001,1.4936221295420486,1.5284851032488991,1.6134574547692997,1.6483204284761501
0.020839291471199999,1.493693655065049,1.5285168252842491,1.6135211710875506,1.6483443413067507
0.023154768301332999,1.4937735749397987,1.528552413279149,1.6135923640142,1.6483712023535504
0.025470245131466999,1.4938618818043488,1.5285919098707996,1.6136710251437492,1.6484010532102
0.0277857219616,1.4939585681575498,1.5286353617451995,1.6137571474586998,1.6484339410463495
0.030101198791733001,1.4940636257741,1.5286828190467499,1.6138507232630503,1.6484699165357002
0.032416675621867001,1.4941770457011485,1.528734335142599,1.6139517441792497,1.6485090336207002
0.034732152452000002,1.4942988182563994,1.5287899663805504,1.6140602011455998,1.6485513492697508
0.037047629282133003,1.4944289330234997,1.5288497718411502,1.6141760844122499,1.6485969232299005
0.039363106112267003,1.4945673788497997,1.5289138130884004,1.6142993835382995,1.6486458177769001
0.041678582942399997,1.4947141438421003,1.5289821539194,1.6144300873876503,1.6486980974649499
0.043994059772532998,1.4948692153623997,1.5290548601164495,1.6145681841248505,1.6487538288789003
0.046309536602666998,1.4950325800238489,1.5291319992028489,1.6147136612105999,1.6488130803895999
0.048625013432799999,1.4952042236868996,1.52921364020475,1.6148665053977502,1.6488759219156006
0.050940490262933,1.4953841314533494,1.5292998534196496,1.6150267027256502,1.6489424246919504
0.053255967093067,1.4955722876622997,1.5293907101938502,1.6151942385154496,1.6490126610470002
0.055571443923200001,1.4957686758847502,1.5294862827102502,1.6153690973649499,1.64908670419045
0.057886920753333002,1.4959732789178493,1.5295866437860495,1.6155512631422997,1.6491646280104999
0.060202397583467002,1.4961860787791494,1.5296918666823496,1.6157407189807003,1.6492465068839004
0.062517874413600003,1.496407056701049,1.5298020249264992,1.6159374472718502,1.6493324154973004
0.064833351243733003,1.4966361931239993,1.5299171921458994,1.6161414296598495,1.6494224286817496
0.067148828073867003,1.4968734676906499,1.5300374419155496,1.6163526470343503,1.64951662125925
0.069464304904000004,1.4971188592381,1.5301628476172997,1.6165710795235497,1.6496150679027495
0.071779781734133005,1.4973723457923998,1.5302934823138497,1.6167967064873003,1.6497178430087502
0.074095258564267005,1.4976339045600995,1.5304294186328495,1.6170295065098503,1.6498250205826004
0.076410735394400006,1.4979035119213993,1.5305707286651993,1.6172694573917499,1.6499366741355499
0.078726212224532993,1.498181143422799,1.5307174838748994,1.6175165361423998,1.6500528765945002
0.081041689054666993,1.4984667737686495,1.5308697550197996,1.6177707189720494,1.6501737002231995
0.083357165884799994,1.4987603768136999,1.5310276120837001,1.6180319812833004,1.6502992165533006
0.085672642714932995,1.4990619255544495,1.5311911242190002,1.6183002976630501,1.6504294963276007
0.087988119545066995,1.4993713921213494,1.5313603596995993,1.6185756418737001,1.6505646094519499
0.090303596375199996,1.4996887477698,1.5315353858818002,1.6188579868443502,1.6507046249563504
0.092619073205332997,1.5000139628721485,1.5317162691754493,1.6191473046624993,1.6508496109658002
0.094934550035466997,1.5003470069083493,1.5319030750214999,1.6194435665642997,1.6509996346774503
0.097250026865599998,1.5006878484575001,1.5320958678781498,1.6197467429261498,1.6511547623467995
0.099565503695732999,1.5010364551892998,1.5322947112131002,1.6200568032555498,1.6513150592793502
0.10188098052587,1.5013927938549003,1.5324996675023503,1.6203737161817002,1.6514805898291502
0.104196457356,1.5017568302781499,1.5327107982338499,1.6206974494471502,1.6516514174028503
0.10651193418613,1.5021285293471005,1.5329281639171004,1.6210279698977998,1.6518276044677997
0.10882741101627,1.5025078550054991,1.5331518240965494,1.6213652434751997,1.65200921256625
0.1111428878464,1.5028947702438995,1.5333818373684496,1.6217092352069995,1.6521963023315496
0.11345836467653,1.5032892318288498,1.5336182576536004,1.6220598903521,1.6523889161768506
0.11577384150667,1.5036912000255003,1.5338611410694503,1.6224171691694005,1.6525871102133505
0.1180893183368,1.5041006410278996,1.53411054782715,1.6227810557465501,1.6527909625458004
0.12040479516693001,1.5045175139385496,1.5343665329687504,1.6231515113780997,1.6530005304083004
0.12272027199707,1.5049417768701494,1.5346291507169996,1.6235284964068002,1.6532158702536504
0.12503574882720001,1.5053733869393995,1.5348984545064996,1.6239119702167499,1.6534370377838501
0.12735122565733001,1.5058123002621999,1.5351744970154497,1.6243018912284002,1.65366408798165
0.12966670248747,1.506258471949,1.5354573301977004,1.6246982168936996,1.6538970751424
0.13198217931760001,1.5067118561017001,1.5357470053153,1.6251009036921003,1.6541360529057001
0.13429765614773001,1.5071724058107503,1.5360435729703505,1.6255099071283501,1.6543810742879503
0.13661313297787001,1.5076400731543498,1.5363470831367501,1.6259251817303999,1.6546321917128002
0.13892860980800001,1.5081148091987997,1.5366575851909001,1.6263466810499503,1.6548894570420507
0.14124408663813001,1.5085965639994499,1.5369751279414503,1.62677435766275,1.6551529216047505
0.14355956346827001,1.5090852866043998,1.5372997596571505,1.6272081631721995,1.6554226362249502
0.14587504029840001,1.5095809250591998,1.5376315280935504,1.6276480482137499,1.6556986512481005
0.14819051712853001,1.5100834264144491,1.5379704805179495,1.6280939624616002,1.6559810165651005
0.15050599395867001,1.5105927367337995,1.5383166637310497,1.6285458546369502,1.6562697816342005
