state,E0_eV,A_eV_nm2,effective_mass_m0,RMSE_meV,max_abs_residual_meV,k_at_max_residual_per_nm,fit_kmin_per_nm,fit_kmax_per_nm,point_count,residual_pattern,resonance_relevant_definition,resonance_relevant_point_count,resonance_relevant_max_abs_residual_meV
e1,2.9411581380879994,0.523019419858308,0.07284590144890087,1.2014749811445855,3.3927760049503597,0.555714439232,0.0,0.555714439232,301,systematic,any involved transition within 25 meV of 2hc/1550nm,92,1.62968734181268
e2,3.0610228581580006,0.4492704548603311,0.08480375395863513,0.7596168216001549,2.1711354530054017,0.555714439232,0.0,0.555714439232,301,systematic,any involved transition within 25 meV of 2hc/1550nm,71,0.3029985695186532
hh1,1.447805442384,-0.09578794643000983,-0.39775172696387556,2.9391784385927076,4.819501510453739,0.555714439232,0.0,0.555714439232,301,systematic,any involved transition within 25 meV of 2hc/1550nm,131,3.204558844569938
hh2,1.4127914221860003,-0.05376779479500629,-0.7085992881076488,3.104615468750776,5.223754649760437,0.237104827406,0.0,0.555714439232,301,systematic,any involved transition within 25 meV of 2hc/1550nm,62,4.4826078161586125
