state,E0_eV,A_eV_nm2,effective_mass_m0,RMSE_meV,max_abs_residual_meV,k_at_max_residual_per_nm,fit_kmin_per_nm,fit_kmax_per_nm,point_count,residual_pattern,fit_scope,mass_change_vs_full_fit_fraction
e1,2.9411581380879994,0.5459588238811789,0.0697851549389951,0.08913714559480135,0.25644798372903566,0.277857219616,0.0,0.277857219616,151,systematic,near_zone_center_0.5_of_production_kmax,-0.042016729136817366
e2,3.0610228581580006,0.4635861970129408,0.08218497737928998,0.05423002739913771,0.15615515201083952,0.277857219616,0.0,0.277857219616,151,systematic,near_zone_center_0.5_of_production_kmax,-0.030880432258016663
hh1,1.447805442384,-0.17725067387102744,-0.21494880827692708,0.5690563246872701,1.6278719403535202,0.277857219616,0.0,0.277857219616,151,systematic,near_zone_center_0.5_of_production_kmax,-0.4595905090904883
hh2,1.4127914221860003,0.0439665784504837,0.8665632500324904,1.111226153022445,2.726685109515792,0.277857219616,0.0,0.277857219616,151,systematic,near_zone_center_0.5_of_production_kmax,-2.222924245869189
